
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
602.447,686.493,14.2817,µm,Surface,Position,1,26181,
688.607,575.292,29.6369,µm,Surface,Position,1,26182,
682.186,604.275,19.4486,µm,Surface,Position,1,26183,
692.405,596.907,13.303,µm,Surface,Position,1,26184,
622.401,654.353,25.5949,µm,Surface,Position,1,26185,
712.785,573.463,15.0316,µm,Surface,Position,1,26186,
708.087,578.419,15.5145,µm,Surface,Position,1,26189,
687.376,598.068,17.4405,µm,Surface,Position,1,26190,
598.017,693.767,13.0619,µm,Surface,Position,1,26192,
574.688,708.153,29.1625,µm,Surface,Position,1,26193,
597.04,687.649,20.2884,µm,Surface,Position,1,26194,
613.054,674.123,17.8419,µm,Surface,Position,1,26195,
709.511,566.537,27.1294,µm,Surface,Position,1,26196,
698.332,577.938,28.5473,µm,Surface,Position,1,26197,
581.7,698.143,24.6366,µm,Surface,Position,1,26198,
662.718,630.293,15.4219,µm,Surface,Position,1,26199,
583.47,708.484,16.2352,µm,Surface,Position,1,26200,
585.128,690.241,28.8242,µm,Surface,Position,1,26201,
711.929,585.803,13.3862,µm,Surface,Position,1,26203,
690.892,605.08,13.3909,µm,Surface,Position,1,26204,
616.762,662.138,28.2618,µm,Surface,Position,1,26205,
648.461,650.431,17.095,µm,Surface,Position,1,26206,
635.596,645.654,27.4325,µm,Surface,Position,1,26207,
637.389,646.398,22.8138,µm,Surface,Position,1,26208,
680.779,601.651,28.5643,µm,Surface,Position,1,26209,
703.475,582.185,25.1228,µm,Surface,Position,1,26211,
656.807,627.275,24.7634,µm,Surface,Position,1,26212,
642.07,654.546,16.159,µm,Surface,Position,1,26213,
610.796,670.755,27.9697,µm,Surface,Position,1,26214,
603.412,686.908,27.3006,µm,Surface,Position,1,26215,
694.462,602.558,19.0155,µm,Surface,Position,1,26216,
626.357,663.944,28.0263,µm,Surface,Position,1,26217,
594.347,702.861,24.1019,µm,Surface,Position,1,26218,
571.609,715.094,26.1579,µm,Surface,Position,1,26219,
690.639,610.978,21.2099,µm,Surface,Position,1,26220,
710.83,591.644,20.7463,µm,Surface,Position,1,26221,
683.54,614.402,18.9284,µm,Surface,Position,1,26222,
659.846,629.769,25.4067,µm,Surface,Position,1,26225,
601.901,700.436,20.6569,µm,Surface,Position,1,26226,
636.625,673.608,12.9972,µm,Surface,Position,1,26227,
702.677,601.923,13.1057,µm,Surface,Position,1,26228,
614.69,683.617,24.8986,µm,Surface,Position,1,26229,
622.373,681.804,11.569,µm,Surface,Position,1,26230,
607.886,702.301,11.8872,µm,Surface,Position,1,26231,
674.218,630.321,16.2597,µm,Surface,Position,1,26232,
659.398,635.144,25.0953,µm,Surface,Position,1,26233,
620.271,691.201,13.1039,µm,Surface,Position,1,26235,
597.773,711.544,19.5527,µm,Surface,Position,1,26236,
636.66,652.638,29.632,µm,Surface,Position,1,26237,
710.87,585.63,26.6287,µm,Surface,Position,1,26238,
643.357,657.387,23.0839,µm,Surface,Position,1,26241,
696.011,599.296,29.5462,µm,Surface,Position,1,26242,
708.696,606.399,12.1268,µm,Surface,Position,1,26245,
713.452,600.17,16.8447,µm,Surface,Position,1,26246,
702.359,604.774,21.8417,µm,Surface,Position,1,26247,
664.611,645.615,21.2601,µm,Surface,Position,1,26248,
611.498,708.504,15.7659,µm,Surface,Position,1,26249,
626.699,686.856,17.963,µm,Surface,Position,1,26250,
618.796,677.378,30.0525,µm,Surface,Position,1,26251,
643.186,668.558,18.9134,µm,Surface,Position,1,26252,
656.501,658.502,15.525,µm,Surface,Position,1,26253,
656.076,645.317,27.9669,µm,Surface,Position,1,26254,
688.721,618.429,23.2724,µm,Surface,Position,1,26255,
677.189,621.33,29.0134,µm,Surface,Position,1,26256,
643.906,666.421,26.6145,µm,Surface,Position,1,26258,
635.598,684.028,19.0555,µm,Surface,Position,1,26259,
662.609,641.143,27.8694,µm,Surface,Position,1,26260,
662.949,650.206,20.3668,µm,Surface,Position,1,26261,
652.15,653.234,27.5901,µm,Surface,Position,1,26262,
635.082,667.943,29.7255,µm,Surface,Position,1,26263,
655.188,668.924,13.3203,µm,Surface,Position,1,26264,
691.608,624.835,21.8075,µm,Surface,Position,1,26265,
612.531,700.036,28.1384,µm,Surface,Position,1,26266,
624.478,703.711,15.0505,µm,Surface,Position,1,26267,
675.834,642.458,18.9939,µm,Surface,Position,1,26268,
619.509,689.494,26.2901,µm,Surface,Position,1,26269,
616.464,695.04,25.4396,µm,Surface,Position,1,26270,
694.162,616.999,22.9059,µm,Surface,Position,1,26271,
690.427,616.028,29.6455,µm,Surface,Position,1,26272,
705.687,622.917,14.4425,µm,Surface,Position,1,26273,
686.213,643.215,12.8676,µm,Surface,Position,1,26274,
711.71,616.763,14.9464,µm,Surface,Position,1,26275,
675.939,649.095,11.7142,µm,Surface,Position,1,26276,
711.915,606.086,19.0945,µm,Surface,Position,1,26277,
663.508,661.784,24.441,µm,Surface,Position,1,26279,
697.535,633.408,21.2405,µm,Surface,Position,1,26280,
632.521,690.174,21.0066,µm,Surface,Position,1,26281,
711.595,607.787,28.2243,µm,Surface,Position,1,26282,
710.828,615.158,23.5917,µm,Surface,Position,1,26283,
688.201,631.998,26.0147,µm,Surface,Position,1,26284,
678.382,660.534,20.2398,µm,Surface,Position,1,26285,
649.506,685.146,25.3442,µm,Surface,Position,1,26286,
655.426,675.016,20.5165,µm,Surface,Position,1,26287,
680.465,654.256,16.3662,µm,Surface,Position,1,26289,
636.096,701.463,16.8746,µm,Surface,Position,1,26290,
623.253,702.282,26.3638,µm,Surface,Position,1,26291,
666.38,673.599,11.9755,µm,Surface,Position,1,26292,
669.508,647.705,30.356,µm,Surface,Position,1,26294,
652.784,684.434,17.0586,µm,Surface,Position,1,26295,
672.794,666.417,11.6719,µm,Surface,Position,1,26296,
658.589,681.687,13.62,µm,Surface,Position,1,26297,
685.63,650.324,18.9698,µm,Surface,Position,1,26298,
702.448,639.008,13.8454,µm,Surface,Position,1,26299,
695.379,648.293,12.7662,µm,Surface,Position,1,26301,
709.644,636.678,16.1709,µm,Surface,Position,1,26304,
621.817,709.205,25.4906,µm,Surface,Position,1,26305,
684.181,644.468,29.7768,µm,Surface,Position,1,26307,
709.625,626.547,24.3432,µm,Surface,Position,1,26308,
690.09,648.247,24.7282,µm,Surface,Position,1,26309,
673.242,671.351,24.592,µm,Surface,Position,1,26310,
697.611,646.601,18.9743,µm,Surface,Position,1,26311,
692.004,654.297,15.4169,µm,Surface,Position,1,26312,
660.193,685.238,20.2855,µm,Surface,Position,1,26313,
632.597,698.291,30.4141,µm,Surface,Position,1,26315,
644.948,713.077,14.9373,µm,Surface,Position,1,26317,
668.642,684.318,15.2616,µm,Surface,Position,1,26318,
679.041,680.85,15.9496,µm,Surface,Position,1,26319,
705.758,648.814,12.6801,µm,Surface,Position,1,26320,
669.643,665.385,29.6042,µm,Surface,Position,1,26321,
711.683,647.933,15.9224,µm,Surface,Position,1,26322,
665.04,681.406,23.3373,µm,Surface,Position,1,26323,
703.087,654.038,14.9273,µm,Surface,Position,1,26324,
651.844,708.648,14.027,µm,Surface,Position,1,26326,
691.86,661.492,19.6971,µm,Surface,Position,1,26327,
698.777,659.267,14.5184,µm,Surface,Position,1,26328,
648.437,695.743,28.8569,µm,Surface,Position,1,26329,
701.882,645.459,27.4028,µm,Surface,Position,1,26330,
673.878,681.935,22.1574,µm,Surface,Position,1,26331,
713.137,630.614,29.9541,µm,Surface,Position,1,26332,
695.36,663.776,25.9138,µm,Surface,Position,1,26334,
683.692,686.578,24.7335,µm,Surface,Position,1,26336,
688.924,683.924,14.1215,µm,Surface,Position,1,26338,
711.03,646.57,28.7717,µm,Surface,Position,1,26339,
663.971,695.24,23.8832,µm,Surface,Position,1,26340,
679.007,680.297,26.4442,µm,Surface,Position,1,26342,
666.698,703.343,19.3004,µm,Surface,Position,1,26343,
673.837,692.304,20.2324,µm,Surface,Position,1,26344,
705.587,663.814,19.5813,µm,Surface,Position,1,26345,
703.536,671.571,11.9176,µm,Surface,Position,1,26348,
662.083,711.202,19.3584,µm,Surface,Position,1,26349,
675.676,688.03,23.9918,µm,Surface,Position,1,26350,
698.258,679.189,17.5399,µm,Surface,Position,1,26351,
671.376,687.286,29.8996,µm,Surface,Position,1,26352,
646.973,713.917,29.8445,µm,Surface,Position,1,26353,
689.483,670.617,30.0818,µm,Surface,Position,1,26354,
693.577,672.362,28.5736,µm,Surface,Position,1,26355,
685.801,695.917,21.0096,µm,Surface,Position,1,26357,
675.115,710.143,27.0306,µm,Surface,Position,1,26359,
683.985,713.177,12.7872,µm,Surface,Position,1,26362,
703.225,693.893,19.9014,µm,Surface,Position,1,26364,
692.326,705.907,19.0544,µm,Surface,Position,1,26365,
685.422,705.529,26.6361,µm,Surface,Position,1,26366,
709.721,700.046,12.5684,µm,Surface,Position,1,26368,
697.91,700.455,22.8182,µm,Surface,Position,1,26369,
701.404,709.771,12.4448,µm,Surface,Position,1,26370,
705.192,703.161,18.9038,µm,Surface,Position,1,26371,
688.809,710.774,27.3932,µm,Surface,Position,1,26375,
528.103,711.889,12.9647,µm,Surface,Position,1,26382,
607.171,634.64,22.2411,µm,Surface,Position,1,26383,
548.121,690.124,13.0302,µm,Surface,Position,1,26384,
574.05,644.96,29.595,µm,Surface,Position,1,26385,
703.09,540.636,18.6205,µm,Surface,Position,1,26386,
654.39,572.584,27.2808,µm,Surface,Position,1,26387,
675.455,558.527,21.2288,µm,Surface,Position,1,26388,
674.872,570.184,15.0478,µm,Surface,Position,1,26389,
689.892,535.153,28.7614,µm,Surface,Position,1,26390,
711.324,526.766,17.8067,µm,Surface,Position,1,26391,
643.601,581.643,28.9248,µm,Surface,Position,1,26392,
575.317,669.775,17.3974,µm,Surface,Position,1,26393,
606.691,640.887,14.8095,µm,Surface,Position,1,26394,
601.982,626.682,27.7704,µm,Surface,Position,1,26395,
664.979,562.118,29.3795,µm,Surface,Position,1,26396,
594.137,649.422,14.9387,µm,Surface,Position,1,26397,
586.939,657.87,14.749,µm,Surface,Position,1,26398,
589.497,647.169,24.8414,µm,Surface,Position,1,26399,
597.164,655.755,16.6799,µm,Surface,Position,1,26401,
559.45,675.184,22.8092,µm,Surface,Position,1,26402,
663.316,578.927,17.8278,µm,Surface,Position,1,26404,
649.765,583.234,26.9789,µm,Surface,Position,1,26406,
685.766,556.528,23.5693,µm,Surface,Position,1,26407,
599.199,639.503,26.8696,µm,Surface,Position,1,26408,
587.613,653.36,19.1074,µm,Surface,Position,1,26409,
531.823,702.083,25.9854,µm,Surface,Position,1,26410,
567.207,681.003,18.6225,µm,Surface,Position,1,26411,
570.216,664.216,29.1202,µm,Surface,Position,1,26412,
596.155,643.978,22.4147,µm,Surface,Position,1,26413,
586.622,653.333,28.4696,µm,Surface,Position,1,26414,
654.143,589.398,19.8702,µm,Surface,Position,1,26415,
673.552,570.559,25.8317,µm,Surface,Position,1,26417,
677.833,557.554,27.743,µm,Surface,Position,1,26418,
695.541,560.818,15.5539,µm,Surface,Position,1,26419,
541.932,701.648,19.1242,µm,Surface,Position,1,26420,
547.835,705.416,14.3487,µm,Surface,Position,1,26421,
584.446,674.11,12.2976,µm,Surface,Position,1,26423,
661.144,572.086,30.2046,µm,Surface,Position,1,26425,
554.556,701.914,13.6394,µm,Surface,Position,1,26426,
607.138,649.863,14.7203,µm,Surface,Position,1,26427,
545.291,706.972,25.1221,µm,Surface,Position,1,26428,
624.872,620.562,23.6529,µm,Surface,Position,1,26429,
561.943,684.523,25.023,µm,Surface,Position,1,26430,
706.115,552.381,16.5438,µm,Surface,Position,1,26431,
550.938,695.497,22.0446,µm,Surface,Position,1,26432,
560.514,695.567,12.8385,µm,Surface,Position,1,26433,
625.028,634.331,15.4649,µm,Surface,Position,1,26434,
574.225,687.036,20.5216,µm,Surface,Position,1,26435,
656.977,603.418,12.5851,µm,Surface,Position,1,26436,
619.323,627.159,23.6531,µm,Surface,Position,1,26437,
641.422,619.145,23.2,µm,Surface,Position,1,26438,
597.037,660.037,11.8871,µm,Surface,Position,1,26439,
608.665,646.831,23.2384,µm,Surface,Position,1,26440,
623.564,648.021,16.1755,µm,Surface,Position,1,26441,
644.918,605.904,24.6844,µm,Surface,Position,1,26442,
638.628,621.993,12.9635,µm,Surface,Position,1,26443,
677.84,579.466,21.5302,µm,Surface,Position,1,26444,
617.479,640.065,16.0209,µm,Surface,Position,1,26446,
673.61,591.629,12.563,µm,Surface,Position,1,26448,
682.577,586.736,15.355,µm,Surface,Position,1,26451,
690.494,573.146,12.3994,µm,Surface,Position,1,26452,
598.972,651.235,25.9693,µm,Surface,Position,1,26453,
594.614,676.577,16.7839,µm,Surface,Position,1,26456,
615.608,641.092,26.8274,µm,Surface,Position,1,26457,
682.258,562.827,30.0644,µm,Surface,Position,1,26458,
657.796,600.213,21.6732,µm,Surface,Position,1,26459,
701.117,557.892,26.2187,µm,Surface,Position,1,26460,
668.096,589.949,22.9354,µm,Surface,Position,1,26461,
563.953,691.497,19.568,µm,Surface,Position,1,26462,
552.781,697.735,25.8649,µm,Surface,Position,1,26463,
560.066,703.051,26.3645,µm,Surface,Position,1,26464,
629.886,618.913,29.2781,µm,Surface,Position,1,26465,
616.028,652.831,13.3502,µm,Surface,Position,1,26466,
651.284,609.697,20.2863,µm,Surface,Position,1,26467,
632.028,642.978,15.9078,µm,Surface,Position,1,26468,
573.88,692.203,12.1806,µm,Surface,Position,1,26469,
606.558,661.735,15.2528,µm,Surface,Position,1,26471,
579.73,677.128,25.2583,µm,Surface,Position,1,26472,
599.454,668.57,12.068,µm,Surface,Position,1,26473,
703.7,565.139,14.6667,µm,Surface,Position,1,26474,
672.936,581.155,25.5748,µm,Surface,Position,1,26475,
710.901,540.364,29.5244,µm,Surface,Position,1,26476,
680.333,575.026,26.2505,µm,Surface,Position,1,26477,
603.265,657.56,28.2541,µm,Surface,Position,1,26478,
550.092,714.001,20.9879,µm,Surface,Position,1,26480,
569.745,695.891,19.542,µm,Surface,Position,1,26481,
709.837,551.714,27.3289,µm,Surface,Position,1,26482,
686.108,590.087,26.5964,µm,Surface,Position,1,26483,
676.357,598.938,14.108,µm,Surface,Position,1,26484,
714.369,553.52,20.653,µm,Surface,Position,1,26485,
685.856,569.617,29.7367,µm,Surface,Position,1,26486,
676.254,589.289,24.6715,µm,Surface,Position,1,26487,
596.335,671.923,26.1778,µm,Surface,Position,1,26488,
576.255,698.429,13.2486,µm,Surface,Position,1,26489,
667.34,600.328,26.1058,µm,Surface,Position,1,26490,
692.741,584.053,12.1636,µm,Surface,Position,1,26491,
683.913,582.836,22.4909,µm,Surface,Position,1,26492,
632.683,628.863,28.622,µm,Surface,Position,1,26493,
600.726,665.784,22.7981,µm,Surface,Position,1,26494,
618.73,660.091,13.9494,µm,Surface,Position,1,26495,
654.102,611.46,29.2421,µm,Surface,Position,1,26497,
658.556,620.548,11.8216,µm,Surface,Position,1,26498,
571.823,699.684,26.5068,µm,Surface,Position,1,26499,
672.607,596.452,26.7235,µm,Surface,Position,1,26502,
658.083,606.63,29.3889,µm,Surface,Position,1,26503,
628.983,643.234,23.0714,µm,Surface,Position,1,26504,
639.592,636.397,18.1201,µm,Surface,Position,1,26506,
590.337,671.583,25.4645,µm,Surface,Position,1,26507,
613.475,651.492,29.5675,µm,Surface,Position,1,26509,
655.336,622.882,19.6496,µm,Surface,Position,1,26510,
589.101,700.409,16.5764,µm,Surface,Position,1,26512,
637.332,647.783,14.3883,µm,Surface,Position,1,26513,
648.257,633.502,23.5784,µm,Surface,Position,1,26514,
633.004,552.231,25.9605,µm,Surface,Position,1,26515,
522.007,674.645,15.3158,µm,Surface,Position,1,26516,
709.602,480.253,21.0763,µm,Surface,Position,1,26517,
703.717,496.984,16.3295,µm,Surface,Position,1,26518,
511.202,689.998,13.9433,µm,Surface,Position,1,26521,
549.526,647.169,16.9116,µm,Surface,Position,1,26522,
500.315,705.534,13.3618,µm,Surface,Position,1,26523,
688.068,516.24,14.4365,µm,Surface,Position,1,26524,
524.106,672.897,22.4316,µm,Surface,Position,1,26525,
509.404,678.796,28.5829,µm,Surface,Position,1,26526,
628.033,575.197,13.0577,µm,Surface,Position,1,26527,
485.52,711.458,14.261,µm,Surface,Position,1,26528,
663.52,528.157,24.6074,µm,Surface,Position,1,26529,
618.456,565.86,28.6354,µm,Surface,Position,1,26530,
598.069,605.847,17.605,µm,Surface,Position,1,26531,
685.684,499.373,28.2999,µm,Surface,Position,1,26532,
644.92,557.267,12.8891,µm,Surface,Position,1,26533,
521.697,666.461,28.7533,µm,Surface,Position,1,26534,
548.507,655.62,14.4886,µm,Surface,Position,1,26535,
554.898,648.572,12.4182,µm,Surface,Position,1,26536,
577.049,612.133,25.0566,µm,Surface,Position,1,26537,
693.397,505.908,18.944,µm,Surface,Position,1,26538,
623.698,559.631,29.6348,µm,Surface,Position,1,26539,
506.955,683.683,25.5083,µm,Surface,Position,1,26541,
557.348,642.631,18.7676,µm,Surface,Position,1,26542,
582.343,629.126,14.7578,µm,Surface,Position,1,26543,
501.985,694.925,19.3068,µm,Surface,Position,1,26544,
697.023,501.926,27.1724,µm,Surface,Position,1,26545,
638.091,568.777,12.2537,µm,Surface,Position,1,26546,
702.502,486.327,28.7022,µm,Surface,Position,1,26547,
488.12,711.355,19.59,µm,Surface,Position,1,26548,
527.942,676.352,11.6208,µm,Surface,Position,1,26549,
595.633,599.11,25.991,µm,Surface,Position,1,26550,
515.464,685.582,18.6072,µm,Surface,Position,1,26551,
710.992,499.011,13.4239,µm,Surface,Position,1,26552,
576.804,631.072,11.9456,µm,Surface,Position,1,26553,
499.836,701.848,21.2201,µm,Surface,Position,1,26554,
481.68,710.285,29.7288,µm,Surface,Position,1,26555,
603.006,590.91,27.0649,µm,Surface,Position,1,26556,
651.682,559.113,13.2379,µm,Surface,Position,1,26557,
585.678,613.21,21.6036,µm,Surface,Position,1,26558,
573.167,638.757,14.5526,µm,Surface,Position,1,26559,
629.329,569.736,23.1383,µm,Surface,Position,1,26560,
501.958,695.174,27.0958,µm,Surface,Position,1,26561,
564.989,638.706,18.0576,µm,Surface,Position,1,26562,
543.437,650.447,26.9362,µm,Surface,Position,1,26563,
491.987,699.124,29.3049,µm,Surface,Position,1,26564,
654.954,554.997,19.7627,µm,Surface,Position,1,26565,
540.614,663.091,22.1283,µm,Surface,Position,1,26567,
665.708,546.162,16.4096,µm,Surface,Position,1,26568,
708.498,495.486,21.9948,µm,Surface,Position,1,26569,
678.442,534.958,13.5995,µm,Surface,Position,1,26570,
505.79,702.464,17.9593,µm,Surface,Position,1,26571,
670.85,539.565,15.9072,µm,Surface,Position,1,26572,
687.317,520.614,21.427,µm,Surface,Position,1,26573,
627.928,584.274,12.9311,µm,Surface,Position,1,26574,
593.172,611.246,22.4733,µm,Surface,Position,1,26575,
