
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,ID,
602.447,µm,Surface,Position,1,26181,
688.607,µm,Surface,Position,1,26182,
682.186,µm,Surface,Position,1,26183,
692.405,µm,Surface,Position,1,26184,
622.401,µm,Surface,Position,1,26185,
712.785,µm,Surface,Position,1,26186,
708.087,µm,Surface,Position,1,26189,
687.376,µm,Surface,Position,1,26190,
598.017,µm,Surface,Position,1,26192,
574.688,µm,Surface,Position,1,26193,
597.04,µm,Surface,Position,1,26194,
613.054,µm,Surface,Position,1,26195,
709.511,µm,Surface,Position,1,26196,
698.332,µm,Surface,Position,1,26197,
581.7,µm,Surface,Position,1,26198,
662.718,µm,Surface,Position,1,26199,
583.47,µm,Surface,Position,1,26200,
585.128,µm,Surface,Position,1,26201,
711.929,µm,Surface,Position,1,26203,
690.892,µm,Surface,Position,1,26204,
616.762,µm,Surface,Position,1,26205,
648.461,µm,Surface,Position,1,26206,
635.596,µm,Surface,Position,1,26207,
637.389,µm,Surface,Position,1,26208,
680.779,µm,Surface,Position,1,26209,
703.475,µm,Surface,Position,1,26211,
656.807,µm,Surface,Position,1,26212,
642.07,µm,Surface,Position,1,26213,
610.796,µm,Surface,Position,1,26214,
603.412,µm,Surface,Position,1,26215,
694.462,µm,Surface,Position,1,26216,
626.357,µm,Surface,Position,1,26217,
594.347,µm,Surface,Position,1,26218,
571.609,µm,Surface,Position,1,26219,
690.639,µm,Surface,Position,1,26220,
710.83,µm,Surface,Position,1,26221,
683.54,µm,Surface,Position,1,26222,
659.846,µm,Surface,Position,1,26225,
601.901,µm,Surface,Position,1,26226,
636.625,µm,Surface,Position,1,26227,
702.677,µm,Surface,Position,1,26228,
614.69,µm,Surface,Position,1,26229,
622.373,µm,Surface,Position,1,26230,
607.886,µm,Surface,Position,1,26231,
674.218,µm,Surface,Position,1,26232,
659.398,µm,Surface,Position,1,26233,
620.271,µm,Surface,Position,1,26235,
597.773,µm,Surface,Position,1,26236,
636.66,µm,Surface,Position,1,26237,
710.87,µm,Surface,Position,1,26238,
643.357,µm,Surface,Position,1,26241,
696.011,µm,Surface,Position,1,26242,
708.696,µm,Surface,Position,1,26245,
713.452,µm,Surface,Position,1,26246,
702.359,µm,Surface,Position,1,26247,
664.611,µm,Surface,Position,1,26248,
611.498,µm,Surface,Position,1,26249,
626.699,µm,Surface,Position,1,26250,
618.796,µm,Surface,Position,1,26251,
643.186,µm,Surface,Position,1,26252,
656.501,µm,Surface,Position,1,26253,
656.076,µm,Surface,Position,1,26254,
688.721,µm,Surface,Position,1,26255,
677.189,µm,Surface,Position,1,26256,
643.906,µm,Surface,Position,1,26258,
635.598,µm,Surface,Position,1,26259,
662.609,µm,Surface,Position,1,26260,
662.949,µm,Surface,Position,1,26261,
652.15,µm,Surface,Position,1,26262,
635.082,µm,Surface,Position,1,26263,
655.188,µm,Surface,Position,1,26264,
691.608,µm,Surface,Position,1,26265,
612.531,µm,Surface,Position,1,26266,
624.478,µm,Surface,Position,1,26267,
675.834,µm,Surface,Position,1,26268,
619.509,µm,Surface,Position,1,26269,
616.464,µm,Surface,Position,1,26270,
694.162,µm,Surface,Position,1,26271,
690.427,µm,Surface,Position,1,26272,
705.687,µm,Surface,Position,1,26273,
686.213,µm,Surface,Position,1,26274,
711.71,µm,Surface,Position,1,26275,
675.939,µm,Surface,Position,1,26276,
711.915,µm,Surface,Position,1,26277,
663.508,µm,Surface,Position,1,26279,
697.535,µm,Surface,Position,1,26280,
632.521,µm,Surface,Position,1,26281,
711.595,µm,Surface,Position,1,26282,
710.828,µm,Surface,Position,1,26283,
688.201,µm,Surface,Position,1,26284,
678.382,µm,Surface,Position,1,26285,
649.506,µm,Surface,Position,1,26286,
655.426,µm,Surface,Position,1,26287,
680.465,µm,Surface,Position,1,26289,
636.096,µm,Surface,Position,1,26290,
623.253,µm,Surface,Position,1,26291,
666.38,µm,Surface,Position,1,26292,
669.508,µm,Surface,Position,1,26294,
652.784,µm,Surface,Position,1,26295,
672.794,µm,Surface,Position,1,26296,
658.589,µm,Surface,Position,1,26297,
685.63,µm,Surface,Position,1,26298,
702.448,µm,Surface,Position,1,26299,
695.379,µm,Surface,Position,1,26301,
709.644,µm,Surface,Position,1,26304,
621.817,µm,Surface,Position,1,26305,
684.181,µm,Surface,Position,1,26307,
709.625,µm,Surface,Position,1,26308,
690.09,µm,Surface,Position,1,26309,
673.242,µm,Surface,Position,1,26310,
697.611,µm,Surface,Position,1,26311,
692.004,µm,Surface,Position,1,26312,
660.193,µm,Surface,Position,1,26313,
632.597,µm,Surface,Position,1,26315,
644.948,µm,Surface,Position,1,26317,
668.642,µm,Surface,Position,1,26318,
679.041,µm,Surface,Position,1,26319,
705.758,µm,Surface,Position,1,26320,
669.643,µm,Surface,Position,1,26321,
711.683,µm,Surface,Position,1,26322,
665.04,µm,Surface,Position,1,26323,
703.087,µm,Surface,Position,1,26324,
651.844,µm,Surface,Position,1,26326,
691.86,µm,Surface,Position,1,26327,
698.777,µm,Surface,Position,1,26328,
648.437,µm,Surface,Position,1,26329,
701.882,µm,Surface,Position,1,26330,
673.878,µm,Surface,Position,1,26331,
713.137,µm,Surface,Position,1,26332,
695.36,µm,Surface,Position,1,26334,
683.692,µm,Surface,Position,1,26336,
688.924,µm,Surface,Position,1,26338,
711.03,µm,Surface,Position,1,26339,
663.971,µm,Surface,Position,1,26340,
679.007,µm,Surface,Position,1,26342,
666.698,µm,Surface,Position,1,26343,
673.837,µm,Surface,Position,1,26344,
705.587,µm,Surface,Position,1,26345,
703.536,µm,Surface,Position,1,26348,
662.083,µm,Surface,Position,1,26349,
675.676,µm,Surface,Position,1,26350,
698.258,µm,Surface,Position,1,26351,
671.376,µm,Surface,Position,1,26352,
646.973,µm,Surface,Position,1,26353,
689.483,µm,Surface,Position,1,26354,
693.577,µm,Surface,Position,1,26355,
685.801,µm,Surface,Position,1,26357,
675.115,µm,Surface,Position,1,26359,
683.985,µm,Surface,Position,1,26362,
703.225,µm,Surface,Position,1,26364,
692.326,µm,Surface,Position,1,26365,
685.422,µm,Surface,Position,1,26366,
709.721,µm,Surface,Position,1,26368,
697.91,µm,Surface,Position,1,26369,
701.404,µm,Surface,Position,1,26370,
705.192,µm,Surface,Position,1,26371,
688.809,µm,Surface,Position,1,26375,
528.103,µm,Surface,Position,1,26382,
607.171,µm,Surface,Position,1,26383,
548.121,µm,Surface,Position,1,26384,
574.05,µm,Surface,Position,1,26385,
703.09,µm,Surface,Position,1,26386,
654.39,µm,Surface,Position,1,26387,
675.455,µm,Surface,Position,1,26388,
674.872,µm,Surface,Position,1,26389,
689.892,µm,Surface,Position,1,26390,
711.324,µm,Surface,Position,1,26391,
643.601,µm,Surface,Position,1,26392,
575.317,µm,Surface,Position,1,26393,
606.691,µm,Surface,Position,1,26394,
601.982,µm,Surface,Position,1,26395,
664.979,µm,Surface,Position,1,26396,
594.137,µm,Surface,Position,1,26397,
586.939,µm,Surface,Position,1,26398,
589.497,µm,Surface,Position,1,26399,
597.164,µm,Surface,Position,1,26401,
559.45,µm,Surface,Position,1,26402,
663.316,µm,Surface,Position,1,26404,
649.765,µm,Surface,Position,1,26406,
685.766,µm,Surface,Position,1,26407,
599.199,µm,Surface,Position,1,26408,
587.613,µm,Surface,Position,1,26409,
531.823,µm,Surface,Position,1,26410,
567.207,µm,Surface,Position,1,26411,
570.216,µm,Surface,Position,1,26412,
596.155,µm,Surface,Position,1,26413,
586.622,µm,Surface,Position,1,26414,
654.143,µm,Surface,Position,1,26415,
673.552,µm,Surface,Position,1,26417,
677.833,µm,Surface,Position,1,26418,
695.541,µm,Surface,Position,1,26419,
541.932,µm,Surface,Position,1,26420,
547.835,µm,Surface,Position,1,26421,
584.446,µm,Surface,Position,1,26423,
661.144,µm,Surface,Position,1,26425,
554.556,µm,Surface,Position,1,26426,
607.138,µm,Surface,Position,1,26427,
545.291,µm,Surface,Position,1,26428,
624.872,µm,Surface,Position,1,26429,
561.943,µm,Surface,Position,1,26430,
706.115,µm,Surface,Position,1,26431,
550.938,µm,Surface,Position,1,26432,
560.514,µm,Surface,Position,1,26433,
625.028,µm,Surface,Position,1,26434,
574.225,µm,Surface,Position,1,26435,
656.977,µm,Surface,Position,1,26436,
619.323,µm,Surface,Position,1,26437,
641.422,µm,Surface,Position,1,26438,
597.037,µm,Surface,Position,1,26439,
608.665,µm,Surface,Position,1,26440,
623.564,µm,Surface,Position,1,26441,
644.918,µm,Surface,Position,1,26442,
638.628,µm,Surface,Position,1,26443,
677.84,µm,Surface,Position,1,26444,
617.479,µm,Surface,Position,1,26446,
673.61,µm,Surface,Position,1,26448,
682.577,µm,Surface,Position,1,26451,
690.494,µm,Surface,Position,1,26452,
598.972,µm,Surface,Position,1,26453,
594.614,µm,Surface,Position,1,26456,
615.608,µm,Surface,Position,1,26457,
682.258,µm,Surface,Position,1,26458,
657.796,µm,Surface,Position,1,26459,
701.117,µm,Surface,Position,1,26460,
668.096,µm,Surface,Position,1,26461,
563.953,µm,Surface,Position,1,26462,
552.781,µm,Surface,Position,1,26463,
560.066,µm,Surface,Position,1,26464,
629.886,µm,Surface,Position,1,26465,
616.028,µm,Surface,Position,1,26466,
651.284,µm,Surface,Position,1,26467,
632.028,µm,Surface,Position,1,26468,
573.88,µm,Surface,Position,1,26469,
606.558,µm,Surface,Position,1,26471,
579.73,µm,Surface,Position,1,26472,
599.454,µm,Surface,Position,1,26473,
703.7,µm,Surface,Position,1,26474,
672.936,µm,Surface,Position,1,26475,
710.901,µm,Surface,Position,1,26476,
680.333,µm,Surface,Position,1,26477,
603.265,µm,Surface,Position,1,26478,
550.092,µm,Surface,Position,1,26480,
569.745,µm,Surface,Position,1,26481,
709.837,µm,Surface,Position,1,26482,
686.108,µm,Surface,Position,1,26483,
676.357,µm,Surface,Position,1,26484,
714.369,µm,Surface,Position,1,26485,
685.856,µm,Surface,Position,1,26486,
676.254,µm,Surface,Position,1,26487,
596.335,µm,Surface,Position,1,26488,
576.255,µm,Surface,Position,1,26489,
667.34,µm,Surface,Position,1,26490,
692.741,µm,Surface,Position,1,26491,
683.913,µm,Surface,Position,1,26492,
632.683,µm,Surface,Position,1,26493,
600.726,µm,Surface,Position,1,26494,
618.73,µm,Surface,Position,1,26495,
654.102,µm,Surface,Position,1,26497,
658.556,µm,Surface,Position,1,26498,
571.823,µm,Surface,Position,1,26499,
672.607,µm,Surface,Position,1,26502,
658.083,µm,Surface,Position,1,26503,
628.983,µm,Surface,Position,1,26504,
639.592,µm,Surface,Position,1,26506,
590.337,µm,Surface,Position,1,26507,
613.475,µm,Surface,Position,1,26509,
655.336,µm,Surface,Position,1,26510,
589.101,µm,Surface,Position,1,26512,
637.332,µm,Surface,Position,1,26513,
648.257,µm,Surface,Position,1,26514,
633.004,µm,Surface,Position,1,26515,
522.007,µm,Surface,Position,1,26516,
709.602,µm,Surface,Position,1,26517,
703.717,µm,Surface,Position,1,26518,
511.202,µm,Surface,Position,1,26521,
549.526,µm,Surface,Position,1,26522,
500.315,µm,Surface,Position,1,26523,
688.068,µm,Surface,Position,1,26524,
524.106,µm,Surface,Position,1,26525,
509.404,µm,Surface,Position,1,26526,
628.033,µm,Surface,Position,1,26527,
485.52,µm,Surface,Position,1,26528,
663.52,µm,Surface,Position,1,26529,
618.456,µm,Surface,Position,1,26530,
598.069,µm,Surface,Position,1,26531,
685.684,µm,Surface,Position,1,26532,
644.92,µm,Surface,Position,1,26533,
521.697,µm,Surface,Position,1,26534,
548.507,µm,Surface,Position,1,26535,
554.898,µm,Surface,Position,1,26536,
577.049,µm,Surface,Position,1,26537,
693.397,µm,Surface,Position,1,26538,
623.698,µm,Surface,Position,1,26539,
506.955,µm,Surface,Position,1,26541,
557.348,µm,Surface,Position,1,26542,
582.343,µm,Surface,Position,1,26543,
501.985,µm,Surface,Position,1,26544,
697.023,µm,Surface,Position,1,26545,
638.091,µm,Surface,Position,1,26546,
702.502,µm,Surface,Position,1,26547,
488.12,µm,Surface,Position,1,26548,
527.942,µm,Surface,Position,1,26549,
595.633,µm,Surface,Position,1,26550,
515.464,µm,Surface,Position,1,26551,
710.992,µm,Surface,Position,1,26552,
576.804,µm,Surface,Position,1,26553,
499.836,µm,Surface,Position,1,26554,
481.68,µm,Surface,Position,1,26555,
603.006,µm,Surface,Position,1,26556,
651.682,µm,Surface,Position,1,26557,
585.678,µm,Surface,Position,1,26558,
573.167,µm,Surface,Position,1,26559,
629.329,µm,Surface,Position,1,26560,
501.958,µm,Surface,Position,1,26561,
564.989,µm,Surface,Position,1,26562,
543.437,µm,Surface,Position,1,26563,
491.987,µm,Surface,Position,1,26564,
654.954,µm,Surface,Position,1,26565,
540.614,µm,Surface,Position,1,26567,
665.708,µm,Surface,Position,1,26568,
708.498,µm,Surface,Position,1,26569,
678.442,µm,Surface,Position,1,26570,
505.79,µm,Surface,Position,1,26571,
670.85,µm,Surface,Position,1,26572,
687.317,µm,Surface,Position,1,26573,
627.928,µm,Surface,Position,1,26574,
593.172,µm,Surface,Position,1,26575,
705.133,µm,Surface,Position,1,26576,
568.859,µm,Surface,Position,1,26577,
702.522,µm,Surface,Position,1,26578,
691.465,µm,Surface,Position,1,26580,
559.002,µm,Surface,Position,1,26581,
588.524,µm,Surface,Position,1,26582,
517.044,µm,Surface,Position,1,26583,
545.208,µm,Surface,Position,1,26584,
514.965,µm,Surface,Position,1,26585,
553.432,µm,Surface,Position,1,26586,
643.998,µm,Surface,Position,1,26587,
671.159,µm,Surface,Position,1,26589,
559.742,µm,Surface,Position,1,26591,
602.093,µm,Surface,Position,1,26592,
663.175,µm,Surface,Position,1,26593,
551.46,µm,Surface,Position,1,26594,
579.912,µm,Surface,Position,1,26595,
636.153,µm,Surface,Position,1,26597,
537.566,µm,Surface,Position,1,26598,
587.163,µm,Surface,Position,1,26599,
546.144,µm,Surface,Position,1,26600,
504.961,µm,Surface,Position,1,26601,
536.17,µm,Surface,Position,1,26602,
592.893,µm,Surface,Position,1,26603,
670.586,µm,Surface,Position,1,26604,
633.588,µm,Surface,Position,1,26606,
606.471,µm,Surface,Position,1,26607,
681.062,µm,Surface,Position,1,26608,
638.041,µm,Surface,Position,1,26609,
554.963,µm,Surface,Position,1,26610,
618.734,µm,Surface,Position,1,26611,
565.04,µm,Surface,Position,1,26612,
517.397,µm,Surface,Position,1,26614,
595.643,µm,Surface,Position,1,26616,
566.466,µm,Surface,Position,1,26617,
529.004,µm,Surface,Position,1,26621,
545.051,µm,Surface,Position,1,26622,
512.523,µm,Surface,Position,1,26624,
576.015,µm,Surface,Position,1,26626,
672.327,µm,Surface,Position,1,26627,
705.086,µm,Surface,Position,1,26628,
679.978,µm,Surface,Position,1,26630,
569.415,µm,Surface,Position,1,26632,
600.266,µm,Surface,Position,1,26633,
581.906,µm,Surface,Position,1,26635,
561.488,µm,Surface,Position,1,26636,
551.056,µm,Surface,Position,1,26637,
531.269,µm,Surface,Position,1,26638,
633.205,µm,Surface,Position,1,26639,
549.323,µm,Surface,Position,1,26640,
512.294,µm,Surface,Position,1,26641,
613.435,µm,Surface,Position,1,26642,
631.591,µm,Surface,Position,1,26643,
697.24,µm,Surface,Position,1,26644,
629.65,µm,Surface,Position,1,26645,
670.94,µm,Surface,Position,1,26646,
680.062,µm,Surface,Position,1,26647,
664.805,µm,Surface,Position,1,26649,
589.018,µm,Surface,Position,1,26652,
625.936,µm,Surface,Position,1,26654,
575.733,µm,Surface,Position,1,26655,
507.465,µm,Surface,Position,1,26658,
700.954,µm,Surface,Position,1,26659,
619.178,µm,Surface,Position,1,26660,
561.865,µm,Surface,Position,1,26661,
486.474,µm,Surface,Position,1,26662,
577.535,µm,Surface,Position,1,26663,
667.606,µm,Surface,Position,1,26664,
460.255,µm,Surface,Position,1,26665,
529.006,µm,Surface,Position,1,26666,
656.01,µm,Surface,Position,1,26667,
691.448,µm,Surface,Position,1,26668,
653.224,µm,Surface,Position,1,26669,
659.046,µm,Surface,Position,1,26670,
607.449,µm,Surface,Position,1,26671,
552.667,µm,Surface,Position,1,26672,
554.853,µm,Surface,Position,1,26673,
679.107,µm,Surface,Position,1,26674,
