
Position Y
 ==================== 
Position Y,Unit,Category,Collection,Time,ID,
686.493,µm,Surface,Position,1,26181,
575.292,µm,Surface,Position,1,26182,
604.275,µm,Surface,Position,1,26183,
596.907,µm,Surface,Position,1,26184,
654.353,µm,Surface,Position,1,26185,
573.463,µm,Surface,Position,1,26186,
578.419,µm,Surface,Position,1,26189,
598.068,µm,Surface,Position,1,26190,
693.767,µm,Surface,Position,1,26192,
708.153,µm,Surface,Position,1,26193,
687.649,µm,Surface,Position,1,26194,
674.123,µm,Surface,Position,1,26195,
566.537,µm,Surface,Position,1,26196,
577.938,µm,Surface,Position,1,26197,
698.143,µm,Surface,Position,1,26198,
630.293,µm,Surface,Position,1,26199,
708.484,µm,Surface,Position,1,26200,
690.241,µm,Surface,Position,1,26201,
585.803,µm,Surface,Position,1,26203,
605.08,µm,Surface,Position,1,26204,
662.138,µm,Surface,Position,1,26205,
650.431,µm,Surface,Position,1,26206,
645.654,µm,Surface,Position,1,26207,
646.398,µm,Surface,Position,1,26208,
601.651,µm,Surface,Position,1,26209,
582.185,µm,Surface,Position,1,26211,
627.275,µm,Surface,Position,1,26212,
654.546,µm,Surface,Position,1,26213,
670.755,µm,Surface,Position,1,26214,
686.908,µm,Surface,Position,1,26215,
602.558,µm,Surface,Position,1,26216,
663.944,µm,Surface,Position,1,26217,
702.861,µm,Surface,Position,1,26218,
715.094,µm,Surface,Position,1,26219,
610.978,µm,Surface,Position,1,26220,
591.644,µm,Surface,Position,1,26221,
614.402,µm,Surface,Position,1,26222,
629.769,µm,Surface,Position,1,26225,
700.436,µm,Surface,Position,1,26226,
673.608,µm,Surface,Position,1,26227,
601.923,µm,Surface,Position,1,26228,
683.617,µm,Surface,Position,1,26229,
681.804,µm,Surface,Position,1,26230,
702.301,µm,Surface,Position,1,26231,
630.321,µm,Surface,Position,1,26232,
635.144,µm,Surface,Position,1,26233,
691.201,µm,Surface,Position,1,26235,
711.544,µm,Surface,Position,1,26236,
652.638,µm,Surface,Position,1,26237,
585.63,µm,Surface,Position,1,26238,
657.387,µm,Surface,Position,1,26241,
599.296,µm,Surface,Position,1,26242,
606.399,µm,Surface,Position,1,26245,
600.17,µm,Surface,Position,1,26246,
604.774,µm,Surface,Position,1,26247,
645.615,µm,Surface,Position,1,26248,
708.504,µm,Surface,Position,1,26249,
686.856,µm,Surface,Position,1,26250,
677.378,µm,Surface,Position,1,26251,
668.558,µm,Surface,Position,1,26252,
658.502,µm,Surface,Position,1,26253,
645.317,µm,Surface,Position,1,26254,
618.429,µm,Surface,Position,1,26255,
621.33,µm,Surface,Position,1,26256,
666.421,µm,Surface,Position,1,26258,
684.028,µm,Surface,Position,1,26259,
641.143,µm,Surface,Position,1,26260,
650.206,µm,Surface,Position,1,26261,
653.234,µm,Surface,Position,1,26262,
667.943,µm,Surface,Position,1,26263,
668.924,µm,Surface,Position,1,26264,
624.835,µm,Surface,Position,1,26265,
700.036,µm,Surface,Position,1,26266,
703.711,µm,Surface,Position,1,26267,
642.458,µm,Surface,Position,1,26268,
689.494,µm,Surface,Position,1,26269,
695.04,µm,Surface,Position,1,26270,
616.999,µm,Surface,Position,1,26271,
616.028,µm,Surface,Position,1,26272,
622.917,µm,Surface,Position,1,26273,
643.215,µm,Surface,Position,1,26274,
616.763,µm,Surface,Position,1,26275,
649.095,µm,Surface,Position,1,26276,
606.086,µm,Surface,Position,1,26277,
661.784,µm,Surface,Position,1,26279,
633.408,µm,Surface,Position,1,26280,
690.174,µm,Surface,Position,1,26281,
607.787,µm,Surface,Position,1,26282,
615.158,µm,Surface,Position,1,26283,
631.998,µm,Surface,Position,1,26284,
660.534,µm,Surface,Position,1,26285,
685.146,µm,Surface,Position,1,26286,
675.016,µm,Surface,Position,1,26287,
654.256,µm,Surface,Position,1,26289,
701.463,µm,Surface,Position,1,26290,
702.282,µm,Surface,Position,1,26291,
673.599,µm,Surface,Position,1,26292,
647.705,µm,Surface,Position,1,26294,
684.434,µm,Surface,Position,1,26295,
666.417,µm,Surface,Position,1,26296,
681.687,µm,Surface,Position,1,26297,
650.324,µm,Surface,Position,1,26298,
639.008,µm,Surface,Position,1,26299,
648.293,µm,Surface,Position,1,26301,
636.678,µm,Surface,Position,1,26304,
709.205,µm,Surface,Position,1,26305,
644.468,µm,Surface,Position,1,26307,
626.547,µm,Surface,Position,1,26308,
648.247,µm,Surface,Position,1,26309,
671.351,µm,Surface,Position,1,26310,
646.601,µm,Surface,Position,1,26311,
654.297,µm,Surface,Position,1,26312,
685.238,µm,Surface,Position,1,26313,
698.291,µm,Surface,Position,1,26315,
713.077,µm,Surface,Position,1,26317,
684.318,µm,Surface,Position,1,26318,
680.85,µm,Surface,Position,1,26319,
648.814,µm,Surface,Position,1,26320,
665.385,µm,Surface,Position,1,26321,
647.933,µm,Surface,Position,1,26322,
681.406,µm,Surface,Position,1,26323,
654.038,µm,Surface,Position,1,26324,
708.648,µm,Surface,Position,1,26326,
661.492,µm,Surface,Position,1,26327,
659.267,µm,Surface,Position,1,26328,
695.743,µm,Surface,Position,1,26329,
645.459,µm,Surface,Position,1,26330,
681.935,µm,Surface,Position,1,26331,
630.614,µm,Surface,Position,1,26332,
663.776,µm,Surface,Position,1,26334,
686.578,µm,Surface,Position,1,26336,
683.924,µm,Surface,Position,1,26338,
646.57,µm,Surface,Position,1,26339,
695.24,µm,Surface,Position,1,26340,
680.297,µm,Surface,Position,1,26342,
703.343,µm,Surface,Position,1,26343,
