
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,ID,
14.2817,µm,Surface,Position,1,26181,
29.6369,µm,Surface,Position,1,26182,
19.4486,µm,Surface,Position,1,26183,
13.303,µm,Surface,Position,1,26184,
25.5949,µm,Surface,Position,1,26185,
15.0316,µm,Surface,Position,1,26186,
15.5145,µm,Surface,Position,1,26189,
17.4405,µm,Surface,Position,1,26190,
13.0619,µm,Surface,Position,1,26192,
29.1625,µm,Surface,Position,1,26193,
20.2884,µm,Surface,Position,1,26194,
17.8419,µm,Surface,Position,1,26195,
27.1294,µm,Surface,Position,1,26196,
28.5473,µm,Surface,Position,1,26197,
24.6366,µm,Surface,Position,1,26198,
15.4219,µm,Surface,Position,1,26199,
16.2352,µm,Surface,Position,1,26200,
28.8242,µm,Surface,Position,1,26201,
13.3862,µm,Surface,Position,1,26203,
13.3909,µm,Surface,Position,1,26204,
28.2618,µm,Surface,Position,1,26205,
17.095,µm,Surface,Position,1,26206,
27.4325,µm,Surface,Position,1,26207,
22.8138,µm,Surface,Position,1,26208,
28.5643,µm,Surface,Position,1,26209,
25.1228,µm,Surface,Position,1,26211,
24.7634,µm,Surface,Position,1,26212,
16.159,µm,Surface,Position,1,26213,
27.9697,µm,Surface,Position,1,26214,
27.3006,µm,Surface,Position,1,26215,
19.0155,µm,Surface,Position,1,26216,
28.0263,µm,Surface,Position,1,26217,
24.1019,µm,Surface,Position,1,26218,
26.1579,µm,Surface,Position,1,26219,
21.2099,µm,Surface,Position,1,26220,
20.7463,µm,Surface,Position,1,26221,
18.9284,µm,Surface,Position,1,26222,
25.4067,µm,Surface,Position,1,26225,
20.6569,µm,Surface,Position,1,26226,
12.9972,µm,Surface,Position,1,26227,
13.1057,µm,Surface,Position,1,26228,
24.8986,µm,Surface,Position,1,26229,
11.569,µm,Surface,Position,1,26230,
11.8872,µm,Surface,Position,1,26231,
16.2597,µm,Surface,Position,1,26232,
25.0953,µm,Surface,Position,1,26233,
13.1039,µm,Surface,Position,1,26235,
19.5527,µm,Surface,Position,1,26236,
29.632,µm,Surface,Position,1,26237,
26.6287,µm,Surface,Position,1,26238,
23.0839,µm,Surface,Position,1,26241,
29.5462,µm,Surface,Position,1,26242,
12.1268,µm,Surface,Position,1,26245,
16.8447,µm,Surface,Position,1,26246,
21.8417,µm,Surface,Position,1,26247,
21.2601,µm,Surface,Position,1,26248,
15.7659,µm,Surface,Position,1,26249,
17.963,µm,Surface,Position,1,26250,
30.0525,µm,Surface,Position,1,26251,
18.9134,µm,Surface,Position,1,26252,
15.525,µm,Surface,Position,1,26253,
27.9669,µm,Surface,Position,1,26254,
23.2724,µm,Surface,Position,1,26255,
29.0134,µm,Surface,Position,1,26256,
26.6145,µm,Surface,Position,1,26258,
19.0555,µm,Surface,Position,1,26259,
