
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.704915,,Surface,1,26181,
0.797425,,Surface,1,26182,
0.774908,,Surface,1,26183,
0.765259,,Surface,1,26184,
0.723493,,Surface,1,26185,
0.904615,,Surface,1,26186,
0.82612,,Surface,1,26189,
0.804229,,Surface,1,26190,
0.799817,,Surface,1,26192,
0.638781,,Surface,1,26193,
0.844794,,Surface,1,26194,
0.91151,,Surface,1,26195,
0.860138,,Surface,1,26196,
0.82798,,Surface,1,26197,
0.782445,,Surface,1,26198,
0.868209,,Surface,1,26199,
0.855824,,Surface,1,26200,
0.830796,,Surface,1,26201,
0.665316,,Surface,1,26203,
0.810676,,Surface,1,26204,
0.819727,,Surface,1,26205,
0.767629,,Surface,1,26206,
0.80715,,Surface,1,26207,
0.801264,,Surface,1,26208,
0.793976,,Surface,1,26209,
0.860897,,Surface,1,26211,
0.757562,,Surface,1,26212,
0.837797,,Surface,1,26213,
0.88539,,Surface,1,26214,
0.720523,,Surface,1,26215,
0.860719,,Surface,1,26216,
0.787549,,Surface,1,26217,
0.708242,,Surface,1,26218,
0.853356,,Surface,1,26219,
0.762286,,Surface,1,26220,
0.632637,,Surface,1,26221,
0.851999,,Surface,1,26222,
0.725724,,Surface,1,26225,
0.766502,,Surface,1,26226,
0.759096,,Surface,1,26227,
0.871342,,Surface,1,26228,
0.7557,,Surface,1,26229,
0.835372,,Surface,1,26230,
0.810236,,Surface,1,26231,
0.927719,,Surface,1,26232,
0.836347,,Surface,1,26233,
0.800817,,Surface,1,26235,
0.766859,,Surface,1,26236,
0.914168,,Surface,1,26237,
0.833178,,Surface,1,26238,
0.910811,,Surface,1,26241,
0.82242,,Surface,1,26242,
0.846236,,Surface,1,26245,
0.801885,,Surface,1,26246,
0.845472,,Surface,1,26247,
0.717612,,Surface,1,26248,
0.753107,,Surface,1,26249,
0.830899,,Surface,1,26250,
0.815048,,Surface,1,26251,
0.811682,,Surface,1,26252,
0.926986,,Surface,1,26253,
0.823794,,Surface,1,26254,
0.746295,,Surface,1,26255,
0.922818,,Surface,1,26256,
0.718487,,Surface,1,26258,
0.802105,,Surface,1,26259,
0.933459,,Surface,1,26260,
0.80216,,Surface,1,26261,
0.811867,,Surface,1,26262,
0.686103,,Surface,1,26263,
0.824994,,Surface,1,26264,
0.873812,,Surface,1,26265,
0.67953,,Surface,1,26266,
0.72991,,Surface,1,26267,
0.946082,,Surface,1,26268,
0.785602,,Surface,1,26269,
0.777333,,Surface,1,26270,
0.800124,,Surface,1,26271,
0.802682,,Surface,1,26272,
0.821431,,Surface,1,26273,
0.778778,,Surface,1,26274,
0.780584,,Surface,1,26275,
0.827411,,Surface,1,26276,
0.758746,,Surface,1,26277,
0.745167,,Surface,1,26279,
0.760143,,Surface,1,26280,
0.872855,,Surface,1,26281,
0.745809,,Surface,1,26282,
0.710655,,Surface,1,26283,
0.762521,,Surface,1,26284,
0.630443,,Surface,1,26285,
0.693076,,Surface,1,26286,
0.818469,,Surface,1,26287,
0.847844,,Surface,1,26289,
0.876149,,Surface,1,26290,
0.881584,,Surface,1,26291,
0.89436,,Surface,1,26292,
0.689861,,Surface,1,26294,
0.870782,,Surface,1,26295,
0.8805,,Surface,1,26296,
0.864347,,Surface,1,26297,
0.805491,,Surface,1,26298,
0.871691,,Surface,1,26299,
0.834298,,Surface,1,26301,
0.746936,,Surface,1,26304,
0.815305,,Surface,1,26305,
0.787691,,Surface,1,26307,
0.877392,,Surface,1,26308,
0.746375,,Surface,1,26309,
0.690486,,Surface,1,26310,
0.839847,,Surface,1,26311,
0.87638,,Surface,1,26312,
0.809006,,Surface,1,26313,
0.809334,,Surface,1,26315,
0.797152,,Surface,1,26317,
0.864112,,Surface,1,26318,
0.683081,,Surface,1,26319,
0.802679,,Surface,1,26320,
0.82271,,Surface,1,26321,
0.717878,,Surface,1,26322,
0.865545,,Surface,1,26323,
