
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
712.76,µm^3,Surface,1,26181,
148.24,µm^3,Surface,1,26182,
937.779,µm^3,Surface,1,26183,
527.778,µm^3,Surface,1,26184,
415.499,µm^3,Surface,1,26185,
320.235,µm^3,Surface,1,26186,
341.601,µm^3,Surface,1,26189,
312.97,µm^3,Surface,1,26190,
479.182,µm^3,Surface,1,26192,
467.123,µm^3,Surface,1,26193,
382.339,µm^3,Surface,1,26194,
399.8,µm^3,Surface,1,26195,
226.308,µm^3,Surface,1,26196,
365.259,µm^3,Surface,1,26197,
277.195,µm^3,Surface,1,26198,
466.206,µm^3,Surface,1,26199,
393.75,µm^3,Surface,1,26200,
246.111,µm^3,Surface,1,26201,
456.057,µm^3,Surface,1,26203,
400.896,µm^3,Surface,1,26204,
261.574,µm^3,Surface,1,26205,
760.757,µm^3,Surface,1,26206,
288.249,µm^3,Surface,1,26207,
145.018,µm^3,Surface,1,26208,
336.51,µm^3,Surface,1,26209,
302.016,µm^3,Surface,1,26211,
160.609,µm^3,Surface,1,26212,
334.257,µm^3,Surface,1,26213,
252.023,µm^3,Surface,1,26214,
426.601,µm^3,Surface,1,26215,
354.076,µm^3,Surface,1,26216,
513.574,µm^3,Surface,1,26217,
676.388,µm^3,Surface,1,26218,
174.33,µm^3,Surface,1,26219,
878.939,µm^3,Surface,1,26220,
853.938,µm^3,Surface,1,26221,
356.496,µm^3,Surface,1,26222,
136.901,µm^3,Surface,1,26225,
398.464,µm^3,Surface,1,26226,
922.228,µm^3,Surface,1,26227,
297.449,µm^3,Surface,1,26228,
660.159,µm^3,Surface,1,26229,
137.485,µm^3,Surface,1,26230,
343.438,µm^3,Surface,1,26231,
362.643,µm^3,Surface,1,26232,
203.226,µm^3,Surface,1,26233,
569.469,µm^3,Surface,1,26235,
1055.17,µm^3,Surface,1,26236,
205.054,µm^3,Surface,1,26237,
265.828,µm^3,Surface,1,26238,
266.953,µm^3,Surface,1,26241,
299.667,µm^3,Surface,1,26242,
345.483,µm^3,Surface,1,26245,
377.484,µm^3,Surface,1,26246,
313.692,µm^3,Surface,1,26247,
388.241,µm^3,Surface,1,26248,
427.302,µm^3,Surface,1,26249,
406.781,µm^3,Surface,1,26250,
201.946,µm^3,Surface,1,26251,
380.166,µm^3,Surface,1,26252,
309.54,µm^3,Surface,1,26253,
302.691,µm^3,Surface,1,26254,
261.419,µm^3,Surface,1,26255,
166.584,µm^3,Surface,1,26256,
523.825,µm^3,Surface,1,26258,
735.372,µm^3,Surface,1,26259,
283.966,µm^3,Surface,1,26260,
249.432,µm^3,Surface,1,26261,
308.126,µm^3,Surface,1,26262,
204.167,µm^3,Surface,1,26263,
485.023,µm^3,Surface,1,26264,
674.058,µm^3,Surface,1,26265,
326.001,µm^3,Surface,1,26266,
748.219,µm^3,Surface,1,26267,
363.314,µm^3,Surface,1,26268,
172.875,µm^3,Surface,1,26269,
228.43,µm^3,Surface,1,26270,
133.089,µm^3,Surface,1,26271,
224.849,µm^3,Surface,1,26272,
689.781,µm^3,Surface,1,26273,
562.528,µm^3,Surface,1,26274,
711.122,µm^3,Surface,1,26275,
150.957,µm^3,Surface,1,26276,
107.219,µm^3,Surface,1,26277,
693.865,µm^3,Surface,1,26279,
711.137,µm^3,Surface,1,26280,
310.402,µm^3,Surface,1,26281,
450.863,µm^3,Surface,1,26282,
593.906,µm^3,Surface,1,26283,
308.255,µm^3,Surface,1,26284,
1095.13,µm^3,Surface,1,26285,
