
Volume Inside Img=1
 ==================== 
Distance to Surface,Volume Inside,Unit,Collection,Image,Time,ID,
-5.2455,7.59133,µm^3,Volume Inside,Image 1,1,,
-4.9765,31.7397,µm^3,Volume Inside,Image 1,1,,
-4.7075,122.071,µm^3,Volume Inside,Image 1,1,,
-4.4385,418.611,µm^3,Volume Inside,Image 1,1,,
-4.1695,1252.67,µm^3,Volume Inside,Image 1,1,,
-3.9005,3294.1,µm^3,Volume Inside,Image 1,1,,
-3.6315,7747.82,µm^3,Volume Inside,Image 1,1,,
-3.3625,16346.8,µm^3,Volume Inside,Image 1,1,,
-3.0935,31215.1,µm^3,Volume Inside,Image 1,1,,
-2.8245,54261.4,µm^3,Volume Inside,Image 1,1,,
-2.5555,86393.8,µm^3,Volume Inside,Image 1,1,,
-2.2865,127350,µm^3,Volume Inside,Image 1,1,,
-2.0175,177289,µm^3,Volume Inside,Image 1,1,,
-1.7485,234014,µm^3,Volume Inside,Image 1,1,,
-1.4795,297793,µm^3,Volume Inside,Image 1,1,,
-1.2105,367049,µm^3,Volume Inside,Image 1,1,,
-0.9415,438420,µm^3,Volume Inside,Image 1,1,,
-0.6725,502970,µm^3,Volume Inside,Image 1,1,,
-0.4035,552716,µm^3,Volume Inside,Image 1,1,,
-0.1345,591787,µm^3,Volume Inside,Image 1,1,,
