
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
0.1345,663314,µm^3,Volume Outside,Image 1,1,,
0.4035,675615,µm^3,Volume Outside,Image 1,1,,
0.6725,685047,µm^3,Volume Outside,Image 1,1,,
0.9415,692503,µm^3,Volume Outside,Image 1,1,,
1.2105,692943,µm^3,Volume Outside,Image 1,1,,
1.4795,690334,µm^3,Volume Outside,Image 1,1,,
1.7485,681571,µm^3,Volume Outside,Image 1,1,,
2.0175,669156,µm^3,Volume Outside,Image 1,1,,
2.2865,648845,µm^3,Volume Outside,Image 1,1,,
2.5555,627987,µm^3,Volume Outside,Image 1,1,,
2.8245,602436,µm^3,Volume Outside,Image 1,1,,
3.0935,575917,µm^3,Volume Outside,Image 1,1,,
3.3625,550920,µm^3,Volume Outside,Image 1,1,,
3.6315,523021,µm^3,Volume Outside,Image 1,1,,
3.9005,481339,µm^3,Volume Outside,Image 1,1,,
4.1695,443524,µm^3,Volume Outside,Image 1,1,,
4.4385,410671,µm^3,Volume Outside,Image 1,1,,
4.7075,381612,µm^3,Volume Outside,Image 1,1,,
4.9765,355600,µm^3,Volume Outside,Image 1,1,,
5.2455,331314,µm^3,Volume Outside,Image 1,1,,
5.5145,309408,µm^3,Volume Outside,Image 1,1,,
5.7835,289363,µm^3,Volume Outside,Image 1,1,,
6.0525,271371,µm^3,Volume Outside,Image 1,1,,
6.3215,256368,µm^3,Volume Outside,Image 1,1,,
6.5905,243387,µm^3,Volume Outside,Image 1,1,,
6.8595,233163,µm^3,Volume Outside,Image 1,1,,
7.1285,225395,µm^3,Volume Outside,Image 1,1,,
7.3975,212951,µm^3,Volume Outside,Image 1,1,,
7.6665,200876,µm^3,Volume Outside,Image 1,1,,
7.9355,189894,µm^3,Volume Outside,Image 1,1,,
8.2045,179981,µm^3,Volume Outside,Image 1,1,,
8.4735,166708,µm^3,Volume Outside,Image 1,1,,
8.7425,150757,µm^3,Volume Outside,Image 1,1,,
9.0115,131430,µm^3,Volume Outside,Image 1,1,,
9.2805,112803,µm^3,Volume Outside,Image 1,1,,
9.5495,95370.7,µm^3,Volume Outside,Image 1,1,,
9.8185,80802.7,µm^3,Volume Outside,Image 1,1,,
10.0875,68880.2,µm^3,Volume Outside,Image 1,1,,
10.3565,58281.2,µm^3,Volume Outside,Image 1,1,,
10.6255,49499.1,µm^3,Volume Outside,Image 1,1,,
10.8945,41526.2,µm^3,Volume Outside,Image 1,1,,
