
Intensity Ch=15 Img=1
 ==================== 
Distance to Surface,Intensity Mean,Image Intensity Mean,Intensity Mean minus Std,Intensity Mean plus Std,Unit,Channel,Collection,Image,Time,ID,
-0.67,197.797,1497.2,-444.578,3438.98,,15,Intensity,Image 1,1,,
-0.402,197.797,1313,-529.208,3155.21,,15,Intensity,Image 1,1,,
-0.134,197.797,990.795,-611.304,2592.89,,15,Intensity,Image 1,1,,
0.134,197.797,785.476,-600.221,2171.17,,15,Intensity,Image 1,1,,
0.402,197.797,674.599,-554.989,1904.19,,15,Intensity,Image 1,1,,
0.67,197.797,631.479,-528.006,1790.96,,15,Intensity,Image 1,1,,
0.938,197.797,609.538,-511.088,1730.16,,15,Intensity,Image 1,1,,
1.206,197.797,604.713,-510.507,1719.93,,15,Intensity,Image 1,1,,
1.474,197.797,606.679,-492.536,1705.89,,15,Intensity,Image 1,1,,
1.742,197.797,601.999,-462.459,1666.46,,15,Intensity,Image 1,1,,
2.01,197.797,586.412,-436.298,1609.12,,15,Intensity,Image 1,1,,
2.278,197.797,568.197,-416.212,1552.61,,15,Intensity,Image 1,1,,
2.546,197.797,567.925,-431.212,1567.06,,15,Intensity,Image 1,1,,
2.814,197.797,585.359,-477.343,1648.06,,15,Intensity,Image 1,1,,
3.082,197.797,617.897,-541.12,1776.91,,15,Intensity,Image 1,1,,
3.35,197.797,660.323,-602.113,1922.76,,15,Intensity,Image 1,1,,
3.618,197.797,698.941,-638.941,2036.82,,15,Intensity,Image 1,1,,
3.886,197.797,712.091,-639.265,2063.45,,15,Intensity,Image 1,1,,
4.154,197.797,705.033,-633.794,2043.86,,15,Intensity,Image 1,1,,
4.422,197.797,682.488,-636.503,2001.48,,15,Intensity,Image 1,1,,
4.69,197.797,644.906,-641.225,1931.04,,15,Intensity,Image 1,1,,
4.958,197.797,599.852,-639.768,1839.47,,15,Intensity,Image 1,1,,
5.226,197.797,553.904,-633.288,1741.1,,15,Intensity,Image 1,1,,
5.494,197.797,514.361,-627.595,1656.32,,15,Intensity,Image 1,1,,
5.762,197.797,480.051,-623.974,1584.08,,15,Intensity,Image 1,1,,
6.03,197.797,444.802,-621.387,1510.99,,15,Intensity,Image 1,1,,
6.298,197.797,408.395,-616.998,1433.79,,15,Intensity,Image 1,1,,
