
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
694.08,µm,Surface,Distance from Origin,1,0,
693.723,µm,Surface,Distance from Origin,1,1,
694.497,µm,Surface,Distance from Origin,1,2,
691.196,µm,Surface,Distance from Origin,1,3,
693.317,µm,Surface,Distance from Origin,1,4,
692.953,µm,Surface,Distance from Origin,1,5,
693.181,µm,Surface,Distance from Origin,1,6,
692.614,µm,Surface,Distance from Origin,1,7,
691.223,µm,Surface,Distance from Origin,1,8,
691.434,µm,Surface,Distance from Origin,1,9,
692.194,µm,Surface,Distance from Origin,1,10,
691.378,µm,Surface,Distance from Origin,1,11,
694.818,µm,Surface,Distance from Origin,1,12,
691.993,µm,Surface,Distance from Origin,1,13,
691.436,µm,Surface,Distance from Origin,1,14,
691.574,µm,Surface,Distance from Origin,1,15,
