
Intensity Max Ch=9 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
582,,Surface,9,Image 1,1,0,
550,,Surface,9,Image 1,1,1,
833,,Surface,9,Image 1,1,2,
4768,,Surface,9,Image 1,1,3,
1333,,Surface,9,Image 1,1,4,
901,,Surface,9,Image 1,1,5,
898,,Surface,9,Image 1,1,6,
986,,Surface,9,Image 1,1,7,
3219,,Surface,9,Image 1,1,8,
851,,Surface,9,Image 1,1,9,
879,,Surface,9,Image 1,1,10,
1823,,Surface,9,Image 1,1,11,
5793,,Surface,9,Image 1,1,12,
546,,Surface,9,Image 1,1,13,
1118,,Surface,9,Image 1,1,14,
1220,,Surface,9,Image 1,1,15,
