
Intensity Mean Ch=38 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
677.095,,Surface,38,Image 1,1,0,
985.704,,Surface,38,Image 1,1,1,
438.41,,Surface,38,Image 1,1,2,
649.329,,Surface,38,Image 1,1,3,
1371.89,,Surface,38,Image 1,1,4,
1266.83,,Surface,38,Image 1,1,5,
1798.83,,Surface,38,Image 1,1,6,
791.378,,Surface,38,Image 1,1,7,
482.886,,Surface,38,Image 1,1,8,
692.246,,Surface,38,Image 1,1,9,
1002.84,,Surface,38,Image 1,1,10,
613.358,,Surface,38,Image 1,1,11,
1628.61,,Surface,38,Image 1,1,12,
1397.29,,Surface,38,Image 1,1,13,
1480.91,,Surface,38,Image 1,1,14,
1722.79,,Surface,38,Image 1,1,15,
