
Intensity Min Ch=12 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
1246,,Surface,12,Image 1,1,0,
1969,,Surface,12,Image 1,1,1,
0,,Surface,12,Image 1,1,2,
0,,Surface,12,Image 1,1,3,
214,,Surface,12,Image 1,1,4,
68,,Surface,12,Image 1,1,5,
57,,Surface,12,Image 1,1,6,
231,,Surface,12,Image 1,1,7,
0,,Surface,12,Image 1,1,8,
0,,Surface,12,Image 1,1,9,
0,,Surface,12,Image 1,1,10,
0,,Surface,12,Image 1,1,11,
0,,Surface,12,Image 1,1,12,
157,,Surface,12,Image 1,1,13,
264,,Surface,12,Image 1,1,14,
0,,Surface,12,Image 1,1,15,
