
Intensity Sum Ch=6 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
11878,,Surface,6,Image 1,1,0,
9405,,Surface,6,Image 1,1,1,
123023,,Surface,6,Image 1,1,2,
776,,Surface,6,Image 1,1,3,
59162,,Surface,6,Image 1,1,4,
29229,,Surface,6,Image 1,1,5,
30394,,Surface,6,Image 1,1,6,
117751,,Surface,6,Image 1,1,7,
924,,Surface,6,Image 1,1,8,
15215,,Surface,6,Image 1,1,9,
24091,,Surface,6,Image 1,1,10,
6508,,Surface,6,Image 1,1,11,
354835,,Surface,6,Image 1,1,12,
54233,,Surface,6,Image 1,1,13,
18178,,Surface,6,Image 1,1,14,
78458,,Surface,6,Image 1,1,15,
