
Intensity Sum of Square Ch=18 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
5476,,Surface,18,Image 1,1,0,
79134,,Surface,18,Image 1,1,1,
2.38438e+08,,Surface,18,Image 1,1,2,
48310,,Surface,18,Image 1,1,3,
8.86773e+08,,Surface,18,Image 1,1,4,
6.11637e+06,,Surface,18,Image 1,1,5,
1.72179e+07,,Surface,18,Image 1,1,6,
3.69341e+06,,Surface,18,Image 1,1,7,
3.49405e+08,,Surface,18,Image 1,1,8,
124991,,Surface,18,Image 1,1,9,
3.45308e+09,,Surface,18,Image 1,1,10,
1.6997e+09,,Surface,18,Image 1,1,11,
9.80761e+08,,Surface,18,Image 1,1,12,
1.66032e+08,,Surface,18,Image 1,1,13,
1.25475e+07,,Surface,18,Image 1,1,14,
1.55833e+06,,Surface,18,Image 1,1,15,
