
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-0.675,1.3279,µm^3,Cumulative Volume,Image 1,1,,
-0.405,5.24912,µm^3,Cumulative Volume,Image 1,1,,
-0.135,13.4052,µm^3,Cumulative Volume,Image 1,1,,
0.135,26.9733,µm^3,Cumulative Volume,Image 1,1,,
0.405,46.0097,µm^3,Cumulative Volume,Image 1,1,,
0.675,71.0499,µm^3,Cumulative Volume,Image 1,1,,
0.945,102.162,µm^3,Cumulative Volume,Image 1,1,,
1.215,139.786,µm^3,Cumulative Volume,Image 1,1,,
1.485,184.702,µm^3,Cumulative Volume,Image 1,1,,
1.755,237.112,µm^3,Cumulative Volume,Image 1,1,,
2.025,297.327,µm^3,Cumulative Volume,Image 1,1,,
2.295,366.074,µm^3,Cumulative Volume,Image 1,1,,
2.565,443.755,µm^3,Cumulative Volume,Image 1,1,,
2.835,531.033,µm^3,Cumulative Volume,Image 1,1,,
3.105,628.412,µm^3,Cumulative Volume,Image 1,1,,
3.375,736.352,µm^3,Cumulative Volume,Image 1,1,,
3.645,854.79,µm^3,Cumulative Volume,Image 1,1,,
3.915,984.713,µm^3,Cumulative Volume,Image 1,1,,
4.185,1127.06,µm^3,Cumulative Volume,Image 1,1,,
4.455,1282.26,µm^3,Cumulative Volume,Image 1,1,,
4.725,1449.66,µm^3,Cumulative Volume,Image 1,1,,
4.995,1630.05,µm^3,Cumulative Volume,Image 1,1,,
5.265,1824.15,µm^3,Cumulative Volume,Image 1,1,,
5.535,2032.35,µm^3,Cumulative Volume,Image 1,1,,
5.805,2255.06,µm^3,Cumulative Volume,Image 1,1,,
6.075,2491.48,µm^3,Cumulative Volume,Image 1,1,,
6.345,2740.85,µm^3,Cumulative Volume,Image 1,1,,
6.615,3002.89,µm^3,Cumulative Volume,Image 1,1,,
6.885,3277.09,µm^3,Cumulative Volume,Image 1,1,,
7.155,3561.37,µm^3,Cumulative Volume,Image 1,1,,
7.425,3856.05,µm^3,Cumulative Volume,Image 1,1,,
7.695,4162.36,µm^3,Cumulative Volume,Image 1,1,,
7.965,4480.82,µm^3,Cumulative Volume,Image 1,1,,
8.235,4812.29,µm^3,Cumulative Volume,Image 1,1,,
8.505,5154.81,µm^3,Cumulative Volume,Image 1,1,,
8.775,5510.92,µm^3,Cumulative Volume,Image 1,1,,
9.045,5876.17,µm^3,Cumulative Volume,Image 1,1,,
9.315,6245.44,µm^3,Cumulative Volume,Image 1,1,,
9.585,6619.3,µm^3,Cumulative Volume,Image 1,1,,
9.855,6994.21,µm^3,Cumulative Volume,Image 1,1,,
10.125,7370.74,µm^3,Cumulative Volume,Image 1,1,,
10.395,7743.18,µm^3,Cumulative Volume,Image 1,1,,
10.665,8111.92,µm^3,Cumulative Volume,Image 1,1,,
10.935,8474.34,µm^3,Cumulative Volume,Image 1,1,,
11.205,8832.26,µm^3,Cumulative Volume,Image 1,1,,
11.475,9181.75,µm^3,Cumulative Volume,Image 1,1,,
11.745,9518.37,µm^3,Cumulative Volume,Image 1,1,,
12.015,9843.88,µm^3,Cumulative Volume,Image 1,1,,
12.285,10156.2,µm^3,Cumulative Volume,Image 1,1,,
12.555,10457.7,µm^3,Cumulative Volume,Image 1,1,,
12.825,10746.7,µm^3,Cumulative Volume,Image 1,1,,
13.095,11025.5,µm^3,Cumulative Volume,Image 1,1,,
13.365,11293.2,µm^3,Cumulative Volume,Image 1,1,,
13.635,11548.5,µm^3,Cumulative Volume,Image 1,1,,
13.905,11793.9,µm^3,Cumulative Volume,Image 1,1,,
14.175,12028.3,µm^3,Cumulative Volume,Image 1,1,,
14.445,12253,µm^3,Cumulative Volume,Image 1,1,,
14.715,12466.6,µm^3,Cumulative Volume,Image 1,1,,
14.985,12670.8,µm^3,Cumulative Volume,Image 1,1,,
15.255,12864.8,µm^3,Cumulative Volume,Image 1,1,,
15.525,13050.7,µm^3,Cumulative Volume,Image 1,1,,
15.795,13228.2,µm^3,Cumulative Volume,Image 1,1,,
16.065,13397.8,µm^3,Cumulative Volume,Image 1,1,,
16.335,13563.1,µm^3,Cumulative Volume,Image 1,1,,
16.605,13721.8,µm^3,Cumulative Volume,Image 1,1,,
16.875,13876.2,µm^3,Cumulative Volume,Image 1,1,,
17.145,14028.5,µm^3,Cumulative Volume,Image 1,1,,
17.415,14180.2,µm^3,Cumulative Volume,Image 1,1,,
17.685,14328.2,µm^3,Cumulative Volume,Image 1,1,,
17.955,14474.4,µm^3,Cumulative Volume,Image 1,1,,
18.225,14620.7,µm^3,Cumulative Volume,Image 1,1,,
18.495,14764.1,µm^3,Cumulative Volume,Image 1,1,,
18.765,14905.8,µm^3,Cumulative Volume,Image 1,1,,
19.035,15047.7,µm^3,Cumulative Volume,Image 1,1,,
19.305,15190.5,µm^3,Cumulative Volume,Image 1,1,,
19.575,15330.3,µm^3,Cumulative Volume,Image 1,1,,
19.845,15465.7,µm^3,Cumulative Volume,Image 1,1,,
20.115,15594.3,µm^3,Cumulative Volume,Image 1,1,,
20.385,15714.6,µm^3,Cumulative Volume,Image 1,1,,
20.655,15822.9,µm^3,Cumulative Volume,Image 1,1,,
20.925,15920.4,µm^3,Cumulative Volume,Image 1,1,,
21.195,16008,µm^3,Cumulative Volume,Image 1,1,,
21.465,16084.4,µm^3,Cumulative Volume,Image 1,1,,
21.735,16150.7,µm^3,Cumulative Volume,Image 1,1,,
22.005,16208.7,µm^3,Cumulative Volume,Image 1,1,,
