
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.1345,7.21402,µm^3,Cumulative Volume Outside,Image 1,1,,
0.4035,18.3554,µm^3,Cumulative Volume Outside,Image 1,1,,
0.6725,34.0293,µm^3,Cumulative Volume Outside,Image 1,1,,
0.9415,54.5137,µm^3,Cumulative Volume Outside,Image 1,1,,
1.2105,80.224,µm^3,Cumulative Volume Outside,Image 1,1,,
1.4795,111.774,µm^3,Cumulative Volume Outside,Image 1,1,,
1.7485,149.634,µm^3,Cumulative Volume Outside,Image 1,1,,
2.0175,194.379,µm^3,Cumulative Volume Outside,Image 1,1,,
2.2865,246.332,µm^3,Cumulative Volume Outside,Image 1,1,,
2.5555,306.115,µm^3,Cumulative Volume Outside,Image 1,1,,
2.8245,373.999,µm^3,Cumulative Volume Outside,Image 1,1,,
3.0935,450.457,µm^3,Cumulative Volume Outside,Image 1,1,,
3.3625,536.451,µm^3,Cumulative Volume Outside,Image 1,1,,
3.6315,632.761,µm^3,Cumulative Volume Outside,Image 1,1,,
3.9005,738.978,µm^3,Cumulative Volume Outside,Image 1,1,,
4.1695,855.549,µm^3,Cumulative Volume Outside,Image 1,1,,
4.4385,982.253,µm^3,Cumulative Volume Outside,Image 1,1,,
4.7075,1118.46,µm^3,Cumulative Volume Outside,Image 1,1,,
4.9765,1263.91,µm^3,Cumulative Volume Outside,Image 1,1,,
5.2455,1418.34,µm^3,Cumulative Volume Outside,Image 1,1,,
5.5145,1581.96,µm^3,Cumulative Volume Outside,Image 1,1,,
5.7835,1754.58,µm^3,Cumulative Volume Outside,Image 1,1,,
6.0525,1936.03,µm^3,Cumulative Volume Outside,Image 1,1,,
6.3215,2127.18,µm^3,Cumulative Volume Outside,Image 1,1,,
6.5905,2328.23,µm^3,Cumulative Volume Outside,Image 1,1,,
6.8595,2539.71,µm^3,Cumulative Volume Outside,Image 1,1,,
7.1285,2762.22,µm^3,Cumulative Volume Outside,Image 1,1,,
7.3975,2995.13,µm^3,Cumulative Volume Outside,Image 1,1,,
7.6665,3238,µm^3,Cumulative Volume Outside,Image 1,1,,
7.9355,3490.93,µm^3,Cumulative Volume Outside,Image 1,1,,
8.2045,3755.87,µm^3,Cumulative Volume Outside,Image 1,1,,
8.4735,4030.29,µm^3,Cumulative Volume Outside,Image 1,1,,
8.7425,4313.95,µm^3,Cumulative Volume Outside,Image 1,1,,
9.0115,4604.1,µm^3,Cumulative Volume Outside,Image 1,1,,
9.2805,4902.17,µm^3,Cumulative Volume Outside,Image 1,1,,
9.5495,5206.21,µm^3,Cumulative Volume Outside,Image 1,1,,
9.8185,5518.25,µm^3,Cumulative Volume Outside,Image 1,1,,
10.0875,5840.33,µm^3,Cumulative Volume Outside,Image 1,1,,
10.3565,6170.27,µm^3,Cumulative Volume Outside,Image 1,1,,
10.6255,6508.84,µm^3,Cumulative Volume Outside,Image 1,1,,
10.8945,6850.49,µm^3,Cumulative Volume Outside,Image 1,1,,
11.1635,7193.98,µm^3,Cumulative Volume Outside,Image 1,1,,
11.4325,7533.07,µm^3,Cumulative Volume Outside,Image 1,1,,
11.7015,7865.88,µm^3,Cumulative Volume Outside,Image 1,1,,
11.9705,8187.32,µm^3,Cumulative Volume Outside,Image 1,1,,
12.2395,8497.92,µm^3,Cumulative Volume Outside,Image 1,1,,
12.5085,8799.1,µm^3,Cumulative Volume Outside,Image 1,1,,
12.7775,9088.21,µm^3,Cumulative Volume Outside,Image 1,1,,
13.0465,9366.73,µm^3,Cumulative Volume Outside,Image 1,1,,
13.3155,9633.27,µm^3,Cumulative Volume Outside,Image 1,1,,
13.5845,9889.43,µm^3,Cumulative Volume Outside,Image 1,1,,
13.8535,10133.4,µm^3,Cumulative Volume Outside,Image 1,1,,
14.1225,10366.8,µm^3,Cumulative Volume Outside,Image 1,1,,
14.3915,10590.9,µm^3,Cumulative Volume Outside,Image 1,1,,
14.6605,10803.7,µm^3,Cumulative Volume Outside,Image 1,1,,
14.9295,11006.7,µm^3,Cumulative Volume Outside,Image 1,1,,
15.1985,11199.3,µm^3,Cumulative Volume Outside,Image 1,1,,
15.4675,11382.8,µm^3,Cumulative Volume Outside,Image 1,1,,
15.7365,11556.7,µm^3,Cumulative Volume Outside,Image 1,1,,
16.0055,11723.2,µm^3,Cumulative Volume Outside,Image 1,1,,
16.2745,11885.3,µm^3,Cumulative Volume Outside,Image 1,1,,
16.5435,12040.1,µm^3,Cumulative Volume Outside,Image 1,1,,
16.8125,12189.6,µm^3,Cumulative Volume Outside,Image 1,1,,
17.0815,12336.1,µm^3,Cumulative Volume Outside,Image 1,1,,
17.3505,12481.2,µm^3,Cumulative Volume Outside,Image 1,1,,
17.6195,12622.5,µm^3,Cumulative Volume Outside,Image 1,1,,
17.8885,12760.7,µm^3,Cumulative Volume Outside,Image 1,1,,
18.1575,12896.9,µm^3,Cumulative Volume Outside,Image 1,1,,
18.4265,13032.6,µm^3,Cumulative Volume Outside,Image 1,1,,
18.6955,13168.7,µm^3,Cumulative Volume Outside,Image 1,1,,
18.9645,13302,µm^3,Cumulative Volume Outside,Image 1,1,,
19.2335,13433.5,µm^3,Cumulative Volume Outside,Image 1,1,,
19.5025,13564.3,µm^3,Cumulative Volume Outside,Image 1,1,,
19.7715,13695.6,µm^3,Cumulative Volume Outside,Image 1,1,,
20.0405,13828.1,µm^3,Cumulative Volume Outside,Image 1,1,,
20.3095,13958.5,µm^3,Cumulative Volume Outside,Image 1,1,,
20.5785,14087.8,µm^3,Cumulative Volume Outside,Image 1,1,,
20.8475,14217.7,µm^3,Cumulative Volume Outside,Image 1,1,,
21.1165,14349.2,µm^3,Cumulative Volume Outside,Image 1,1,,
21.3855,14478.9,µm^3,Cumulative Volume Outside,Image 1,1,,
21.6545,14607.2,µm^3,Cumulative Volume Outside,Image 1,1,,
21.9235,14735.2,µm^3,Cumulative Volume Outside,Image 1,1,,
22.1925,14863.8,µm^3,Cumulative Volume Outside,Image 1,1,,
22.4615,14993.3,µm^3,Cumulative Volume Outside,Image 1,1,,
22.7305,15120.2,µm^3,Cumulative Volume Outside,Image 1,1,,
22.9995,15243,µm^3,Cumulative Volume Outside,Image 1,1,,
23.2685,15358.4,µm^3,Cumulative Volume Outside,Image 1,1,,
23.5375,15463.1,µm^3,Cumulative Volume Outside,Image 1,1,,
23.8065,15553.8,µm^3,Cumulative Volume Outside,Image 1,1,,
24.0755,15632,µm^3,Cumulative Volume Outside,Image 1,1,,
24.3445,15699.4,µm^3,Cumulative Volume Outside,Image 1,1,,
24.6135,15757.3,µm^3,Cumulative Volume Outside,Image 1,1,,
