
Volume Img=1
 ==================== 
Distance to Surface,Volume,Unit,Collection,Image,Time,ID,
-0.67,1.2397,µm^3,Volume,Image 1,1,,
-0.402,3.73993,µm^3,Volume,Image 1,1,,
-0.134,8.09725,µm^3,Volume,Image 1,1,,
0.134,13.4309,µm^3,Volume,Image 1,1,,
0.402,18.4154,µm^3,Volume,Image 1,1,,
0.67,23.4343,µm^3,Volume,Image 1,1,,
0.938,28.2608,µm^3,Volume,Image 1,1,,
1.206,32.9243,µm^3,Volume,Image 1,1,,
1.474,37.7312,µm^3,Volume,Image 1,1,,
1.742,42.7746,µm^3,Volume,Image 1,1,,
2.01,48.1891,µm^3,Volume,Image 1,1,,
2.278,53.6354,µm^3,Volume,Image 1,1,,
2.546,59.2141,µm^3,Volume,Image 1,1,,
2.814,65.05,µm^3,Volume,Image 1,1,,
3.082,71.0574,µm^3,Volume,Image 1,1,,
3.35,77.4286,µm^3,Volume,Image 1,1,,
3.618,83.316,µm^3,Volume,Image 1,1,,
3.886,87.3854,µm^3,Volume,Image 1,1,,
4.154,90.8289,µm^3,Volume,Image 1,1,,
4.422,94.7048,µm^3,Volume,Image 1,1,,
4.69,98.7755,µm^3,Volume,Image 1,1,,
4.958,103.693,µm^3,Volume,Image 1,1,,
5.226,108.395,µm^3,Volume,Image 1,1,,
5.494,113.028,µm^3,Volume,Image 1,1,,
5.762,118.429,µm^3,Volume,Image 1,1,,
6.03,123.277,µm^3,Volume,Image 1,1,,
6.298,128.472,µm^3,Volume,Image 1,1,,
6.566,131.993,µm^3,Volume,Image 1,1,,
6.834,133.651,µm^3,Volume,Image 1,1,,
7.102,135.663,µm^3,Volume,Image 1,1,,
7.37,137.503,µm^3,Volume,Image 1,1,,
7.638,139.259,µm^3,Volume,Image 1,1,,
7.906,141.816,µm^3,Volume,Image 1,1,,
8.174,143.614,µm^3,Volume,Image 1,1,,
8.442,146.328,µm^3,Volume,Image 1,1,,
8.71,149.579,µm^3,Volume,Image 1,1,,
8.978,151.224,µm^3,Volume,Image 1,1,,
9.246,153.308,µm^3,Volume,Image 1,1,,
9.514,156.081,µm^3,Volume,Image 1,1,,
9.782,158.396,µm^3,Volume,Image 1,1,,
10.05,156.51,µm^3,Volume,Image 1,1,,
10.318,153.459,µm^3,Volume,Image 1,1,,
10.586,150.762,µm^3,Volume,Image 1,1,,
10.854,146.886,µm^3,Volume,Image 1,1,,
11.122,144.244,µm^3,Volume,Image 1,1,,
11.39,142.481,µm^3,Volume,Image 1,1,,
11.658,138.932,µm^3,Volume,Image 1,1,,
11.926,135.726,µm^3,Volume,Image 1,1,,
12.194,133.303,µm^3,Volume,Image 1,1,,
12.462,130.709,µm^3,Volume,Image 1,1,,
12.73,125.1,µm^3,Volume,Image 1,1,,
12.998,118.151,µm^3,Volume,Image 1,1,,
13.266,110.926,µm^3,Volume,Image 1,1,,
13.534,102.689,µm^3,Volume,Image 1,1,,
13.802,95.9678,µm^3,Volume,Image 1,1,,
14.07,90.8154,µm^3,Volume,Image 1,1,,
14.338,85.619,µm^3,Volume,Image 1,1,,
14.606,81.6034,µm^3,Volume,Image 1,1,,
14.874,78.7038,µm^3,Volume,Image 1,1,,
15.142,75.1795,µm^3,Volume,Image 1,1,,
15.41,72.0717,µm^3,Volume,Image 1,1,,
15.678,69.7773,µm^3,Volume,Image 1,1,,
15.946,67.767,µm^3,Volume,Image 1,1,,
16.214,64.7057,µm^3,Volume,Image 1,1,,
16.482,62.2668,µm^3,Volume,Image 1,1,,
16.75,60.7355,µm^3,Volume,Image 1,1,,
17.018,59.8694,µm^3,Volume,Image 1,1,,
17.286,59.6489,µm^3,Volume,Image 1,1,,
17.554,59.8572,µm^3,Volume,Image 1,1,,
17.822,58.8711,µm^3,Volume,Image 1,1,,
18.09,58.2145,µm^3,Volume,Image 1,1,,
18.358,58.065,µm^3,Volume,Image 1,1,,
18.626,58.2108,µm^3,Volume,Image 1,1,,
18.894,58.299,µm^3,Volume,Image 1,1,,
19.162,58.6628,µm^3,Volume,Image 1,1,,
19.43,59.1614,µm^3,Volume,Image 1,1,,
19.698,57.7869,µm^3,Volume,Image 1,1,,
19.966,55.4349,µm^3,Volume,Image 1,1,,
20.234,50.9086,µm^3,Volume,Image 1,1,,
20.502,44.4038,µm^3,Volume,Image 1,1,,
20.77,37.3772,µm^3,Volume,Image 1,1,,
21.038,30.8529,µm^3,Volume,Image 1,1,,
