
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
0.1355,12.5746,µm^3,Volume Outside,Image 1,1,,
0.4065,17.5775,µm^3,Volume Outside,Image 1,1,,
0.6775,23.0704,µm^3,Volume Outside,Image 1,1,,
0.9485,28.6282,µm^3,Volume Outside,Image 1,1,,
1.2195,34.6037,µm^3,Volume Outside,Image 1,1,,
1.4905,40.9664,µm^3,Volume Outside,Image 1,1,,
1.7615,47.5483,µm^3,Volume Outside,Image 1,1,,
2.0325,53.6181,µm^3,Volume Outside,Image 1,1,,
2.3035,58.8354,µm^3,Volume Outside,Image 1,1,,
2.5745,63.4046,µm^3,Volume Outside,Image 1,1,,
2.8455,67.8208,µm^3,Volume Outside,Image 1,1,,
3.1165,72.4059,µm^3,Volume Outside,Image 1,1,,
3.3875,77.1773,µm^3,Volume Outside,Image 1,1,,
3.6585,81.9683,µm^3,Volume Outside,Image 1,1,,
3.9295,86.5951,µm^3,Volume Outside,Image 1,1,,
4.2005,90.3889,µm^3,Volume Outside,Image 1,1,,
4.4715,92.8303,µm^3,Volume Outside,Image 1,1,,
4.7425,94.8479,µm^3,Volume Outside,Image 1,1,,
5.0135,97.0945,µm^3,Volume Outside,Image 1,1,,
5.2845,98.4947,µm^3,Volume Outside,Image 1,1,,
5.5555,99.6768,µm^3,Volume Outside,Image 1,1,,
5.8265,101.09,µm^3,Volume Outside,Image 1,1,,
6.0975,102.075,µm^3,Volume Outside,Image 1,1,,
6.3685,103.566,µm^3,Volume Outside,Image 1,1,,
6.6395,104.74,µm^3,Volume Outside,Image 1,1,,
6.9105,106.133,µm^3,Volume Outside,Image 1,1,,
7.1815,108.09,µm^3,Volume Outside,Image 1,1,,
7.4525,109.627,µm^3,Volume Outside,Image 1,1,,
7.7235,111.483,µm^3,Volume Outside,Image 1,1,,
7.9945,113.74,µm^3,Volume Outside,Image 1,1,,
8.2655,115.971,µm^3,Volume Outside,Image 1,1,,
8.5365,117.674,µm^3,Volume Outside,Image 1,1,,
8.8075,118.955,µm^3,Volume Outside,Image 1,1,,
9.0785,121.107,µm^3,Volume Outside,Image 1,1,,
9.3495,121.975,µm^3,Volume Outside,Image 1,1,,
9.6205,120.681,µm^3,Volume Outside,Image 1,1,,
9.8915,119.14,µm^3,Volume Outside,Image 1,1,,
10.1625,116.144,µm^3,Volume Outside,Image 1,1,,
10.4335,112.318,µm^3,Volume Outside,Image 1,1,,
10.7045,110.068,µm^3,Volume Outside,Image 1,1,,
10.9755,107.557,µm^3,Volume Outside,Image 1,1,,
11.2465,104.957,µm^3,Volume Outside,Image 1,1,,
11.5175,103.939,µm^3,Volume Outside,Image 1,1,,
11.7885,102.725,µm^3,Volume Outside,Image 1,1,,
12.0595,101.035,µm^3,Volume Outside,Image 1,1,,
12.3305,100.456,µm^3,Volume Outside,Image 1,1,,
12.6015,99.1685,µm^3,Volume Outside,Image 1,1,,
12.8725,95.5841,µm^3,Volume Outside,Image 1,1,,
13.1435,88.1533,µm^3,Volume Outside,Image 1,1,,
13.4145,81.3901,µm^3,Volume Outside,Image 1,1,,
13.6855,75.3631,µm^3,Volume Outside,Image 1,1,,
13.9565,70.2034,µm^3,Volume Outside,Image 1,1,,
14.2275,66.8089,µm^3,Volume Outside,Image 1,1,,
14.4985,63.7379,µm^3,Volume Outside,Image 1,1,,
14.7695,60.7783,µm^3,Volume Outside,Image 1,1,,
15.0405,58.6284,µm^3,Volume Outside,Image 1,1,,
15.3115,56.4246,µm^3,Volume Outside,Image 1,1,,
15.5825,54.0591,µm^3,Volume Outside,Image 1,1,,
15.8535,52.4176,µm^3,Volume Outside,Image 1,1,,
16.1245,50.8153,µm^3,Volume Outside,Image 1,1,,
16.3955,49.5414,µm^3,Volume Outside,Image 1,1,,
16.6665,49.1371,µm^3,Volume Outside,Image 1,1,,
16.9375,48.1975,µm^3,Volume Outside,Image 1,1,,
17.2085,47.9672,µm^3,Volume Outside,Image 1,1,,
17.4795,47.1097,µm^3,Volume Outside,Image 1,1,,
17.7505,46.9113,µm^3,Volume Outside,Image 1,1,,
18.0215,47.1404,µm^3,Volume Outside,Image 1,1,,
18.2925,46.4642,µm^3,Volume Outside,Image 1,1,,
18.5635,46.2596,µm^3,Volume Outside,Image 1,1,,
18.8345,46.2853,µm^3,Volume Outside,Image 1,1,,
19.1055,44.8116,µm^3,Volume Outside,Image 1,1,,
19.3765,41.5825,µm^3,Volume Outside,Image 1,1,,
19.6475,34.8634,µm^3,Volume Outside,Image 1,1,,
19.9185,27.0859,µm^3,Volume Outside,Image 1,1,,
20.1895,21.3529,µm^3,Volume Outside,Image 1,1,,
