
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
2.12662,µm,Surface,Image 1,1,0,
3.18079,µm,Surface,Image 1,1,1,
0.119125,µm,Surface,Image 1,1,2,
4.07794,µm,Surface,Image 1,1,3,
4.12592,µm,Surface,Image 1,1,4,
3.95099,µm,Surface,Image 1,1,5,
3.92902,µm,Surface,Image 1,1,6,
4.54474,µm,Surface,Image 1,1,7,
4.7088,µm,Surface,Image 1,1,8,
4.82153,µm,Surface,Image 1,1,9,
4.80414,µm,Surface,Image 1,1,10,
4.96198,µm,Surface,Image 1,1,11,
4.75409,µm,Surface,Image 1,1,12,
5.39349,µm,Surface,Image 1,1,13,
6.0451,µm,Surface,Image 1,1,14,
6.13641,µm,Surface,Image 1,1,15,
