
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
3604,,Surface,1,Image 1,1,0,
3784,,Surface,1,Image 1,1,1,
2040,,Surface,1,Image 1,1,2,
3076,,Surface,1,Image 1,1,3,
755.5,,Surface,1,Image 1,1,4,
894,,Surface,1,Image 1,1,5,
2976,,Surface,1,Image 1,1,6,
1346,,Surface,1,Image 1,1,7,
3188,,Surface,1,Image 1,1,8,
2022,,Surface,1,Image 1,1,9,
2698,,Surface,1,Image 1,1,10,
1654,,Surface,1,Image 1,1,11,
1124,,Surface,1,Image 1,1,12,
1428,,Surface,1,Image 1,1,13,
2496,,Surface,1,Image 1,1,14,
4516,,Surface,1,Image 1,1,15,
