
Intensity StdDev Ch=27 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
394.362,,Surface,27,Image 1,1,0,
259.99,,Surface,27,Image 1,1,1,
687.962,,Surface,27,Image 1,1,2,
286.557,,Surface,27,Image 1,1,3,
29.6177,,Surface,27,Image 1,1,4,
58.8515,,Surface,27,Image 1,1,5,
155.775,,Surface,27,Image 1,1,6,
152.117,,Surface,27,Image 1,1,7,
293.651,,Surface,27,Image 1,1,8,
190.42,,Surface,27,Image 1,1,9,
132.305,,Surface,27,Image 1,1,10,
75.5576,,Surface,27,Image 1,1,11,
193.077,,Surface,27,Image 1,1,12,
430.993,,Surface,27,Image 1,1,13,
346.093,,Surface,27,Image 1,1,14,
792.434,,Surface,27,Image 1,1,15,
