
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
195.868,580.636,17.2379,µm,Surface,Position,1,0,
194.849,581.247,16.9218,µm,Surface,Position,1,1,
196.931,579.204,19.0623,µm,Surface,Position,1,2,
193.57,581.472,16.7525,µm,Surface,Position,1,3,
189.457,581.424,17.0098,µm,Surface,Position,1,4,
190.417,581.634,16.8448,µm,Surface,Position,1,5,
192.271,581.656,16.8325,µm,Surface,Position,1,6,
188.479,581.005,17.5115,µm,Surface,Position,1,7,
187.249,580.806,17.9638,µm,Surface,Position,1,8,
186.146,580.728,18.0908,µm,Surface,Position,1,9,
185.184,580.711,18.5778,µm,Surface,Position,1,10,
184.094,580.658,18.9709,µm,Surface,Position,1,11,
181.828,580.551,20.826,µm,Surface,Position,1,12,
180.243,579.876,22.3366,µm,Surface,Position,1,13,
179.663,579.33,22.729,µm,Surface,Position,1,14,
178.73,578.399,24.1337,µm,Surface,Position,1,15,
