
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,ID,
195.868,µm,Surface,Position,1,0,
194.849,µm,Surface,Position,1,1,
196.931,µm,Surface,Position,1,2,
193.57,µm,Surface,Position,1,3,
189.457,µm,Surface,Position,1,4,
190.417,µm,Surface,Position,1,5,
192.271,µm,Surface,Position,1,6,
188.479,µm,Surface,Position,1,7,
187.249,µm,Surface,Position,1,8,
186.146,µm,Surface,Position,1,9,
185.184,µm,Surface,Position,1,10,
184.094,µm,Surface,Position,1,11,
181.828,µm,Surface,Position,1,12,
180.243,µm,Surface,Position,1,13,
179.663,µm,Surface,Position,1,14,
178.73,µm,Surface,Position,1,15,
