
Position Y
 ==================== 
Position Y,Unit,Category,Collection,Time,ID,
580.636,µm,Surface,Position,1,0,
581.247,µm,Surface,Position,1,1,
579.204,µm,Surface,Position,1,2,
581.472,µm,Surface,Position,1,3,
581.424,µm,Surface,Position,1,4,
581.634,µm,Surface,Position,1,5,
581.656,µm,Surface,Position,1,6,
581.005,µm,Surface,Position,1,7,
580.806,µm,Surface,Position,1,8,
580.728,µm,Surface,Position,1,9,
580.711,µm,Surface,Position,1,10,
580.658,µm,Surface,Position,1,11,
580.551,µm,Surface,Position,1,12,
579.876,µm,Surface,Position,1,13,
579.33,µm,Surface,Position,1,14,
578.399,µm,Surface,Position,1,15,
