
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,ID,
17.2379,µm,Surface,Position,1,0,
16.9218,µm,Surface,Position,1,1,
19.0623,µm,Surface,Position,1,2,
16.7525,µm,Surface,Position,1,3,
17.0098,µm,Surface,Position,1,4,
16.8448,µm,Surface,Position,1,5,
16.8325,µm,Surface,Position,1,6,
17.5115,µm,Surface,Position,1,7,
17.9638,µm,Surface,Position,1,8,
18.0908,µm,Surface,Position,1,9,
18.5778,µm,Surface,Position,1,10,
18.9709,µm,Surface,Position,1,11,
20.826,µm,Surface,Position,1,12,
22.3366,µm,Surface,Position,1,13,
22.729,µm,Surface,Position,1,14,
24.1337,µm,Surface,Position,1,15,
