
Intensity Outside Ch=12 Img=1
 ==================== 
Distance to Surface,Image Intensity Mean Outside,Intensity Mean Outside,Intensity Mean minus Std Outside,Intensity Mean plus Std Outside,Unit,Channel,Collection,Image,Time,ID,
0.1345,804.767,967.195,-606.746,2541.14,,12,Intensity Outside,Image 1,1,,
0.4035,804.767,1117.14,-706.553,2940.84,,12,Intensity Outside,Image 1,1,,
0.6725,804.767,1245.7,-766.043,3257.44,,12,Intensity Outside,Image 1,1,,
0.9415,804.767,1368.2,-810.896,3547.29,,12,Intensity Outside,Image 1,1,,
1.2105,804.767,1486.45,-854.022,3826.93,,12,Intensity Outside,Image 1,1,,
1.4795,804.767,1587.47,-896.388,4071.34,,12,Intensity Outside,Image 1,1,,
1.7485,804.767,1658.05,-948.312,4264.41,,12,Intensity Outside,Image 1,1,,
2.0175,804.767,1694.27,-999.863,4388.4,,12,Intensity Outside,Image 1,1,,
2.2865,804.767,1718.32,-1063.26,4499.89,,12,Intensity Outside,Image 1,1,,
2.5555,804.767,1709.95,-1113.2,4533.09,,12,Intensity Outside,Image 1,1,,
2.8245,804.767,1658.33,-1120.07,4436.74,,12,Intensity Outside,Image 1,1,,
3.0935,804.767,1590.8,-1111.51,4293.1,,12,Intensity Outside,Image 1,1,,
3.3625,804.767,1537.71,-1102.14,4177.55,,12,Intensity Outside,Image 1,1,,
3.6315,804.767,1514.65,-1107.86,4137.15,,12,Intensity Outside,Image 1,1,,
3.9005,804.767,1528.31,-1127.32,4183.94,,12,Intensity Outside,Image 1,1,,
4.1695,804.767,1547.58,-1142.69,4237.86,,12,Intensity Outside,Image 1,1,,
4.4385,804.767,1546.74,-1142.89,4236.37,,12,Intensity Outside,Image 1,1,,
4.7075,804.767,1517.86,-1139.26,4174.98,,12,Intensity Outside,Image 1,1,,
4.9765,804.767,1441.87,-1110.68,3994.42,,12,Intensity Outside,Image 1,1,,
5.2455,804.767,1328.28,-1050.35,3706.91,,12,Intensity Outside,Image 1,1,,
5.5145,804.767,1214.16,-986.274,3414.59,,12,Intensity Outside,Image 1,1,,
5.7835,804.767,1122.12,-943.498,3187.73,,12,Intensity Outside,Image 1,1,,
6.0525,804.767,1050.06,-917.488,3017.61,,12,Intensity Outside,Image 1,1,,
6.3215,804.767,977.336,-889.534,2844.21,,12,Intensity Outside,Image 1,1,,
6.5905,804.767,895.111,-840.953,2631.18,,12,Intensity Outside,Image 1,1,,
6.8595,804.767,808.27,-779.221,2395.76,,12,Intensity Outside,Image 1,1,,
7.1285,804.767,721.709,-714.325,2157.74,,12,Intensity Outside,Image 1,1,,
7.3975,804.767,640.31,-647.225,1927.84,,12,Intensity Outside,Image 1,1,,
7.6665,804.767,580.224,-596.504,1756.95,,12,Intensity Outside,Image 1,1,,
7.9355,804.767,562.217,-609.464,1733.9,,12,Intensity Outside,Image 1,1,,
8.2045,804.767,584.426,-699.951,1868.8,,12,Intensity Outside,Image 1,1,,
8.4735,804.767,634.71,-830.682,2100.1,,12,Intensity Outside,Image 1,1,,
8.7425,804.767,698.26,-934.04,2330.56,,12,Intensity Outside,Image 1,1,,
9.0115,804.767,769.314,-1024.8,2563.43,,12,Intensity Outside,Image 1,1,,
9.2805,804.767,847.18,-1128.95,2823.31,,12,Intensity Outside,Image 1,1,,
9.5495,804.767,923.336,-1224.43,3071.1,,12,Intensity Outside,Image 1,1,,
9.8185,804.767,990.575,-1317.87,3299.02,,12,Intensity Outside,Image 1,1,,
10.0875,804.767,1014.71,-1366.29,3395.71,,12,Intensity Outside,Image 1,1,,
10.3565,804.767,967.5,-1335.09,3270.09,,12,Intensity Outside,Image 1,1,,
10.6255,804.767,891.086,-1272.48,3054.65,,12,Intensity Outside,Image 1,1,,
10.8945,804.767,808.687,-1208.45,2825.83,,12,Intensity Outside,Image 1,1,,
11.1635,804.767,725.09,-1129.37,2579.55,,12,Intensity Outside,Image 1,1,,
11.4325,804.767,643.268,-1024.83,2311.37,,12,Intensity Outside,Image 1,1,,
11.7015,804.767,570.05,-898.76,2038.86,,12,Intensity Outside,Image 1,1,,
11.9705,804.767,522.103,-807.366,1851.57,,12,Intensity Outside,Image 1,1,,
12.2395,804.767,498.661,-769.23,1766.55,,12,Intensity Outside,Image 1,1,,
12.5085,804.767,485.02,-749.115,1719.15,,12,Intensity Outside,Image 1,1,,
12.7775,804.767,471.497,-725.892,1668.89,,12,Intensity Outside,Image 1,1,,
13.0465,804.767,457.372,-702.354,1617.1,,12,Intensity Outside,Image 1,1,,
13.3155,804.767,445.587,-680.579,1571.75,,12,Intensity Outside,Image 1,1,,
13.5845,804.767,435.637,-662.935,1534.21,,12,Intensity Outside,Image 1,1,,
13.8535,804.767,425.231,-648.534,1499,,12,Intensity Outside,Image 1,1,,
14.1225,804.767,413.401,-633.164,1459.97,,12,Intensity Outside,Image 1,1,,
14.3915,804.767,399.674,-616.416,1415.76,,12,Intensity Outside,Image 1,1,,
14.6605,804.767,384.799,-600.614,1370.21,,12,Intensity Outside,Image 1,1,,
14.9295,804.767,365.841,-585.259,1316.94,,12,Intensity Outside,Image 1,1,,
15.1985,804.767,341.983,-567.662,1251.63,,12,Intensity Outside,Image 1,1,,
15.4675,804.767,314.895,-548.012,1177.8,,12,Intensity Outside,Image 1,1,,
15.7365,804.767,282.57,-523.354,1088.49,,12,Intensity Outside,Image 1,1,,
16.0055,804.767,247.116,-497.958,992.191,,12,Intensity Outside,Image 1,1,,
16.2745,804.767,213.66,-473.213,900.533,,12,Intensity Outside,Image 1,1,,
16.5435,804.767,184.459,-446.133,815.05,,12,Intensity Outside,Image 1,1,,
16.8125,804.767,156.225,-413.725,726.175,,12,Intensity Outside,Image 1,1,,
17.0815,804.767,126.994,-375.357,629.346,,12,Intensity Outside,Image 1,1,,
17.3505,804.767,97.6845,-331.171,526.54,,12,Intensity Outside,Image 1,1,,
17.6195,804.767,69.9774,-279.902,419.857,,12,Intensity Outside,Image 1,1,,
17.8885,804.767,46.1736,-221.898,314.245,,12,Intensity Outside,Image 1,1,,
18.1575,804.767,28.0235,-164.397,220.444,,12,Intensity Outside,Image 1,1,,
18.4265,804.767,14.9614,-113.374,143.297,,12,Intensity Outside,Image 1,1,,
