
Area
 ==================== 
Area,Unit,Category,Time,ID,
383.025,µm^2,Surface,1,2,
177.345,µm^2,Surface,1,3,
310.605,µm^2,Surface,1,4,
300.736,µm^2,Surface,1,5,
300.528,µm^2,Surface,1,6,
217.599,µm^2,Surface,1,7,
302.129,µm^2,Surface,1,8,
273.884,µm^2,Surface,1,10,
331.844,µm^2,Surface,1,11,
316.672,µm^2,Surface,1,12,
339.957,µm^2,Surface,1,13,
334.059,µm^2,Surface,1,18,
245.015,µm^2,Surface,1,19,
305.641,µm^2,Surface,1,21,
225.132,µm^2,Surface,1,22,
263.846,µm^2,Surface,1,24,
224.737,µm^2,Surface,1,25,
279.556,µm^2,Surface,1,26,
406.41,µm^2,Surface,1,28,
291.147,µm^2,Surface,1,29,
295.684,µm^2,Surface,1,35,
219.776,µm^2,Surface,1,37,
354.571,µm^2,Surface,1,38,
257.476,µm^2,Surface,1,40,
270.217,µm^2,Surface,1,45,
210.72,µm^2,Surface,1,46,
424.964,µm^2,Surface,1,49,
249.375,µm^2,Surface,1,52,
226.249,µm^2,Surface,1,54,
276.652,µm^2,Surface,1,58,
294.881,µm^2,Surface,1,60,
329.004,µm^2,Surface,1,61,
375.581,µm^2,Surface,1,63,
325.363,µm^2,Surface,1,64,
246.637,µm^2,Surface,1,65,
259.971,µm^2,Surface,1,67,
472.666,µm^2,Surface,1,71,
233.057,µm^2,Surface,1,72,
277.687,µm^2,Surface,1,73,
274.747,µm^2,Surface,1,74,
371.452,µm^2,Surface,1,76,
431.326,µm^2,Surface,1,77,
268.876,µm^2,Surface,1,79,
209.275,µm^2,Surface,1,81,
474.547,µm^2,Surface,1,82,
430.949,µm^2,Surface,1,88,
153.282,µm^2,Surface,1,89,
273.711,µm^2,Surface,1,91,
387.936,µm^2,Surface,1,93,
343.19,µm^2,Surface,1,97,
282.837,µm^2,Surface,1,100,
293.415,µm^2,Surface,1,101,
271.745,µm^2,Surface,1,102,
306.472,µm^2,Surface,1,103,
271.742,µm^2,Surface,1,106,
310.955,µm^2,Surface,1,107,
268.238,µm^2,Surface,1,110,
303.863,µm^2,Surface,1,111,
304.225,µm^2,Surface,1,112,
430.147,µm^2,Surface,1,113,
292.844,µm^2,Surface,1,118,
226.479,µm^2,Surface,1,119,
363.776,µm^2,Surface,1,120,
321.292,µm^2,Surface,1,122,
354.102,µm^2,Surface,1,123,
283.295,µm^2,Surface,1,124,
302.615,µm^2,Surface,1,128,
275.309,µm^2,Surface,1,134,
312.489,µm^2,Surface,1,136,
294.636,µm^2,Surface,1,137,
285.988,µm^2,Surface,1,138,
379.205,µm^2,Surface,1,139,
318.52,µm^2,Surface,1,140,
348.059,µm^2,Surface,1,141,
339.297,µm^2,Surface,1,143,
446.98,µm^2,Surface,1,146,
253.95,µm^2,Surface,1,150,
292.44,µm^2,Surface,1,154,
289.037,µm^2,Surface,1,155,
239.721,µm^2,Surface,1,156,
371.893,µm^2,Surface,1,159,
224.603,µm^2,Surface,1,161,
338.037,µm^2,Surface,1,164,
170.525,µm^2,Surface,1,165,
359.372,µm^2,Surface,1,167,
280.451,µm^2,Surface,1,171,
380.159,µm^2,Surface,1,172,
281.155,µm^2,Surface,1,173,
283.837,µm^2,Surface,1,174,
254.658,µm^2,Surface,1,177,
290.69,µm^2,Surface,1,180,
294.656,µm^2,Surface,1,181,
285.088,µm^2,Surface,1,190,
307.867,µm^2,Surface,1,192,
309.769,µm^2,Surface,1,193,
259.876,µm^2,Surface,1,195,
317.02,µm^2,Surface,1,199,
297.49,µm^2,Surface,1,200,
451.724,µm^2,Surface,1,201,
351.184,µm^2,Surface,1,203,
270.367,µm^2,Surface,1,208,
334.328,µm^2,Surface,1,209,
444.588,µm^2,Surface,1,210,
464.69,µm^2,Surface,1,213,
348.741,µm^2,Surface,1,214,
252.028,µm^2,Surface,1,215,
329.864,µm^2,Surface,1,216,
247.02,µm^2,Surface,1,217,
430.964,µm^2,Surface,1,218,
195.933,µm^2,Surface,1,219,
282.717,µm^2,Surface,1,221,
245.505,µm^2,Surface,1,225,
175.644,µm^2,Surface,1,227,
326.597,µm^2,Surface,1,228,
153.736,µm^2,Surface,1,230,
334.185,µm^2,Surface,1,233,
410.483,µm^2,Surface,1,234,
347.74,µm^2,Surface,1,236,
379.605,µm^2,Surface,1,237,
247.633,µm^2,Surface,1,238,
252.228,µm^2,Surface,1,239,
421.983,µm^2,Surface,1,241,
219.216,µm^2,Surface,1,243,
248.825,µm^2,Surface,1,245,
261.735,µm^2,Surface,1,249,
330.382,µm^2,Surface,1,250,
349.457,µm^2,Surface,1,251,
214.644,µm^2,Surface,1,253,
411.061,µm^2,Surface,1,262,
276.366,µm^2,Surface,1,263,
401.973,µm^2,Surface,1,265,
457.149,µm^2,Surface,1,266,
272.36,µm^2,Surface,1,268,
140.632,µm^2,Surface,1,269,
305.724,µm^2,Surface,1,272,
246.257,µm^2,Surface,1,274,
318.009,µm^2,Surface,1,277,
303.195,µm^2,Surface,1,279,
290.716,µm^2,Surface,1,281,
295.529,µm^2,Surface,1,282,
280.213,µm^2,Surface,1,284,
264.44,µm^2,Surface,1,285,
248.41,µm^2,Surface,1,291,
354.914,µm^2,Surface,1,293,
330.503,µm^2,Surface,1,295,
110.371,µm^2,Surface,1,297,
262.008,µm^2,Surface,1,300,
234.104,µm^2,Surface,1,302,
367.401,µm^2,Surface,1,303,
354.253,µm^2,Surface,1,309,
389.327,µm^2,Surface,1,310,
267.417,µm^2,Surface,1,316,
369.941,µm^2,Surface,1,317,
181.41,µm^2,Surface,1,324,
428.908,µm^2,Surface,1,325,
295.724,µm^2,Surface,1,330,
272.386,µm^2,Surface,1,331,
376.084,µm^2,Surface,1,334,
425.466,µm^2,Surface,1,335,
295.485,µm^2,Surface,1,336,
472.859,µm^2,Surface,1,337,
323.327,µm^2,Surface,1,338,
391.619,µm^2,Surface,1,339,
168.261,µm^2,Surface,1,340,
348.863,µm^2,Surface,1,341,
240.557,µm^2,Surface,1,342,
338.87,µm^2,Surface,1,343,
245.619,µm^2,Surface,1,344,
244.868,µm^2,Surface,1,347,
449.088,µm^2,Surface,1,348,
259.078,µm^2,Surface,1,349,
260.27,µm^2,Surface,1,351,
310.934,µm^2,Surface,1,355,
217.659,µm^2,Surface,1,356,
279.279,µm^2,Surface,1,361,
199.272,µm^2,Surface,1,362,
213.406,µm^2,Surface,1,363,
318.452,µm^2,Surface,1,364,
