
Cumulative Volume Img=1
 ==================== 
Distance to Surface,Cumulative Volume,Unit,Collection,Image,Time,ID,
-4.995,3.95185,µm^3,Cumulative Volume,Image 1,1,,
-4.725,20.8789,µm^3,Cumulative Volume,Image 1,1,,
-4.455,88.1375,µm^3,Cumulative Volume,Image 1,1,,
-4.185,330.118,µm^3,Cumulative Volume,Image 1,1,,
-3.915,1111.04,µm^3,Cumulative Volume,Image 1,1,,
-3.645,3356.58,µm^3,Cumulative Volume,Image 1,1,,
-3.375,9005.71,µm^3,Cumulative Volume,Image 1,1,,
-3.105,21299.5,µm^3,Cumulative Volume,Image 1,1,,
-2.835,44651.7,µm^3,Cumulative Volume,Image 1,1,,
-2.565,83984.1,µm^3,Cumulative Volume,Image 1,1,,
-2.295,144046,µm^3,Cumulative Volume,Image 1,1,,
-2.025,228727,µm^3,Cumulative Volume,Image 1,1,,
-1.755,341649,µm^3,Cumulative Volume,Image 1,1,,
-1.485,485298,µm^3,Cumulative Volume,Image 1,1,,
-1.215,661363,µm^3,Cumulative Volume,Image 1,1,,
-0.945,872903,µm^3,Cumulative Volume,Image 1,1,,
-0.675,1.12291e+06,µm^3,Cumulative Volume,Image 1,1,,
-0.405,1.415e+06,µm^3,Cumulative Volume,Image 1,1,,
-0.135,1.74325e+06,µm^3,Cumulative Volume,Image 1,1,,
0.135,2.05884e+06,µm^3,Cumulative Volume,Image 1,1,,
0.405,2.4045e+06,µm^3,Cumulative Volume,Image 1,1,,
0.675,2.78685e+06,µm^3,Cumulative Volume,Image 1,1,,
0.945,3.19329e+06,µm^3,Cumulative Volume,Image 1,1,,
1.215,3.61897e+06,µm^3,Cumulative Volume,Image 1,1,,
1.485,4.06458e+06,µm^3,Cumulative Volume,Image 1,1,,
1.755,4.52554e+06,µm^3,Cumulative Volume,Image 1,1,,
2.025,4.99792e+06,µm^3,Cumulative Volume,Image 1,1,,
2.295,5.48083e+06,µm^3,Cumulative Volume,Image 1,1,,
2.565,5.97185e+06,µm^3,Cumulative Volume,Image 1,1,,
2.835,6.47018e+06,µm^3,Cumulative Volume,Image 1,1,,
3.105,6.97482e+06,µm^3,Cumulative Volume,Image 1,1,,
3.375,7.48329e+06,µm^3,Cumulative Volume,Image 1,1,,
3.645,7.98562e+06,µm^3,Cumulative Volume,Image 1,1,,
3.915,8.48235e+06,µm^3,Cumulative Volume,Image 1,1,,
4.185,8.97403e+06,µm^3,Cumulative Volume,Image 1,1,,
4.455,9.45936e+06,µm^3,Cumulative Volume,Image 1,1,,
4.725,9.93369e+06,µm^3,Cumulative Volume,Image 1,1,,
4.995,1.03971e+07,µm^3,Cumulative Volume,Image 1,1,,
5.265,1.08497e+07,µm^3,Cumulative Volume,Image 1,1,,
5.535,1.12907e+07,µm^3,Cumulative Volume,Image 1,1,,
5.805,1.17201e+07,µm^3,Cumulative Volume,Image 1,1,,
6.075,1.21369e+07,µm^3,Cumulative Volume,Image 1,1,,
6.345,1.25418e+07,µm^3,Cumulative Volume,Image 1,1,,
6.615,1.2936e+07,µm^3,Cumulative Volume,Image 1,1,,
6.885,1.332e+07,µm^3,Cumulative Volume,Image 1,1,,
7.155,1.36889e+07,µm^3,Cumulative Volume,Image 1,1,,
7.425,1.40426e+07,µm^3,Cumulative Volume,Image 1,1,,
7.695,1.4383e+07,µm^3,Cumulative Volume,Image 1,1,,
7.965,1.47102e+07,µm^3,Cumulative Volume,Image 1,1,,
8.235,1.50247e+07,µm^3,Cumulative Volume,Image 1,1,,
8.505,1.53237e+07,µm^3,Cumulative Volume,Image 1,1,,
8.775,1.56086e+07,µm^3,Cumulative Volume,Image 1,1,,
9.045,1.58766e+07,µm^3,Cumulative Volume,Image 1,1,,
9.315,1.61259e+07,µm^3,Cumulative Volume,Image 1,1,,
9.585,1.6359e+07,µm^3,Cumulative Volume,Image 1,1,,
9.855,1.65755e+07,µm^3,Cumulative Volume,Image 1,1,,
10.125,1.67775e+07,µm^3,Cumulative Volume,Image 1,1,,
10.395,1.6964e+07,µm^3,Cumulative Volume,Image 1,1,,
10.665,1.71366e+07,µm^3,Cumulative Volume,Image 1,1,,
10.935,1.72952e+07,µm^3,Cumulative Volume,Image 1,1,,
11.205,1.74413e+07,µm^3,Cumulative Volume,Image 1,1,,
11.475,1.75748e+07,µm^3,Cumulative Volume,Image 1,1,,
11.745,1.76957e+07,µm^3,Cumulative Volume,Image 1,1,,
12.015,1.78056e+07,µm^3,Cumulative Volume,Image 1,1,,
12.285,1.79048e+07,µm^3,Cumulative Volume,Image 1,1,,
12.555,1.79945e+07,µm^3,Cumulative Volume,Image 1,1,,
12.825,1.80749e+07,µm^3,Cumulative Volume,Image 1,1,,
13.095,1.81472e+07,µm^3,Cumulative Volume,Image 1,1,,
13.365,1.82117e+07,µm^3,Cumulative Volume,Image 1,1,,
13.635,1.82694e+07,µm^3,Cumulative Volume,Image 1,1,,
13.905,1.83205e+07,µm^3,Cumulative Volume,Image 1,1,,
14.175,1.83653e+07,µm^3,Cumulative Volume,Image 1,1,,
14.445,1.84046e+07,µm^3,Cumulative Volume,Image 1,1,,
14.715,1.84388e+07,µm^3,Cumulative Volume,Image 1,1,,
