
Cumulative Volume Inside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Inside,Unit,Collection,Image,Time,ID,
-4.995,3.95185,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.725,20.8789,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.455,88.1375,µm^3,Cumulative Volume Inside,Image 1,1,,
-4.185,330.118,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.915,1111.04,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.645,3356.58,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.375,9005.71,µm^3,Cumulative Volume Inside,Image 1,1,,
-3.105,21299.5,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.835,44651.7,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.565,83984.1,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.295,144046,µm^3,Cumulative Volume Inside,Image 1,1,,
-2.025,228727,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.755,341649,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.485,485298,µm^3,Cumulative Volume Inside,Image 1,1,,
-1.215,661363,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.945,872903,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.675,1.12291e+06,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.405,1.415e+06,µm^3,Cumulative Volume Inside,Image 1,1,,
-0.135,1.74325e+06,µm^3,Cumulative Volume Inside,Image 1,1,,
