
Cumulative Volume Outside Img=1
 ==================== 
Distance to Surface,Cumulative Volume Outside,Unit,Collection,Image,Time,ID,
0.135,315588,µm^3,Cumulative Volume Outside,Image 1,1,,
0.405,661250,µm^3,Cumulative Volume Outside,Image 1,1,,
0.675,1.0436e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
0.945,1.45004e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
1.215,1.87572e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
1.485,2.32133e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
1.755,2.78229e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
2.025,3.25468e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
2.295,3.73758e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
2.565,4.2286e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
2.835,4.72693e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
3.105,5.23157e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
3.375,5.74004e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
3.645,6.24237e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
3.915,6.73911e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
4.185,7.23078e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
4.455,7.71611e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
4.725,8.19044e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
4.995,8.65387e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
5.265,9.10643e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
5.535,9.5475e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
5.805,9.97685e+06,µm^3,Cumulative Volume Outside,Image 1,1,,
6.075,1.03936e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
6.345,1.07985e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
6.615,1.11927e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
6.885,1.15767e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
7.155,1.19456e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
7.425,1.22994e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
7.695,1.26398e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
7.965,1.2967e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
8.235,1.32815e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
8.505,1.35804e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
8.775,1.38653e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
9.045,1.41334e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
9.315,1.43827e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
9.585,1.46158e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
9.855,1.48322e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
10.125,1.50342e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
10.395,1.52207e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
10.665,1.53934e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
10.935,1.55519e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
11.205,1.5698e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
11.475,1.58315e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
11.745,1.59524e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
12.015,1.60624e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
12.285,1.61615e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
12.555,1.62513e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
12.825,1.63317e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
13.095,1.6404e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
13.365,1.64685e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
13.635,1.65262e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
13.905,1.65773e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
14.175,1.6622e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
14.445,1.66614e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
14.715,1.66956e+07,µm^3,Cumulative Volume Outside,Image 1,1,,
