
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
916.052,µm,Surface,Distance from Origin,1,2,
906.414,µm,Surface,Distance from Origin,1,3,
910.872,µm,Surface,Distance from Origin,1,4,
906.905,µm,Surface,Distance from Origin,1,5,
911.35,µm,Surface,Distance from Origin,1,6,
908.358,µm,Surface,Distance from Origin,1,7,
908.668,µm,Surface,Distance from Origin,1,8,
909.088,µm,Surface,Distance from Origin,1,10,
906.991,µm,Surface,Distance from Origin,1,11,
917.957,µm,Surface,Distance from Origin,1,12,
914.723,µm,Surface,Distance from Origin,1,13,
918.493,µm,Surface,Distance from Origin,1,18,
905.328,µm,Surface,Distance from Origin,1,19,
909.022,µm,Surface,Distance from Origin,1,21,
907.7,µm,Surface,Distance from Origin,1,22,
913.489,µm,Surface,Distance from Origin,1,24,
907.618,µm,Surface,Distance from Origin,1,25,
917.081,µm,Surface,Distance from Origin,1,26,
913.188,µm,Surface,Distance from Origin,1,28,
919.647,µm,Surface,Distance from Origin,1,29,
919.307,µm,Surface,Distance from Origin,1,35,
921.295,µm,Surface,Distance from Origin,1,37,
923.783,µm,Surface,Distance from Origin,1,38,
925.331,µm,Surface,Distance from Origin,1,40,
923.109,µm,Surface,Distance from Origin,1,45,
915.874,µm,Surface,Distance from Origin,1,46,
928.8,µm,Surface,Distance from Origin,1,49,
921.411,µm,Surface,Distance from Origin,1,52,
920.113,µm,Surface,Distance from Origin,1,54,
927.097,µm,Surface,Distance from Origin,1,58,
925.056,µm,Surface,Distance from Origin,1,60,
929.888,µm,Surface,Distance from Origin,1,61,
936.05,µm,Surface,Distance from Origin,1,63,
927.91,µm,Surface,Distance from Origin,1,64,
929.973,µm,Surface,Distance from Origin,1,65,
920.596,µm,Surface,Distance from Origin,1,67,
933.777,µm,Surface,Distance from Origin,1,71,
922.434,µm,Surface,Distance from Origin,1,72,
929.317,µm,Surface,Distance from Origin,1,73,
923.521,µm,Surface,Distance from Origin,1,74,
936.44,µm,Surface,Distance from Origin,1,76,
932.335,µm,Surface,Distance from Origin,1,77,
932.671,µm,Surface,Distance from Origin,1,79,
927.368,µm,Surface,Distance from Origin,1,81,
941.414,µm,Surface,Distance from Origin,1,82,
940.604,µm,Surface,Distance from Origin,1,88,
935.168,µm,Surface,Distance from Origin,1,89,
936.373,µm,Surface,Distance from Origin,1,91,
936.223,µm,Surface,Distance from Origin,1,93,
941.114,µm,Surface,Distance from Origin,1,97,
944.114,µm,Surface,Distance from Origin,1,100,
947.065,µm,Surface,Distance from Origin,1,101,
939.32,µm,Surface,Distance from Origin,1,102,
945.962,µm,Surface,Distance from Origin,1,103,
947.869,µm,Surface,Distance from Origin,1,106,
945.221,µm,Surface,Distance from Origin,1,107,
949.711,µm,Surface,Distance from Origin,1,110,
950.761,µm,Surface,Distance from Origin,1,111,
943.437,µm,Surface,Distance from Origin,1,112,
953.562,µm,Surface,Distance from Origin,1,113,
946.967,µm,Surface,Distance from Origin,1,118,
952.393,µm,Surface,Distance from Origin,1,119,
947.108,µm,Surface,Distance from Origin,1,120,
951.379,µm,Surface,Distance from Origin,1,122,
951.758,µm,Surface,Distance from Origin,1,123,
949.742,µm,Surface,Distance from Origin,1,124,
956.861,µm,Surface,Distance from Origin,1,128,
952.448,µm,Surface,Distance from Origin,1,134,
960.301,µm,Surface,Distance from Origin,1,136,
957.405,µm,Surface,Distance from Origin,1,137,
960.794,µm,Surface,Distance from Origin,1,138,
962.943,µm,Surface,Distance from Origin,1,139,
961.312,µm,Surface,Distance from Origin,1,140,
953.945,µm,Surface,Distance from Origin,1,141,
959.04,µm,Surface,Distance from Origin,1,143,
961.683,µm,Surface,Distance from Origin,1,146,
961.677,µm,Surface,Distance from Origin,1,150,
961.493,µm,Surface,Distance from Origin,1,154,
966.283,µm,Surface,Distance from Origin,1,155,
961.189,µm,Surface,Distance from Origin,1,156,
974.26,µm,Surface,Distance from Origin,1,159,
969.174,µm,Surface,Distance from Origin,1,161,
971.879,µm,Surface,Distance from Origin,1,164,
969.449,µm,Surface,Distance from Origin,1,165,
977.261,µm,Surface,Distance from Origin,1,167,
988.229,µm,Surface,Distance from Origin,1,171,
988.129,µm,Surface,Distance from Origin,1,172,
988.921,µm,Surface,Distance from Origin,1,173,
984.064,µm,Surface,Distance from Origin,1,174,
989.062,µm,Surface,Distance from Origin,1,177,
996.205,µm,Surface,Distance from Origin,1,180,
990.218,µm,Surface,Distance from Origin,1,181,
881.394,µm,Surface,Distance from Origin,1,190,
876.735,µm,Surface,Distance from Origin,1,192,
869.947,µm,Surface,Distance from Origin,1,193,
873.603,µm,Surface,Distance from Origin,1,195,
879.865,µm,Surface,Distance from Origin,1,199,
869.442,µm,Surface,Distance from Origin,1,200,
875.758,µm,Surface,Distance from Origin,1,201,
880.304,µm,Surface,Distance from Origin,1,203,
877.149,µm,Surface,Distance from Origin,1,208,
880.614,µm,Surface,Distance from Origin,1,209,
885.272,µm,Surface,Distance from Origin,1,210,
876.738,µm,Surface,Distance from Origin,1,213,
887.087,µm,Surface,Distance from Origin,1,214,
878.937,µm,Surface,Distance from Origin,1,215,
887.135,µm,Surface,Distance from Origin,1,216,
881.158,µm,Surface,Distance from Origin,1,217,
886.163,µm,Surface,Distance from Origin,1,218,
873.331,µm,Surface,Distance from Origin,1,219,
877.874,µm,Surface,Distance from Origin,1,221,
878.131,µm,Surface,Distance from Origin,1,225,
886.736,µm,Surface,Distance from Origin,1,227,
893.274,µm,Surface,Distance from Origin,1,228,
874.391,µm,Surface,Distance from Origin,1,230,
894.666,µm,Surface,Distance from Origin,1,233,
889.491,µm,Surface,Distance from Origin,1,234,
886.362,µm,Surface,Distance from Origin,1,236,
882.745,µm,Surface,Distance from Origin,1,237,
887.536,µm,Surface,Distance from Origin,1,238,
880.985,µm,Surface,Distance from Origin,1,239,
896.619,µm,Surface,Distance from Origin,1,241,
893.399,µm,Surface,Distance from Origin,1,243,
881.755,µm,Surface,Distance from Origin,1,245,
891.559,µm,Surface,Distance from Origin,1,249,
890.733,µm,Surface,Distance from Origin,1,250,
885.216,µm,Surface,Distance from Origin,1,251,
889.487,µm,Surface,Distance from Origin,1,253,
889.423,µm,Surface,Distance from Origin,1,262,
885.175,µm,Surface,Distance from Origin,1,263,
898.717,µm,Surface,Distance from Origin,1,265,
889.322,µm,Surface,Distance from Origin,1,266,
890.742,µm,Surface,Distance from Origin,1,268,
890.26,µm,Surface,Distance from Origin,1,269,
891.598,µm,Surface,Distance from Origin,1,272,
892.351,µm,Surface,Distance from Origin,1,274,
897.691,µm,Surface,Distance from Origin,1,277,
897.783,µm,Surface,Distance from Origin,1,279,
891.753,µm,Surface,Distance from Origin,1,281,
902.657,µm,Surface,Distance from Origin,1,282,
890.427,µm,Surface,Distance from Origin,1,284,
891.178,µm,Surface,Distance from Origin,1,285,
905.361,µm,Surface,Distance from Origin,1,291,
903.564,µm,Surface,Distance from Origin,1,293,
897.3,µm,Surface,Distance from Origin,1,295,
895.477,µm,Surface,Distance from Origin,1,297,
898.782,µm,Surface,Distance from Origin,1,300,
897.004,µm,Surface,Distance from Origin,1,302,
904.869,µm,Surface,Distance from Origin,1,303,
899.933,µm,Surface,Distance from Origin,1,309,
899.448,µm,Surface,Distance from Origin,1,310,
902.617,µm,Surface,Distance from Origin,1,316,
908.848,µm,Surface,Distance from Origin,1,317,
906.774,µm,Surface,Distance from Origin,1,324,
914.291,µm,Surface,Distance from Origin,1,325,
914.443,µm,Surface,Distance from Origin,1,330,
853.168,µm,Surface,Distance from Origin,1,331,
858.842,µm,Surface,Distance from Origin,1,334,
861.67,µm,Surface,Distance from Origin,1,335,
849.166,µm,Surface,Distance from Origin,1,336,
860.436,µm,Surface,Distance from Origin,1,337,
851.734,µm,Surface,Distance from Origin,1,338,
853.17,µm,Surface,Distance from Origin,1,339,
861.488,µm,Surface,Distance from Origin,1,340,
849.167,µm,Surface,Distance from Origin,1,341,
838.772,µm,Surface,Distance from Origin,1,342,
848.44,µm,Surface,Distance from Origin,1,343,
852.35,µm,Surface,Distance from Origin,1,344,
848.717,µm,Surface,Distance from Origin,1,347,
854.935,µm,Surface,Distance from Origin,1,348,
841.457,µm,Surface,Distance from Origin,1,349,
858.536,µm,Surface,Distance from Origin,1,351,
850.869,µm,Surface,Distance from Origin,1,355,
851.494,µm,Surface,Distance from Origin,1,356,
845.174,µm,Surface,Distance from Origin,1,361,
854.903,µm,Surface,Distance from Origin,1,362,
862.935,µm,Surface,Distance from Origin,1,363,
868.739,µm,Surface,Distance from Origin,1,364,
857.96,µm,Surface,Distance from Origin,1,365,
861.92,µm,Surface,Distance from Origin,1,369,
858.739,µm,Surface,Distance from Origin,1,371,
844.706,µm,Surface,Distance from Origin,1,372,
849.23,µm,Surface,Distance from Origin,1,373,
852.921,µm,Surface,Distance from Origin,1,374,
848.028,µm,Surface,Distance from Origin,1,376,
861.211,µm,Surface,Distance from Origin,1,378,
864.832,µm,Surface,Distance from Origin,1,379,
865.776,µm,Surface,Distance from Origin,1,381,
861.066,µm,Surface,Distance from Origin,1,383,
857.813,µm,Surface,Distance from Origin,1,385,
852.052,µm,Surface,Distance from Origin,1,386,
859.869,µm,Surface,Distance from Origin,1,388,
865.504,µm,Surface,Distance from Origin,1,389,
861.984,µm,Surface,Distance from Origin,1,390,
847.658,µm,Surface,Distance from Origin,1,393,
864.313,µm,Surface,Distance from Origin,1,396,
864.518,µm,Surface,Distance from Origin,1,397,
860.136,µm,Surface,Distance from Origin,1,398,
863.627,µm,Surface,Distance from Origin,1,399,
852.896,µm,Surface,Distance from Origin,1,400,
860.404,µm,Surface,Distance from Origin,1,401,
858.077,µm,Surface,Distance from Origin,1,402,
850.845,µm,Surface,Distance from Origin,1,405,
866.521,µm,Surface,Distance from Origin,1,406,
861.895,µm,Surface,Distance from Origin,1,413,
868.075,µm,Surface,Distance from Origin,1,420,
858.54,µm,Surface,Distance from Origin,1,421,
870.538,µm,Surface,Distance from Origin,1,426,
862.291,µm,Surface,Distance from Origin,1,427,
862.745,µm,Surface,Distance from Origin,1,428,
858.037,µm,Surface,Distance from Origin,1,437,
865.927,µm,Surface,Distance from Origin,1,442,
872.648,µm,Surface,Distance from Origin,1,443,
867.183,µm,Surface,Distance from Origin,1,445,
870.066,µm,Surface,Distance from Origin,1,447,
870.482,µm,Surface,Distance from Origin,1,448,
877.258,µm,Surface,Distance from Origin,1,449,
876.049,µm,Surface,Distance from Origin,1,453,
863.943,µm,Surface,Distance from Origin,1,457,
875.292,µm,Surface,Distance from Origin,1,458,
