
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
22.1121,µm,Surface,Image 1,1,2,
56.5175,µm,Surface,Image 1,1,3,
26.9908,µm,Surface,Image 1,1,4,
15.6108,µm,Surface,Image 1,1,5,
42.2014,µm,Surface,Image 1,1,6,
5.44281,µm,Surface,Image 1,1,7,
8.99872,µm,Surface,Image 1,1,8,
18.4563,µm,Surface,Image 1,1,10,
70.1157,µm,Surface,Image 1,1,11,
7.98059,µm,Surface,Image 1,1,12,
51.1848,µm,Surface,Image 1,1,13,
22.7612,µm,Surface,Image 1,1,18,
54.174,µm,Surface,Image 1,1,19,
31.5839,µm,Surface,Image 1,1,21,
58.0804,µm,Surface,Image 1,1,22,
11.5672,µm,Surface,Image 1,1,24,
45.953,µm,Surface,Image 1,1,25,
60.1649,µm,Surface,Image 1,1,26,
50.8408,µm,Surface,Image 1,1,28,
19.1841,µm,Surface,Image 1,1,29,
30.3535,µm,Surface,Image 1,1,35,
26.8043,µm,Surface,Image 1,1,37,
15.2999,µm,Surface,Image 1,1,38,
10.9789,µm,Surface,Image 1,1,40,
40.2753,µm,Surface,Image 1,1,45,
55.6389,µm,Surface,Image 1,1,46,
24.5442,µm,Surface,Image 1,1,49,
3.62238,µm,Surface,Image 1,1,52,
59.483,µm,Surface,Image 1,1,54,
12.5634,µm,Surface,Image 1,1,58,
49.3732,µm,Surface,Image 1,1,60,
28.3008,µm,Surface,Image 1,1,61,
6.85046,µm,Surface,Image 1,1,63,
47.7523,µm,Surface,Image 1,1,64,
57.9473,µm,Surface,Image 1,1,65,
57.7204,µm,Surface,Image 1,1,67,
30.6903,µm,Surface,Image 1,1,71,
51.8667,µm,Surface,Image 1,1,72,
49.2118,µm,Surface,Image 1,1,73,
62.3053,µm,Surface,Image 1,1,74,
45.13,µm,Surface,Image 1,1,76,
21.0445,µm,Surface,Image 1,1,77,
38.9296,µm,Surface,Image 1,1,79,
25.8041,µm,Surface,Image 1,1,81,
6.40765,µm,Surface,Image 1,1,82,
25.2297,µm,Surface,Image 1,1,88,
3.45166,µm,Surface,Image 1,1,89,
26.1552,µm,Surface,Image 1,1,91,
2.21741,µm,Surface,Image 1,1,93,
39.6053,µm,Surface,Image 1,1,97,
33.9952,µm,Surface,Image 1,1,100,
12.8998,µm,Surface,Image 1,1,101,
12.9209,µm,Surface,Image 1,1,102,
30.8865,µm,Surface,Image 1,1,103,
33.2979,µm,Surface,Image 1,1,106,
27.9595,µm,Surface,Image 1,1,107,
11.7689,µm,Surface,Image 1,1,110,
18.1334,µm,Surface,Image 1,1,111,
5.854,µm,Surface,Image 1,1,112,
2.7218,µm,Surface,Image 1,1,113,
3.46027,µm,Surface,Image 1,1,118,
22.396,µm,Surface,Image 1,1,119,
23.4188,µm,Surface,Image 1,1,120,
16.171,µm,Surface,Image 1,1,122,
30.9626,µm,Surface,Image 1,1,123,
42.7141,µm,Surface,Image 1,1,124,
30.3141,µm,Surface,Image 1,1,128,
35.0842,µm,Surface,Image 1,1,134,
10.601,µm,Surface,Image 1,1,136,
22.0627,µm,Surface,Image 1,1,137,
14.7394,µm,Surface,Image 1,1,138,
5.86108,µm,Surface,Image 1,1,139,
30.333,µm,Surface,Image 1,1,140,
11.0291,µm,Surface,Image 1,1,141,
32.1393,µm,Surface,Image 1,1,143,
17.566,µm,Surface,Image 1,1,146,
20.3649,µm,Surface,Image 1,1,150,
34.6563,µm,Surface,Image 1,1,154,
23.1841,µm,Surface,Image 1,1,155,
4.66864,µm,Surface,Image 1,1,156,
15.3923,µm,Surface,Image 1,1,159,
12.9281,µm,Surface,Image 1,1,161,
3.98926,µm,Surface,Image 1,1,164,
12.1331,µm,Surface,Image 1,1,165,
19.5541,µm,Surface,Image 1,1,167,
3.69641,µm,Surface,Image 1,1,171,
10.4255,µm,Surface,Image 1,1,172,
9.84644,µm,Surface,Image 1,1,173,
11.5729,µm,Surface,Image 1,1,174,
15.5598,µm,Surface,Image 1,1,177,
8.64655,µm,Surface,Image 1,1,180,
5.50964,µm,Surface,Image 1,1,181,
25.8982,µm,Surface,Image 1,1,190,
37.0635,µm,Surface,Image 1,1,192,
59.8359,µm,Surface,Image 1,1,193,
24.0195,µm,Surface,Image 1,1,195,
48.9794,µm,Surface,Image 1,1,199,
88.0498,µm,Surface,Image 1,1,200,
67.1249,µm,Surface,Image 1,1,201,
66.7919,µm,Surface,Image 1,1,203,
41.5411,µm,Surface,Image 1,1,208,
50.0375,µm,Surface,Image 1,1,209,
42.7682,µm,Surface,Image 1,1,210,
75.1743,µm,Surface,Image 1,1,213,
8.43097,µm,Surface,Image 1,1,214,
62.6427,µm,Surface,Image 1,1,215,
8.8891,µm,Surface,Image 1,1,216,
14.3572,µm,Surface,Image 1,1,217,
33.5896,µm,Surface,Image 1,1,218,
63.996,µm,Surface,Image 1,1,219,
71.6293,µm,Surface,Image 1,1,221,
36.497,µm,Surface,Image 1,1,225,
15.5459,µm,Surface,Image 1,1,227,
9.05096,µm,Surface,Image 1,1,228,
65.5552,µm,Surface,Image 1,1,230,
12.2758,µm,Surface,Image 1,1,233,
65.0012,µm,Surface,Image 1,1,234,
31.7064,µm,Surface,Image 1,1,236,
40.07,µm,Surface,Image 1,1,237,
20.168,µm,Surface,Image 1,1,238,
89.4676,µm,Surface,Image 1,1,239,
5.87848,µm,Surface,Image 1,1,241,
20.7383,µm,Surface,Image 1,1,243,
88.1554,µm,Surface,Image 1,1,245,
76.4284,µm,Surface,Image 1,1,249,
81.3,µm,Surface,Image 1,1,250,
69.0247,µm,Surface,Image 1,1,251,
76.119,µm,Surface,Image 1,1,253,
66.3625,µm,Surface,Image 1,1,262,
64.6564,µm,Surface,Image 1,1,263,
19.2758,µm,Surface,Image 1,1,265,
71.912,µm,Surface,Image 1,1,266,
56.4166,µm,Surface,Image 1,1,268,
19.6683,µm,Surface,Image 1,1,269,
43.8811,µm,Surface,Image 1,1,272,
62.796,µm,Surface,Image 1,1,274,
61.506,µm,Surface,Image 1,1,277,
