
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.395047,,Surface,1,2,
0.307141,,Surface,1,3,
0.345026,,Surface,1,4,
0.263896,,Surface,1,5,
0.357385,,Surface,1,6,
0.293954,,Surface,1,7,
0.320401,,Surface,1,8,
0.556293,,Surface,1,10,
0.350137,,Surface,1,11,
0.526085,,Surface,1,12,
0.31765,,Surface,1,13,
0.41287,,Surface,1,18,
0.31155,,Surface,1,19,
0.332885,,Surface,1,21,
0.346685,,Surface,1,22,
0.378115,,Surface,1,24,
0.408713,,Surface,1,25,
0.280619,,Surface,1,26,
0.320829,,Surface,1,28,
0.29084,,Surface,1,29,
0.340499,,Surface,1,35,
0.455223,,Surface,1,37,
0.158751,,Surface,1,38,
0.344279,,Surface,1,40,
0.273472,,Surface,1,45,
0.299279,,Surface,1,46,
0.363875,,Surface,1,49,
0.439509,,Surface,1,52,
0.243858,,Surface,1,54,
0.418557,,Surface,1,58,
0.409346,,Surface,1,60,
0.420569,,Surface,1,61,
0.246562,,Surface,1,63,
0.460344,,Surface,1,64,
0.263506,,Surface,1,65,
0.361838,,Surface,1,67,
0.391282,,Surface,1,71,
0.265364,,Surface,1,72,
0.383443,,Surface,1,73,
0.267799,,Surface,1,74,
0.287471,,Surface,1,76,
0.248623,,Surface,1,77,
0.458199,,Surface,1,79,
0.281604,,Surface,1,81,
0.362481,,Surface,1,82,
0.352164,,Surface,1,88,
0.36198,,Surface,1,89,
0.305059,,Surface,1,91,
0.378295,,Surface,1,93,
0.282241,,Surface,1,97,
0.379514,,Surface,1,100,
0.328497,,Surface,1,101,
0.332372,,Surface,1,102,
0.247731,,Surface,1,103,
0.269043,,Surface,1,106,
0.485184,,Surface,1,107,
0.444508,,Surface,1,110,
0.357037,,Surface,1,111,
0.283923,,Surface,1,112,
0.354839,,Surface,1,113,
0.410068,,Surface,1,118,
0.326545,,Surface,1,119,
0.313429,,Surface,1,120,
0.469175,,Surface,1,122,
0.412594,,Surface,1,123,
0.358587,,Surface,1,124,
0.420753,,Surface,1,128,
0.35563,,Surface,1,134,
0.382047,,Surface,1,136,
0.313526,,Surface,1,137,
0.348981,,Surface,1,138,
0.263871,,Surface,1,139,
0.443399,,Surface,1,140,
0.530399,,Surface,1,141,
0.305322,,Surface,1,143,
0.35958,,Surface,1,146,
0.265748,,Surface,1,150,
0.305432,,Surface,1,154,
0.33271,,Surface,1,155,
0.283495,,Surface,1,156,
0.312659,,Surface,1,159,
0.367596,,Surface,1,161,
0.372776,,Surface,1,164,
0.384338,,Surface,1,165,
0.281223,,Surface,1,167,
0.352519,,Surface,1,171,
0.183866,,Surface,1,172,
0.203988,,Surface,1,173,
0.268724,,Surface,1,174,
0.29856,,Surface,1,177,
0.294042,,Surface,1,180,
0.421212,,Surface,1,181,
0.426817,,Surface,1,190,
0.327546,,Surface,1,192,
0.323169,,Surface,1,193,
0.257617,,Surface,1,195,
0.453565,,Surface,1,199,
0.464846,,Surface,1,200,
0.426989,,Surface,1,201,
0.408632,,Surface,1,203,
0.438548,,Surface,1,208,
0.409867,,Surface,1,209,
0.273013,,Surface,1,210,
0.403859,,Surface,1,213,
0.266023,,Surface,1,214,
0.404841,,Surface,1,215,
0.205789,,Surface,1,216,
0.289995,,Surface,1,217,
0.320253,,Surface,1,218,
0.523013,,Surface,1,219,
0.41177,,Surface,1,221,
0.430534,,Surface,1,225,
0.37203,,Surface,1,227,
0.421646,,Surface,1,228,
0.485629,,Surface,1,230,
0.459805,,Surface,1,233,
0.246316,,Surface,1,234,
0.291164,,Surface,1,236,
0.401654,,Surface,1,237,
0.305448,,Surface,1,238,
0.401242,,Surface,1,239,
0.642555,,Surface,1,241,
0.139468,,Surface,1,243,
0.380918,,Surface,1,245,
0.330156,,Surface,1,249,
0.341845,,Surface,1,250,
0.309847,,Surface,1,251,
0.446223,,Surface,1,253,
0.414284,,Surface,1,262,
0.3316,,Surface,1,263,
0.39756,,Surface,1,265,
0.419687,,Surface,1,266,
0.282152,,Surface,1,268,
0.438461,,Surface,1,269,
0.29166,,Surface,1,272,
0.289698,,Surface,1,274,
0.304259,,Surface,1,277,
0.460851,,Surface,1,279,
0.436387,,Surface,1,281,
0.404216,,Surface,1,282,
0.290707,,Surface,1,284,
0.322057,,Surface,1,285,
0.367541,,Surface,1,291,
0.361318,,Surface,1,293,
0.40265,,Surface,1,295,
0.654763,,Surface,1,297,
0.241743,,Surface,1,300,
0.361081,,Surface,1,302,
0.34955,,Surface,1,303,
0.202775,,Surface,1,309,
0.402388,,Surface,1,310,
0.423206,,Surface,1,316,
0.498244,,Surface,1,317,
0.53244,,Surface,1,324,
0.343951,,Surface,1,325,
0.389692,,Surface,1,330,
0.262282,,Surface,1,331,
0.40783,,Surface,1,334,
0.397103,,Surface,1,335,
0.302456,,Surface,1,336,
0.249045,,Surface,1,337,
0.323364,,Surface,1,338,
0.357676,,Surface,1,339,
0.28683,,Surface,1,340,
0.30802,,Surface,1,341,
0.380712,,Surface,1,342,
0.279355,,Surface,1,343,
0.298299,,Surface,1,344,
0.305781,,Surface,1,347,
0.492149,,Surface,1,348,
0.335718,,Surface,1,349,
0.360603,,Surface,1,351,
0.370575,,Surface,1,355,
0.322224,,Surface,1,356,
0.23865,,Surface,1,361,
0.421398,,Surface,1,362,
0.395489,,Surface,1,363,
0.352596,,Surface,1,364,
0.359995,,Surface,1,365,
0.392363,,Surface,1,369,
0.327215,,Surface,1,371,
0.656756,,Surface,1,372,
0.373624,,Surface,1,373,
0.332543,,Surface,1,374,
0.305637,,Surface,1,376,
0.316594,,Surface,1,378,
0.484488,,Surface,1,379,
0.24906,,Surface,1,381,
0.36004,,Surface,1,383,
0.392734,,Surface,1,385,
0.200891,,Surface,1,386,
0.338809,,Surface,1,388,
0.411841,,Surface,1,389,
0.349612,,Surface,1,390,
0.372709,,Surface,1,393,
0.264744,,Surface,1,396,
0.276591,,Surface,1,397,
