
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.445244,,Surface,1,2,
0.429663,,Surface,1,3,
0.50874,,Surface,1,4,
0.251049,,Surface,1,5,
0.358672,,Surface,1,6,
0.374007,,Surface,1,7,
0.449504,,Surface,1,8,
0.303053,,Surface,1,10,
0.495695,,Surface,1,11,
0.333279,,Surface,1,12,
0.55356,,Surface,1,13,
0.370233,,Surface,1,18,
0.566448,,Surface,1,19,
0.472894,,Surface,1,21,
0.261215,,Surface,1,22,
0.503967,,Surface,1,24,
0.453584,,Surface,1,25,
0.458211,,Surface,1,26,
0.577539,,Surface,1,28,
0.331512,,Surface,1,29,
0.52382,,Surface,1,35,
0.294284,,Surface,1,37,
0.816094,,Surface,1,38,
0.401588,,Surface,1,40,
0.593252,,Surface,1,45,
0.611456,,Surface,1,46,
0.496455,,Surface,1,49,
0.415224,,Surface,1,52,
0.47284,,Surface,1,54,
0.452658,,Surface,1,58,
0.44572,,Surface,1,60,
0.357473,,Surface,1,61,
0.623059,,Surface,1,63,
0.395081,,Surface,1,64,
0.555565,,Surface,1,65,
0.374034,,Surface,1,67,
0.415605,,Surface,1,71,
0.397307,,Surface,1,72,
0.361392,,Surface,1,73,
0.257529,,Surface,1,74,
0.563413,,Surface,1,76,
0.167467,,Surface,1,77,
0.309978,,Surface,1,79,
0.544752,,Surface,1,81,
0.530383,,Surface,1,82,
0.466652,,Surface,1,88,
0.353583,,Surface,1,89,
0.28644,,Surface,1,91,
0.486838,,Surface,1,93,
0.318498,,Surface,1,97,
0.163081,,Surface,1,100,
0.507302,,Surface,1,101,
0.49244,,Surface,1,102,
0.482105,,Surface,1,103,
0.489033,,Surface,1,106,
0.203177,,Surface,1,107,
0.276249,,Surface,1,110,
0.369368,,Surface,1,111,
0.480076,,Surface,1,112,
0.516928,,Surface,1,113,
0.463216,,Surface,1,118,
0.374215,,Surface,1,119,
0.555727,,Surface,1,120,
0.368521,,Surface,1,122,
0.347079,,Surface,1,123,
0.487153,,Surface,1,124,
0.45132,,Surface,1,128,
0.448809,,Surface,1,134,
0.325963,,Surface,1,136,
0.59155,,Surface,1,137,
0.536987,,Surface,1,138,
0.622757,,Surface,1,139,
0.31784,,Surface,1,140,
0.279273,,Surface,1,141,
0.460758,,Surface,1,143,
0.533496,,Surface,1,146,
0.578676,,Surface,1,150,
0.472045,,Surface,1,154,
0.324261,,Surface,1,155,
0.420822,,Surface,1,156,
0.259324,,Surface,1,159,
0.389261,,Surface,1,161,
0.273683,,Surface,1,164,
0.373469,,Surface,1,165,
0.334345,,Surface,1,167,
0.546552,,Surface,1,171,
0.289888,,Surface,1,172,
0.314861,,Surface,1,173,
0.687834,,Surface,1,174,
0.609522,,Surface,1,177,
0.323236,,Surface,1,180,
0.329482,,Surface,1,181,
0.181659,,Surface,1,190,
0.540659,,Surface,1,192,
0.3108,,Surface,1,193,
0.319314,,Surface,1,195,
0.403917,,Surface,1,199,
0.317317,,Surface,1,200,
0.398323,,Surface,1,201,
0.460657,,Surface,1,203,
0.330447,,Surface,1,208,
0.372493,,Surface,1,209,
0.567633,,Surface,1,210,
0.42705,,Surface,1,213,
0.600587,,Surface,1,214,
0.390943,,Surface,1,215,
0.72381,,Surface,1,216,
0.598236,,Surface,1,217,
0.553193,,Surface,1,218,
0.225974,,Surface,1,219,
0.261242,,Surface,1,221,
0.218906,,Surface,1,225,
0.481691,,Surface,1,227,
0.43318,,Surface,1,228,
0.258504,,Surface,1,230,
0.34752,,Surface,1,233,
0.227523,,Surface,1,234,
0.472022,,Surface,1,236,
0.376832,,Surface,1,237,
0.39548,,Surface,1,238,
0.32503,,Surface,1,239,
0.233689,,Surface,1,241,
0.164755,,Surface,1,243,
0.373047,,Surface,1,245,
0.525622,,Surface,1,249,
0.271776,,Surface,1,250,
0.618124,,Surface,1,251,
0.289823,,Surface,1,253,
0.285131,,Surface,1,262,
0.54425,,Surface,1,263,
0.480567,,Surface,1,265,
0.36828,,Surface,1,266,
0.424,,Surface,1,268,
0.403589,,Surface,1,269,
0.631986,,Surface,1,272,
0.513101,,Surface,1,274,
0.597593,,Surface,1,277,
0.235464,,Surface,1,279,
0.412563,,Surface,1,281,
0.425726,,Surface,1,282,
0.299275,,Surface,1,284,
0.471345,,Surface,1,285,
0.483417,,Surface,1,291,
0.478326,,Surface,1,293,
0.462444,,Surface,1,295,
0.197556,,Surface,1,297,
0.342681,,Surface,1,300,
0.334031,,Surface,1,302,
0.337344,,Surface,1,303,
0.315325,,Surface,1,309,
0.463925,,Surface,1,310,
0.270438,,Surface,1,316,
0.357453,,Surface,1,317,
0.239335,,Surface,1,324,
0.442475,,Surface,1,325,
0.483702,,Surface,1,330,
0.229356,,Surface,1,331,
0.343738,,Surface,1,334,
0.481424,,Surface,1,335,
0.613948,,Surface,1,336,
0.698663,,Surface,1,337,
0.197524,,Surface,1,338,
0.518794,,Surface,1,339,
0.365354,,Surface,1,340,
0.363273,,Surface,1,341,
0.299787,,Surface,1,342,
0.438414,,Surface,1,343,
0.508375,,Surface,1,344,
0.37516,,Surface,1,347,
0.31816,,Surface,1,348,
0.511844,,Surface,1,349,
0.534745,,Surface,1,351,
0.360931,,Surface,1,355,
0.430461,,Surface,1,356,
0.755003,,Surface,1,361,
0.410841,,Surface,1,362,
0.439953,,Surface,1,363,
0.531643,,Surface,1,364,
0.414389,,Surface,1,365,
0.436715,,Surface,1,369,
0.424824,,Surface,1,371,
0.21403,,Surface,1,372,
0.495373,,Surface,1,373,
0.240152,,Surface,1,374,
0.482368,,Surface,1,376,
0.537339,,Surface,1,378,
0.375492,,Surface,1,379,
0.686786,,Surface,1,381,
0.457644,,Surface,1,383,
0.390572,,Surface,1,385,
0.282101,,Surface,1,386,
0.533632,,Surface,1,388,
0.375153,,Surface,1,389,
0.539702,,Surface,1,390,
0.29337,,Surface,1,393,
0.680909,,Surface,1,396,
0.310565,,Surface,1,397,
0.529368,,Surface,1,398,
0.41803,,Surface,1,399,
0.45404,,Surface,1,400,
0.290481,,Surface,1,401,
0.497371,,Surface,1,402,
0.322054,,Surface,1,405,
0.456458,,Surface,1,406,
0.44633,,Surface,1,413,
0.565424,,Surface,1,420,
0.686469,,Surface,1,421,
0.457336,,Surface,1,426,
0.47988,,Surface,1,427,
0.303358,,Surface,1,428,
0.480508,,Surface,1,437,
0.518612,,Surface,1,442,
0.61436,,Surface,1,443,
0.235771,,Surface,1,445,
0.468858,,Surface,1,447,
0.313379,,Surface,1,448,
0.244064,,Surface,1,449,
0.371065,,Surface,1,453,
0.707096,,Surface,1,457,
0.463552,,Surface,1,458,
0.567125,,Surface,1,459,
0.300759,,Surface,1,462,
0.478255,,Surface,1,465,
0.530753,,Surface,1,469,
