
Intensity Ch=9 Img=1
 ==================== 
Distance to Surface,Intensity Mean,Image Intensity Mean,Intensity Mean minus Std,Intensity Mean plus Std,Unit,Channel,Collection,Image,Time,ID,
-4.995,618.998,4806.6,842.658,8770.54,,9,Intensity,Image 1,1,,
-4.725,618.998,4751.12,873.979,8628.26,,9,Intensity,Image 1,1,,
-4.455,618.998,4685.55,924.996,8446.11,,9,Intensity,Image 1,1,,
-4.185,618.998,4640.06,994.722,8285.4,,9,Intensity,Image 1,1,,
-3.915,618.998,4609.77,1071.76,8147.78,,9,Intensity,Image 1,1,,
-3.645,618.998,4575.41,1140.89,8009.94,,9,Intensity,Image 1,1,,
-3.375,618.998,4554.54,1196.34,7912.74,,9,Intensity,Image 1,1,,
-3.105,618.998,4541.94,1235.58,7848.3,,9,Intensity,Image 1,1,,
-2.835,618.998,4526.86,1262.05,7791.67,,9,Intensity,Image 1,1,,
-2.565,618.998,4505.47,1279.67,7731.28,,9,Intensity,Image 1,1,,
-2.295,618.998,4468.17,1276.22,7660.13,,9,Intensity,Image 1,1,,
-2.025,618.998,4399.15,1228.07,7570.23,,9,Intensity,Image 1,1,,
-1.755,618.998,4279.37,1101.73,7457.01,,9,Intensity,Image 1,1,,
-1.485,618.998,4072.24,854.683,7289.79,,9,Intensity,Image 1,1,,
-1.215,618.998,3682.3,446.391,6918.21,,9,Intensity,Image 1,1,,
-0.945,618.998,2982.48,-87.6208,6052.58,,9,Intensity,Image 1,1,,
-0.675,618.998,1991.93,-556.156,4540.01,,9,Intensity,Image 1,1,,
-0.405,618.998,1107.49,-758.175,2973.16,,9,Intensity,Image 1,1,,
-0.135,618.998,622.633,-760.687,2005.95,,9,Intensity,Image 1,1,,
0.135,618.998,415.245,-760.528,1591.02,,9,Intensity,Image 1,1,,
0.405,618.998,329.728,-796.843,1456.3,,9,Intensity,Image 1,1,,
0.675,618.998,322.245,-868.775,1513.27,,9,Intensity,Image 1,1,,
0.945,618.998,342.784,-947.527,1633.1,,9,Intensity,Image 1,1,,
1.215,618.998,372.713,-1016.41,1761.84,,9,Intensity,Image 1,1,,
1.485,618.998,404.827,-1070.19,1879.84,,9,Intensity,Image 1,1,,
1.755,618.998,436.572,-1111.29,1984.44,,9,Intensity,Image 1,1,,
2.025,618.998,466.166,-1144.03,2076.37,,9,Intensity,Image 1,1,,
2.295,618.998,493.545,-1171.48,2158.57,,9,Intensity,Image 1,1,,
2.565,618.998,517.971,-1194.05,2229.99,,9,Intensity,Image 1,1,,
2.835,618.998,539.278,-1212.61,2291.17,,9,Intensity,Image 1,1,,
3.105,618.998,555.839,-1226.74,2338.42,,9,Intensity,Image 1,1,,
3.375,618.998,567.648,-1236.09,2371.39,,9,Intensity,Image 1,1,,
3.645,618.998,580.44,-1243.44,2404.32,,9,Intensity,Image 1,1,,
3.915,618.998,589.456,-1247.75,2426.66,,9,Intensity,Image 1,1,,
4.185,618.998,593.739,-1249.69,2437.17,,9,Intensity,Image 1,1,,
4.455,618.998,593.152,-1249.04,2435.34,,9,Intensity,Image 1,1,,
4.725,618.998,588.037,-1246.15,2422.23,,9,Intensity,Image 1,1,,
4.995,618.998,578.959,-1241.64,2399.56,,9,Intensity,Image 1,1,,
5.265,618.998,566.074,-1235.63,2367.78,,9,Intensity,Image 1,1,,
5.535,618.998,550.22,-1228.07,2328.51,,9,Intensity,Image 1,1,,
5.805,618.998,531.782,-1218.28,2281.85,,9,Intensity,Image 1,1,,
6.075,618.998,510.158,-1204.93,2225.25,,9,Intensity,Image 1,1,,
6.345,618.998,485.694,-1187.61,2159,,9,Intensity,Image 1,1,,
6.615,618.998,459.125,-1166.75,2085,,9,Intensity,Image 1,1,,
6.885,618.998,431.458,-1143.98,2006.89,,9,Intensity,Image 1,1,,
7.155,618.998,405.657,-1121.49,1932.8,,9,Intensity,Image 1,1,,
7.425,618.998,379.989,-1098.31,1858.29,,9,Intensity,Image 1,1,,
