
Intensity Inside Ch=31 Img=1
 ==================== 
Distance to Surface,Image Intensity Mean Inside,Intensity Mean Inside,Intensity Mean minus Std Inside,Intensity Mean plus Std Inside,Unit,Channel,Collection,Image,Time,ID,
-4.995,115.671,94.0087,-306.075,494.093,,31,Intensity Inside,Image 1,1,,
-4.725,115.671,93.9499,-307.001,494.901,,31,Intensity Inside,Image 1,1,,
-4.455,115.671,93.2019,-307.98,494.383,,31,Intensity Inside,Image 1,1,,
-4.185,115.671,91.3539,-308.328,491.036,,31,Intensity Inside,Image 1,1,,
-3.915,115.671,88.7541,-306.445,483.953,,31,Intensity Inside,Image 1,1,,
-3.645,115.671,84.1404,-298.667,466.948,,31,Intensity Inside,Image 1,1,,
-3.375,115.671,76.816,-285.522,439.154,,31,Intensity Inside,Image 1,1,,
-3.105,115.671,69.3508,-276.979,415.681,,31,Intensity Inside,Image 1,1,,
-2.835,115.671,64.1928,-281.317,409.702,,31,Intensity Inside,Image 1,1,,
-2.565,115.671,62.6235,-301.288,426.535,,31,Intensity Inside,Image 1,1,,
-2.295,115.671,64.6177,-330.4,459.636,,31,Intensity Inside,Image 1,1,,
-2.025,115.671,69.8926,-369.46,509.245,,31,Intensity Inside,Image 1,1,,
-1.755,115.671,77.7695,-412.175,567.714,,31,Intensity Inside,Image 1,1,,
-1.485,115.671,88.0317,-454.286,630.349,,31,Intensity Inside,Image 1,1,,
-1.215,115.671,101.271,-498.942,701.484,,31,Intensity Inside,Image 1,1,,
-0.945,115.671,117.017,-545.722,779.756,,31,Intensity Inside,Image 1,1,,
-0.675,115.671,132.244,-595.717,860.206,,31,Intensity Inside,Image 1,1,,
-0.405,115.671,141.999,-649.316,933.314,,31,Intensity Inside,Image 1,1,,
-0.135,115.671,145.486,-703.916,994.889,,31,Intensity Inside,Image 1,1,,
