
Intensity Max Ch=28 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
22772,,Surface,28,Image 1,1,2,
7642,,Surface,28,Image 1,1,3,
6956,,Surface,28,Image 1,1,4,
7000,,Surface,28,Image 1,1,5,
8612,,Surface,28,Image 1,1,6,
7346,,Surface,28,Image 1,1,7,
8682,,Surface,28,Image 1,1,8,
14028,,Surface,28,Image 1,1,10,
9407,,Surface,28,Image 1,1,11,
12031,,Surface,28,Image 1,1,12,
7789,,Surface,28,Image 1,1,13,
8013,,Surface,28,Image 1,1,18,
7221,,Surface,28,Image 1,1,19,
4924,,Surface,28,Image 1,1,21,
7478,,Surface,28,Image 1,1,22,
18681,,Surface,28,Image 1,1,24,
4908,,Surface,28,Image 1,1,25,
12577,,Surface,28,Image 1,1,26,
8595,,Surface,28,Image 1,1,28,
12185,,Surface,28,Image 1,1,29,
7512,,Surface,28,Image 1,1,35,
10005,,Surface,28,Image 1,1,37,
18083,,Surface,28,Image 1,1,38,
12497,,Surface,28,Image 1,1,40,
10596,,Surface,28,Image 1,1,45,
6120,,Surface,28,Image 1,1,46,
14400,,Surface,28,Image 1,1,49,
7447,,Surface,28,Image 1,1,52,
8677,,Surface,28,Image 1,1,54,
5532,,Surface,28,Image 1,1,58,
6701,,Surface,28,Image 1,1,60,
10037,,Surface,28,Image 1,1,61,
3008,,Surface,28,Image 1,1,63,
9737,,Surface,28,Image 1,1,64,
14916,,Surface,28,Image 1,1,65,
5825,,Surface,28,Image 1,1,67,
10993,,Surface,28,Image 1,1,71,
5119,,Surface,28,Image 1,1,72,
7784,,Surface,28,Image 1,1,73,
6039,,Surface,28,Image 1,1,74,
15232,,Surface,28,Image 1,1,76,
13867,,Surface,28,Image 1,1,77,
9061,,Surface,28,Image 1,1,79,
15685,,Surface,28,Image 1,1,81,
31707,,Surface,28,Image 1,1,82,
14098,,Surface,28,Image 1,1,88,
1172,,Surface,28,Image 1,1,89,
13190,,Surface,28,Image 1,1,91,
9745,,Surface,28,Image 1,1,93,
20390,,Surface,28,Image 1,1,97,
8971,,Surface,28,Image 1,1,100,
7560,,Surface,28,Image 1,1,101,
3458,,Surface,28,Image 1,1,102,
15095,,Surface,28,Image 1,1,103,
27383,,Surface,28,Image 1,1,106,
10489,,Surface,28,Image 1,1,107,
20913,,Surface,28,Image 1,1,110,
