
Intensity Mean Ch=40 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
316.698,,Surface,40,Image 1,1,2,
58.1992,,Surface,40,Image 1,1,3,
45.7811,,Surface,40,Image 1,1,4,
23.6632,,Surface,40,Image 1,1,5,
77.8757,,Surface,40,Image 1,1,6,
76.9934,,Surface,40,Image 1,1,7,
42.172,,Surface,40,Image 1,1,8,
79.612,,Surface,40,Image 1,1,10,
38.0589,,Surface,40,Image 1,1,11,
111.995,,Surface,40,Image 1,1,12,
86.9559,,Surface,40,Image 1,1,13,
91.7189,,Surface,40,Image 1,1,18,
31.5103,,Surface,40,Image 1,1,19,
31.8063,,Surface,40,Image 1,1,21,
52.8864,,Surface,40,Image 1,1,22,
110.769,,Surface,40,Image 1,1,24,
22.3698,,Surface,40,Image 1,1,25,
89.776,,Surface,40,Image 1,1,26,
32.4394,,Surface,40,Image 1,1,28,
67.9807,,Surface,40,Image 1,1,29,
69.9028,,Surface,40,Image 1,1,35,
63.1449,,Surface,40,Image 1,1,37,
178.124,,Surface,40,Image 1,1,38,
64.8811,,Surface,40,Image 1,1,40,
81.4725,,Surface,40,Image 1,1,45,
38.575,,Surface,40,Image 1,1,46,
69.6811,,Surface,40,Image 1,1,49,
30.9116,,Surface,40,Image 1,1,52,
72.5431,,Surface,40,Image 1,1,54,
31.0934,,Surface,40,Image 1,1,58,
67.4945,,Surface,40,Image 1,1,60,
52.6111,,Surface,40,Image 1,1,61,
49.5165,,Surface,40,Image 1,1,63,
85.7191,,Surface,40,Image 1,1,64,
52.2287,,Surface,40,Image 1,1,65,
33.7291,,Surface,40,Image 1,1,67,
77.0602,,Surface,40,Image 1,1,71,
36.5651,,Surface,40,Image 1,1,72,
58.5531,,Surface,40,Image 1,1,73,
28.7033,,Surface,40,Image 1,1,74,
63.6427,,Surface,40,Image 1,1,76,
64.1907,,Surface,40,Image 1,1,77,
66.7403,,Surface,40,Image 1,1,79,
114.264,,Surface,40,Image 1,1,81,
234.151,,Surface,40,Image 1,1,82,
50.1977,,Surface,40,Image 1,1,88,
76.4007,,Surface,40,Image 1,1,89,
89.4391,,Surface,40,Image 1,1,91,
31.524,,Surface,40,Image 1,1,93,
42.2896,,Surface,40,Image 1,1,97,
77.553,,Surface,40,Image 1,1,100,
62.5382,,Surface,40,Image 1,1,101,
25.5995,,Surface,40,Image 1,1,102,
54.4474,,Surface,40,Image 1,1,103,
278.673,,Surface,40,Image 1,1,106,
33.8166,,Surface,40,Image 1,1,107,
66.7814,,Surface,40,Image 1,1,110,
67.5787,,Surface,40,Image 1,1,111,
24.8878,,Surface,40,Image 1,1,112,
61.3497,,Surface,40,Image 1,1,113,
43.2771,,Surface,40,Image 1,1,118,
66.278,,Surface,40,Image 1,1,119,
32.6911,,Surface,40,Image 1,1,120,
73.21,,Surface,40,Image 1,1,122,
108.696,,Surface,40,Image 1,1,123,
54.2085,,Surface,40,Image 1,1,124,
47.7057,,Surface,40,Image 1,1,128,
33.704,,Surface,40,Image 1,1,134,
39.9275,,Surface,40,Image 1,1,136,
39.9758,,Surface,40,Image 1,1,137,
92.5117,,Surface,40,Image 1,1,138,
109.558,,Surface,40,Image 1,1,139,
38.8217,,Surface,40,Image 1,1,140,
24.651,,Surface,40,Image 1,1,141,
32.1518,,Surface,40,Image 1,1,143,
24.8072,,Surface,40,Image 1,1,146,
30.6419,,Surface,40,Image 1,1,150,
18.7181,,Surface,40,Image 1,1,154,
38.1453,,Surface,40,Image 1,1,155,
27.1914,,Surface,40,Image 1,1,156,
69.8322,,Surface,40,Image 1,1,159,
34.7193,,Surface,40,Image 1,1,161,
43.8097,,Surface,40,Image 1,1,164,
43.9493,,Surface,40,Image 1,1,165,
34.1964,,Surface,40,Image 1,1,167,
77.058,,Surface,40,Image 1,1,171,
39.0343,,Surface,40,Image 1,1,172,
37.486,,Surface,40,Image 1,1,173,
34.5451,,Surface,40,Image 1,1,174,
48.4561,,Surface,40,Image 1,1,177,
26.3003,,Surface,40,Image 1,1,180,
61.1227,,Surface,40,Image 1,1,181,
6.22963,,Surface,40,Image 1,1,190,
63.2755,,Surface,40,Image 1,1,192,
38.7319,,Surface,40,Image 1,1,193,
38.8149,,Surface,40,Image 1,1,195,
77.9862,,Surface,40,Image 1,1,199,
30.7797,,Surface,40,Image 1,1,200,
35.7109,,Surface,40,Image 1,1,201,
211.935,,Surface,40,Image 1,1,203,
54.4058,,Surface,40,Image 1,1,208,
87.9449,,Surface,40,Image 1,1,209,
152.597,,Surface,40,Image 1,1,210,
42.8519,,Surface,40,Image 1,1,213,
57.1538,,Surface,40,Image 1,1,214,
32.9128,,Surface,40,Image 1,1,215,
178.688,,Surface,40,Image 1,1,216,
50.2565,,Surface,40,Image 1,1,217,
59.6895,,Surface,40,Image 1,1,218,
31.8064,,Surface,40,Image 1,1,219,
60.9781,,Surface,40,Image 1,1,221,
23.6142,,Surface,40,Image 1,1,225,
35.8415,,Surface,40,Image 1,1,227,
42.4748,,Surface,40,Image 1,1,228,
25.5808,,Surface,40,Image 1,1,230,
45.0887,,Surface,40,Image 1,1,233,
293.413,,Surface,40,Image 1,1,234,
27.1813,,Surface,40,Image 1,1,236,
44.3167,,Surface,40,Image 1,1,237,
40.3999,,Surface,40,Image 1,1,238,
35.8855,,Surface,40,Image 1,1,239,
135.106,,Surface,40,Image 1,1,241,
57.2591,,Surface,40,Image 1,1,243,
74.9559,,Surface,40,Image 1,1,245,
91.8386,,Surface,40,Image 1,1,249,
119.144,,Surface,40,Image 1,1,250,
46.212,,Surface,40,Image 1,1,251,
38.6546,,Surface,40,Image 1,1,253,
31.6288,,Surface,40,Image 1,1,262,
48.9193,,Surface,40,Image 1,1,263,
81.7459,,Surface,40,Image 1,1,265,
22.4132,,Surface,40,Image 1,1,266,
73.497,,Surface,40,Image 1,1,268,
22.6914,,Surface,40,Image 1,1,269,
48.4618,,Surface,40,Image 1,1,272,
55.9322,,Surface,40,Image 1,1,274,
55.7826,,Surface,40,Image 1,1,277,
79.4152,,Surface,40,Image 1,1,279,
151.78,,Surface,40,Image 1,1,281,
57.6848,,Surface,40,Image 1,1,282,
27.329,,Surface,40,Image 1,1,284,
63.304,,Surface,40,Image 1,1,285,
124.204,,Surface,40,Image 1,1,291,
66.0163,,Surface,40,Image 1,1,293,
37.5999,,Surface,40,Image 1,1,295,
129.577,,Surface,40,Image 1,1,297,
47.9186,,Surface,40,Image 1,1,300,
31.2016,,Surface,40,Image 1,1,302,
115.652,,Surface,40,Image 1,1,303,
52.0623,,Surface,40,Image 1,1,309,
27.1634,,Surface,40,Image 1,1,310,
54.6363,,Surface,40,Image 1,1,316,
100.487,,Surface,40,Image 1,1,317,
244.317,,Surface,40,Image 1,1,324,
481.326,,Surface,40,Image 1,1,325,
74.2272,,Surface,40,Image 1,1,330,
35.2498,,Surface,40,Image 1,1,331,
50.8865,,Surface,40,Image 1,1,334,
40.471,,Surface,40,Image 1,1,335,
28.3923,,Surface,40,Image 1,1,336,
188.197,,Surface,40,Image 1,1,337,
226.439,,Surface,40,Image 1,1,338,
24.8862,,Surface,40,Image 1,1,339,
91.1516,,Surface,40,Image 1,1,340,
15.4517,,Surface,40,Image 1,1,341,
45.9199,,Surface,40,Image 1,1,342,
49.6017,,Surface,40,Image 1,1,343,
141.354,,Surface,40,Image 1,1,344,
21.5515,,Surface,40,Image 1,1,347,
47.7821,,Surface,40,Image 1,1,348,
39.479,,Surface,40,Image 1,1,349,
46.2382,,Surface,40,Image 1,1,351,
46.5714,,Surface,40,Image 1,1,355,
13.2299,,Surface,40,Image 1,1,356,
95.2546,,Surface,40,Image 1,1,361,
30.9619,,Surface,40,Image 1,1,362,
54.6875,,Surface,40,Image 1,1,363,
98.8769,,Surface,40,Image 1,1,364,
34.1093,,Surface,40,Image 1,1,365,
43.7222,,Surface,40,Image 1,1,369,
62.2325,,Surface,40,Image 1,1,371,
28.9672,,Surface,40,Image 1,1,372,
39.8987,,Surface,40,Image 1,1,373,
41.0046,,Surface,40,Image 1,1,374,
43.1218,,Surface,40,Image 1,1,376,
83.2236,,Surface,40,Image 1,1,378,
24.3587,,Surface,40,Image 1,1,379,
186.849,,Surface,40,Image 1,1,381,
81.1788,,Surface,40,Image 1,1,383,
146.595,,Surface,40,Image 1,1,385,
702.428,,Surface,40,Image 1,1,386,
48.0868,,Surface,40,Image 1,1,388,
27.4196,,Surface,40,Image 1,1,389,
71.1709,,Surface,40,Image 1,1,390,
30.8297,,Surface,40,Image 1,1,393,
33.8485,,Surface,40,Image 1,1,396,
69.2111,,Surface,40,Image 1,1,397,
51.1664,,Surface,40,Image 1,1,398,
70.0444,,Surface,40,Image 1,1,399,
28.286,,Surface,40,Image 1,1,400,
176.718,,Surface,40,Image 1,1,401,
39.7709,,Surface,40,Image 1,1,402,
25.192,,Surface,40,Image 1,1,405,
209.615,,Surface,40,Image 1,1,406,
51.204,,Surface,40,Image 1,1,413,
95.7118,,Surface,40,Image 1,1,420,
25.4842,,Surface,40,Image 1,1,421,
56.5983,,Surface,40,Image 1,1,426,
74.8672,,Surface,40,Image 1,1,427,
64.1119,,Surface,40,Image 1,1,428,
36.016,,Surface,40,Image 1,1,437,
33.4873,,Surface,40,Image 1,1,442,
43.2527,,Surface,40,Image 1,1,443,
31.3728,,Surface,40,Image 1,1,445,
152.591,,Surface,40,Image 1,1,447,
52.5403,,Surface,40,Image 1,1,448,
62.3048,,Surface,40,Image 1,1,449,
110.252,,Surface,40,Image 1,1,453,
37.1068,,Surface,40,Image 1,1,457,
56.8296,,Surface,40,Image 1,1,458,
35.2323,,Surface,40,Image 1,1,459,
44.5102,,Surface,40,Image 1,1,462,
32.5412,,Surface,40,Image 1,1,465,
153.358,,Surface,40,Image 1,1,469,
65.4124,,Surface,40,Image 1,1,473,
17.7163,,Surface,40,Image 1,1,476,
46.5591,,Surface,40,Image 1,1,478,
154.664,,Surface,40,Image 1,1,480,
33.6531,,Surface,40,Image 1,1,487,
95.1736,,Surface,40,Image 1,1,488,
69.6197,,Surface,40,Image 1,1,489,
106.188,,Surface,40,Image 1,1,492,
45.2696,,Surface,40,Image 1,1,494,
45.801,,Surface,40,Image 1,1,495,
22.8982,,Surface,40,Image 1,1,497,
63.5826,,Surface,40,Image 1,1,498,
29.0882,,Surface,40,Image 1,1,503,
13.7909,,Surface,40,Image 1,1,504,
65.2455,,Surface,40,Image 1,1,506,
27.9398,,Surface,40,Image 1,1,509,
43.0147,,Surface,40,Image 1,1,510,
200.261,,Surface,40,Image 1,1,511,
51.864,,Surface,40,Image 1,1,512,
28.894,,Surface,40,Image 1,1,514,
180.168,,Surface,40,Image 1,1,515,
21.8177,,Surface,40,Image 1,1,516,
55.4086,,Surface,40,Image 1,1,520,
145.271,,Surface,40,Image 1,1,521,
37.7843,,Surface,40,Image 1,1,523,
55.9066,,Surface,40,Image 1,1,524,
51.353,,Surface,40,Image 1,1,525,
52.963,,Surface,40,Image 1,1,526,
29.7399,,Surface,40,Image 1,1,527,
49.9951,,Surface,40,Image 1,1,528,
156.63,,Surface,40,Image 1,1,533,
40.2034,,Surface,40,Image 1,1,534,
65.8322,,Surface,40,Image 1,1,535,
292.488,,Surface,40,Image 1,1,536,
65.7686,,Surface,40,Image 1,1,538,
47.0118,,Surface,40,Image 1,1,539,
29.5034,,Surface,40,Image 1,1,540,
31.7472,,Surface,40,Image 1,1,541,
45.7317,,Surface,40,Image 1,1,542,
49.2058,,Surface,40,Image 1,1,545,
26.7504,,Surface,40,Image 1,1,546,
24.707,,Surface,40,Image 1,1,548,
31.1418,,Surface,40,Image 1,1,551,
127.649,,Surface,40,Image 1,1,552,
37.1617,,Surface,40,Image 1,1,554,
84.7379,,Surface,40,Image 1,1,556,
44.9003,,Surface,40,Image 1,1,561,
51.837,,Surface,40,Image 1,1,562,
65.8209,,Surface,40,Image 1,1,563,
56.8029,,Surface,40,Image 1,1,565,
69.7536,,Surface,40,Image 1,1,567,
29.0521,,Surface,40,Image 1,1,568,
31.4823,,Surface,40,Image 1,1,570,
34.1391,,Surface,40,Image 1,1,572,
31.3445,,Surface,40,Image 1,1,573,
32.1363,,Surface,40,Image 1,1,574,
57.7285,,Surface,40,Image 1,1,576,
