
Intensity Median Ch=27 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
4,,Surface,27,Image 1,1,2,
532,,Surface,27,Image 1,1,3,
364,,Surface,27,Image 1,1,4,
276,,Surface,27,Image 1,1,5,
436,,Surface,27,Image 1,1,6,
202,,Surface,27,Image 1,1,7,
364,,Surface,27,Image 1,1,8,
310,,Surface,27,Image 1,1,10,
338,,Surface,27,Image 1,1,11,
364,,Surface,27,Image 1,1,12,
596,,Surface,27,Image 1,1,13,
420,,Surface,27,Image 1,1,18,
298,,Surface,27,Image 1,1,19,
484,,Surface,27,Image 1,1,21,
338,,Surface,27,Image 1,1,22,
346,,Surface,27,Image 1,1,24,
482,,Surface,27,Image 1,1,25,
532,,Surface,27,Image 1,1,26,
490,,Surface,27,Image 1,1,28,
644,,Surface,27,Image 1,1,29,
340,,Surface,27,Image 1,1,35,
472,,Surface,27,Image 1,1,37,
214,,Surface,27,Image 1,1,38,
648,,Surface,27,Image 1,1,40,
284,,Surface,27,Image 1,1,45,
484,,Surface,27,Image 1,1,46,
584,,Surface,27,Image 1,1,49,
612,,Surface,27,Image 1,1,52,
588,,Surface,27,Image 1,1,54,
356,,Surface,27,Image 1,1,58,
452,,Surface,27,Image 1,1,60,
488,,Surface,27,Image 1,1,61,
0.125,,Surface,27,Image 1,1,63,
508,,Surface,27,Image 1,1,64,
504,,Surface,27,Image 1,1,65,
324,,Surface,27,Image 1,1,67,
552,,Surface,27,Image 1,1,71,
454,,Surface,27,Image 1,1,72,
314,,Surface,27,Image 1,1,73,
434,,Surface,27,Image 1,1,74,
424,,Surface,27,Image 1,1,76,
456,,Surface,27,Image 1,1,77,
492,,Surface,27,Image 1,1,79,
262,,Surface,27,Image 1,1,81,
348,,Surface,27,Image 1,1,82,
440,,Surface,27,Image 1,1,88,
0.25,,Surface,27,Image 1,1,89,
500,,Surface,27,Image 1,1,91,
344,,Surface,27,Image 1,1,93,
492,,Surface,27,Image 1,1,97,
472,,Surface,27,Image 1,1,100,
332,,Surface,27,Image 1,1,101,
318,,Surface,27,Image 1,1,102,
436,,Surface,27,Image 1,1,103,
300,,Surface,27,Image 1,1,106,
456,,Surface,27,Image 1,1,107,
584,,Surface,27,Image 1,1,110,
476,,Surface,27,Image 1,1,111,
420,,Surface,27,Image 1,1,112,
508,,Surface,27,Image 1,1,113,
406,,Surface,27,Image 1,1,118,
508,,Surface,27,Image 1,1,119,
524,,Surface,27,Image 1,1,120,
412,,Surface,27,Image 1,1,122,
524,,Surface,27,Image 1,1,123,
634,,Surface,27,Image 1,1,124,
492,,Surface,27,Image 1,1,128,
406,,Surface,27,Image 1,1,134,
472,,Surface,27,Image 1,1,136,
600,,Surface,27,Image 1,1,137,
436,,Surface,27,Image 1,1,138,
856,,Surface,27,Image 1,1,139,
440,,Surface,27,Image 1,1,140,
644,,Surface,27,Image 1,1,141,
458,,Surface,27,Image 1,1,143,
492,,Surface,27,Image 1,1,146,
322,,Surface,27,Image 1,1,150,
538,,Surface,27,Image 1,1,154,
380,,Surface,27,Image 1,1,155,
484,,Surface,27,Image 1,1,156,
428,,Surface,27,Image 1,1,159,
276,,Surface,27,Image 1,1,161,
392,,Surface,27,Image 1,1,164,
348,,Surface,27,Image 1,1,165,
500,,Surface,27,Image 1,1,167,
452,,Surface,27,Image 1,1,171,
612,,Surface,27,Image 1,1,172,
564,,Surface,27,Image 1,1,173,
278,,Surface,27,Image 1,1,174,
468,,Surface,27,Image 1,1,177,
396,,Surface,27,Image 1,1,180,
105,,Surface,27,Image 1,1,181,
504,,Surface,27,Image 1,1,190,
382,,Surface,27,Image 1,1,192,
452,,Surface,27,Image 1,1,193,
334,,Surface,27,Image 1,1,195,
364,,Surface,27,Image 1,1,199,
500,,Surface,27,Image 1,1,200,
540,,Surface,27,Image 1,1,201,
4,,Surface,27,Image 1,1,203,
324,,Surface,27,Image 1,1,208,
516,,Surface,27,Image 1,1,209,
292,,Surface,27,Image 1,1,210,
492,,Surface,27,Image 1,1,213,
368,,Surface,27,Image 1,1,214,
428,,Surface,27,Image 1,1,215,
322,,Surface,27,Image 1,1,216,
334,,Surface,27,Image 1,1,217,
188,,Surface,27,Image 1,1,218,
372,,Surface,27,Image 1,1,219,
462,,Surface,27,Image 1,1,221,
300,,Surface,27,Image 1,1,225,
324,,Surface,27,Image 1,1,227,
664,,Surface,27,Image 1,1,228,
404,,Surface,27,Image 1,1,230,
644,,Surface,27,Image 1,1,233,
27,,Surface,27,Image 1,1,234,
212,,Surface,27,Image 1,1,236,
468,,Surface,27,Image 1,1,237,
348,,Surface,27,Image 1,1,238,
388,,Surface,27,Image 1,1,239,
316,,Surface,27,Image 1,1,241,
