
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
87,,Surface,2,Image 1,1,2,
0,,Surface,2,Image 1,1,3,
110,,Surface,2,Image 1,1,4,
104,,Surface,2,Image 1,1,5,
104,,Surface,2,Image 1,1,6,
106,,Surface,2,Image 1,1,7,
110,,Surface,2,Image 1,1,8,
108,,Surface,2,Image 1,1,10,
103,,Surface,2,Image 1,1,11,
96,,Surface,2,Image 1,1,12,
101,,Surface,2,Image 1,1,13,
101,,Surface,2,Image 1,1,18,
23,,Surface,2,Image 1,1,19,
101,,Surface,2,Image 1,1,21,
107,,Surface,2,Image 1,1,22,
106,,Surface,2,Image 1,1,24,
107,,Surface,2,Image 1,1,25,
0,,Surface,2,Image 1,1,26,
106,,Surface,2,Image 1,1,28,
105,,Surface,2,Image 1,1,29,
104,,Surface,2,Image 1,1,35,
108,,Surface,2,Image 1,1,37,
100,,Surface,2,Image 1,1,38,
45,,Surface,2,Image 1,1,40,
87,,Surface,2,Image 1,1,45,
100,,Surface,2,Image 1,1,46,
87,,Surface,2,Image 1,1,49,
108,,Surface,2,Image 1,1,52,
99,,Surface,2,Image 1,1,54,
105,,Surface,2,Image 1,1,58,
59,,Surface,2,Image 1,1,60,
68,,Surface,2,Image 1,1,61,
110,,Surface,2,Image 1,1,63,
90,,Surface,2,Image 1,1,64,
101,,Surface,2,Image 1,1,65,
107,,Surface,2,Image 1,1,67,
35,,Surface,2,Image 1,1,71,
102,,Surface,2,Image 1,1,72,
106,,Surface,2,Image 1,1,73,
109,,Surface,2,Image 1,1,74,
104,,Surface,2,Image 1,1,76,
99,,Surface,2,Image 1,1,77,
95,,Surface,2,Image 1,1,79,
114,,Surface,2,Image 1,1,81,
0,,Surface,2,Image 1,1,82,
104,,Surface,2,Image 1,1,88,
113,,Surface,2,Image 1,1,89,
97,,Surface,2,Image 1,1,91,
0,,Surface,2,Image 1,1,93,
109,,Surface,2,Image 1,1,97,
77,,Surface,2,Image 1,1,100,
94,,Surface,2,Image 1,1,101,
107,,Surface,2,Image 1,1,102,
25,,Surface,2,Image 1,1,103,
101,,Surface,2,Image 1,1,106,
99,,Surface,2,Image 1,1,107,
104,,Surface,2,Image 1,1,110,
102,,Surface,2,Image 1,1,111,
108,,Surface,2,Image 1,1,112,
96,,Surface,2,Image 1,1,113,
107,,Surface,2,Image 1,1,118,
94,,Surface,2,Image 1,1,119,
102,,Surface,2,Image 1,1,120,
106,,Surface,2,Image 1,1,122,
108,,Surface,2,Image 1,1,123,
106,,Surface,2,Image 1,1,124,
101,,Surface,2,Image 1,1,128,
106,,Surface,2,Image 1,1,134,
99,,Surface,2,Image 1,1,136,
104,,Surface,2,Image 1,1,137,
108,,Surface,2,Image 1,1,138,
0,,Surface,2,Image 1,1,139,
103,,Surface,2,Image 1,1,140,
104,,Surface,2,Image 1,1,141,
107,,Surface,2,Image 1,1,143,
89,,Surface,2,Image 1,1,146,
104,,Surface,2,Image 1,1,150,
105,,Surface,2,Image 1,1,154,
109,,Surface,2,Image 1,1,155,
109,,Surface,2,Image 1,1,156,
105,,Surface,2,Image 1,1,159,
103,,Surface,2,Image 1,1,161,
0,,Surface,2,Image 1,1,164,
114,,Surface,2,Image 1,1,165,
103,,Surface,2,Image 1,1,167,
109,,Surface,2,Image 1,1,171,
102,,Surface,2,Image 1,1,172,
44,,Surface,2,Image 1,1,173,
91,,Surface,2,Image 1,1,174,
98,,Surface,2,Image 1,1,177,
105,,Surface,2,Image 1,1,180,
98,,Surface,2,Image 1,1,181,
110,,Surface,2,Image 1,1,190,
106,,Surface,2,Image 1,1,192,
72,,Surface,2,Image 1,1,193,
120,,Surface,2,Image 1,1,195,
71,,Surface,2,Image 1,1,199,
105,,Surface,2,Image 1,1,200,
98,,Surface,2,Image 1,1,201,
78,,Surface,2,Image 1,1,203,
104,,Surface,2,Image 1,1,208,
38,,Surface,2,Image 1,1,209,
78,,Surface,2,Image 1,1,210,
94,,Surface,2,Image 1,1,213,
106,,Surface,2,Image 1,1,214,
110,,Surface,2,Image 1,1,215,
110,,Surface,2,Image 1,1,216,
124,,Surface,2,Image 1,1,217,
34,,Surface,2,Image 1,1,218,
104,,Surface,2,Image 1,1,219,
50,,Surface,2,Image 1,1,221,
103,,Surface,2,Image 1,1,225,
109,,Surface,2,Image 1,1,227,
106,,Surface,2,Image 1,1,228,
104,,Surface,2,Image 1,1,230,
0,,Surface,2,Image 1,1,233,
103,,Surface,2,Image 1,1,234,
100,,Surface,2,Image 1,1,236,
2,,Surface,2,Image 1,1,237,
105,,Surface,2,Image 1,1,238,
109,,Surface,2,Image 1,1,239,
104,,Surface,2,Image 1,1,241,
106,,Surface,2,Image 1,1,243,
101,,Surface,2,Image 1,1,245,
99,,Surface,2,Image 1,1,249,
97,,Surface,2,Image 1,1,250,
74,,Surface,2,Image 1,1,251,
104,,Surface,2,Image 1,1,253,
104,,Surface,2,Image 1,1,262,
106,,Surface,2,Image 1,1,263,
62,,Surface,2,Image 1,1,265,
106,,Surface,2,Image 1,1,266,
100,,Surface,2,Image 1,1,268,
105,,Surface,2,Image 1,1,269,
108,,Surface,2,Image 1,1,272,
