
Intensity Outside Ch=38 Img=1
 ==================== 
Distance to Surface,Image Intensity Mean Outside,Intensity Mean Outside,Intensity Mean minus Std Outside,Intensity Mean plus Std Outside,Unit,Channel,Collection,Image,Time,ID,
0.135,23.2789,29.5544,-179.077,238.186,,38,Intensity Outside,Image 1,1,,
0.405,23.2789,23.5063,-163.212,210.224,,38,Intensity Outside,Image 1,1,,
0.675,23.2789,21.7609,-156.385,199.907,,38,Intensity Outside,Image 1,1,,
0.945,23.2789,21.7679,-152.388,195.924,,38,Intensity Outside,Image 1,1,,
1.215,23.2789,22.4754,-148.882,193.833,,38,Intensity Outside,Image 1,1,,
1.485,23.2789,23.482,-146.354,193.318,,38,Intensity Outside,Image 1,1,,
1.755,23.2789,24.6645,-146.917,196.246,,38,Intensity Outside,Image 1,1,,
2.025,23.2789,25.8606,-148.233,199.954,,38,Intensity Outside,Image 1,1,,
2.295,23.2789,26.9485,-147.586,201.483,,38,Intensity Outside,Image 1,1,,
2.565,23.2789,27.8862,-145.699,201.472,,38,Intensity Outside,Image 1,1,,
2.835,23.2789,28.7188,-144.627,202.065,,38,Intensity Outside,Image 1,1,,
3.105,23.2789,29.399,-145.049,203.847,,38,Intensity Outside,Image 1,1,,
3.375,23.2789,29.949,-146.949,206.847,,38,Intensity Outside,Image 1,1,,
3.645,23.2789,30.6803,-151.781,213.142,,38,Intensity Outside,Image 1,1,,
3.915,23.2789,31.2982,-158.528,221.125,,38,Intensity Outside,Image 1,1,,
4.185,23.2789,31.6875,-166.089,229.464,,38,Intensity Outside,Image 1,1,,
4.455,23.2789,31.7539,-170.754,234.262,,38,Intensity Outside,Image 1,1,,
4.725,23.2789,31.4751,-169.342,232.292,,38,Intensity Outside,Image 1,1,,
4.995,23.2789,30.95,-163.997,225.897,,38,Intensity Outside,Image 1,1,,
5.265,23.2789,30.2523,-159.3,219.804,,38,Intensity Outside,Image 1,1,,
5.535,23.2789,29.4386,-155.619,214.496,,38,Intensity Outside,Image 1,1,,
5.805,23.2789,28.5076,-151.685,208.7,,38,Intensity Outside,Image 1,1,,
6.075,23.2789,27.4252,-147.796,202.646,,38,Intensity Outside,Image 1,1,,
6.345,23.2789,26.2303,-145.904,198.365,,38,Intensity Outside,Image 1,1,,
6.615,23.2789,24.9327,-145.529,195.394,,38,Intensity Outside,Image 1,1,,
6.885,23.2789,23.5268,-143.594,190.648,,38,Intensity Outside,Image 1,1,,
7.155,23.2789,22.1807,-139.51,183.871,,38,Intensity Outside,Image 1,1,,
7.425,23.2789,20.8301,-134.467,176.127,,38,Intensity Outside,Image 1,1,,
7.695,23.2789,19.423,-126.885,165.731,,38,Intensity Outside,Image 1,1,,
7.965,23.2789,18.0294,-117.361,153.42,,38,Intensity Outside,Image 1,1,,
8.235,23.2789,16.7385,-111.601,145.078,,38,Intensity Outside,Image 1,1,,
8.505,23.2789,15.6066,-111.744,142.957,,38,Intensity Outside,Image 1,1,,
8.775,23.2789,14.6432,-114.449,143.736,,38,Intensity Outside,Image 1,1,,
9.045,23.2789,13.782,-115.877,143.441,,38,Intensity Outside,Image 1,1,,
9.315,23.2789,12.9711,-116.343,142.285,,38,Intensity Outside,Image 1,1,,
9.585,23.2789,12.2443,-117.937,142.426,,38,Intensity Outside,Image 1,1,,
9.855,23.2789,11.5915,-121.02,144.203,,38,Intensity Outside,Image 1,1,,
10.125,23.2789,10.944,-122.861,144.749,,38,Intensity Outside,Image 1,1,,
10.395,23.2789,10.2886,-121.636,142.214,,38,Intensity Outside,Image 1,1,,
10.665,23.2789,9.61982,-118.913,138.152,,38,Intensity Outside,Image 1,1,,
10.935,23.2789,8.9457,-115.63,133.521,,38,Intensity Outside,Image 1,1,,
11.205,23.2789,8.2716,-109.315,125.858,,38,Intensity Outside,Image 1,1,,
11.475,23.2789,7.62047,-99.45,114.691,,38,Intensity Outside,Image 1,1,,
11.745,23.2789,7.0222,-89.9895,104.034,,38,Intensity Outside,Image 1,1,,
12.015,23.2789,6.48105,-86.5317,99.4938,,38,Intensity Outside,Image 1,1,,
12.285,23.2789,5.95086,-84.3811,96.2828,,38,Intensity Outside,Image 1,1,,
12.555,23.2789,5.37506,-75.8497,86.5998,,38,Intensity Outside,Image 1,1,,
12.825,23.2789,4.82976,-64.8769,74.5364,,38,Intensity Outside,Image 1,1,,
13.095,23.2789,4.38606,-59.8359,68.608,,38,Intensity Outside,Image 1,1,,
13.365,23.2789,4.05909,-62.1745,70.2926,,38,Intensity Outside,Image 1,1,,
13.635,23.2789,3.80882,-63.9777,71.5954,,38,Intensity Outside,Image 1,1,,
13.905,23.2789,3.58311,-61.2357,68.4019,,38,Intensity Outside,Image 1,1,,
14.175,23.2789,3.39873,-60.2078,67.0053,,38,Intensity Outside,Image 1,1,,
14.445,23.2789,3.29014,-62.7453,69.3256,,38,Intensity Outside,Image 1,1,,
14.715,23.2789,3.23662,-63.8311,70.3044,,38,Intensity Outside,Image 1,1,,
