
Intensity StdDev Ch=18 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
534.895,,Surface,18,Image 1,1,2,
264.921,,Surface,18,Image 1,1,3,
320.842,,Surface,18,Image 1,1,4,
126.062,,Surface,18,Image 1,1,5,
323.338,,Surface,18,Image 1,1,6,
358.819,,Surface,18,Image 1,1,7,
272.561,,Surface,18,Image 1,1,8,
142.42,,Surface,18,Image 1,1,10,
217.83,,Surface,18,Image 1,1,11,
231.487,,Surface,18,Image 1,1,12,
464.161,,Surface,18,Image 1,1,13,
342.563,,Surface,18,Image 1,1,18,
129.183,,Surface,18,Image 1,1,19,
169.907,,Surface,18,Image 1,1,21,
304.748,,Surface,18,Image 1,1,22,
223.799,,Surface,18,Image 1,1,24,
294.51,,Surface,18,Image 1,1,25,
366.448,,Surface,18,Image 1,1,26,
145.846,,Surface,18,Image 1,1,28,
418.839,,Surface,18,Image 1,1,29,
423.653,,Surface,18,Image 1,1,35,
328.707,,Surface,18,Image 1,1,37,
255.719,,Surface,18,Image 1,1,38,
298.555,,Surface,18,Image 1,1,40,
344.587,,Surface,18,Image 1,1,45,
284.663,,Surface,18,Image 1,1,46,
441.66,,Surface,18,Image 1,1,49,
153.159,,Surface,18,Image 1,1,52,
721.592,,Surface,18,Image 1,1,54,
212.392,,Surface,18,Image 1,1,58,
556.538,,Surface,18,Image 1,1,60,
164.848,,Surface,18,Image 1,1,61,
346.709,,Surface,18,Image 1,1,63,
292.211,,Surface,18,Image 1,1,64,
341.679,,Surface,18,Image 1,1,65,
167.378,,Surface,18,Image 1,1,67,
191.87,,Surface,18,Image 1,1,71,
379.033,,Surface,18,Image 1,1,72,
416.511,,Surface,18,Image 1,1,73,
121.363,,Surface,18,Image 1,1,74,
362.759,,Surface,18,Image 1,1,76,
159.504,,Surface,18,Image 1,1,77,
519.416,,Surface,18,Image 1,1,79,
236.561,,Surface,18,Image 1,1,81,
272.575,,Surface,18,Image 1,1,82,
514.053,,Surface,18,Image 1,1,88,
827.914,,Surface,18,Image 1,1,89,
105.077,,Surface,18,Image 1,1,91,
159.76,,Surface,18,Image 1,1,93,
158.179,,Surface,18,Image 1,1,97,
270.172,,Surface,18,Image 1,1,100,
180.077,,Surface,18,Image 1,1,101,
303.409,,Surface,18,Image 1,1,102,
308.542,,Surface,18,Image 1,1,103,
396.49,,Surface,18,Image 1,1,106,
198.094,,Surface,18,Image 1,1,107,
254.314,,Surface,18,Image 1,1,110,
346.598,,Surface,18,Image 1,1,111,
158.755,,Surface,18,Image 1,1,112,
303.883,,Surface,18,Image 1,1,113,
194.899,,Surface,18,Image 1,1,118,
171.015,,Surface,18,Image 1,1,119,
275.246,,Surface,18,Image 1,1,120,
175.737,,Surface,18,Image 1,1,122,
215.402,,Surface,18,Image 1,1,123,
256.712,,Surface,18,Image 1,1,124,
358.525,,Surface,18,Image 1,1,128,
169.803,,Surface,18,Image 1,1,134,
245.178,,Surface,18,Image 1,1,136,
192.856,,Surface,18,Image 1,1,137,
225.181,,Surface,18,Image 1,1,138,
986.737,,Surface,18,Image 1,1,139,
253.788,,Surface,18,Image 1,1,140,
398.565,,Surface,18,Image 1,1,141,
170.315,,Surface,18,Image 1,1,143,
183.161,,Surface,18,Image 1,1,146,
305.465,,Surface,18,Image 1,1,150,
145.102,,Surface,18,Image 1,1,154,
895.896,,Surface,18,Image 1,1,155,
77.9487,,Surface,18,Image 1,1,156,
342.698,,Surface,18,Image 1,1,159,
389.461,,Surface,18,Image 1,1,161,
397.868,,Surface,18,Image 1,1,164,
380.096,,Surface,18,Image 1,1,165,
264.135,,Surface,18,Image 1,1,167,
433.248,,Surface,18,Image 1,1,171,
193.616,,Surface,18,Image 1,1,172,
398.146,,Surface,18,Image 1,1,173,
562.795,,Surface,18,Image 1,1,174,
162.5,,Surface,18,Image 1,1,177,
260.368,,Surface,18,Image 1,1,180,
189.808,,Surface,18,Image 1,1,181,
336.488,,Surface,18,Image 1,1,190,
159.692,,Surface,18,Image 1,1,192,
104.776,,Surface,18,Image 1,1,193,
149.376,,Surface,18,Image 1,1,195,
250.685,,Surface,18,Image 1,1,199,
180.67,,Surface,18,Image 1,1,200,
480.282,,Surface,18,Image 1,1,201,
369.509,,Surface,18,Image 1,1,203,
128.633,,Surface,18,Image 1,1,208,
434.576,,Surface,18,Image 1,1,209,
651.88,,Surface,18,Image 1,1,210,
286.098,,Surface,18,Image 1,1,213,
235.96,,Surface,18,Image 1,1,214,
232.515,,Surface,18,Image 1,1,215,
216.899,,Surface,18,Image 1,1,216,
137.608,,Surface,18,Image 1,1,217,
166.152,,Surface,18,Image 1,1,218,
190.114,,Surface,18,Image 1,1,219,
167.457,,Surface,18,Image 1,1,221,
112.446,,Surface,18,Image 1,1,225,
235.141,,Surface,18,Image 1,1,227,
535.149,,Surface,18,Image 1,1,228,
179.868,,Surface,18,Image 1,1,230,
1042.49,,Surface,18,Image 1,1,233,
429.385,,Surface,18,Image 1,1,234,
154.829,,Surface,18,Image 1,1,236,
145.011,,Surface,18,Image 1,1,237,
141.264,,Surface,18,Image 1,1,238,
254.131,,Surface,18,Image 1,1,239,
223.073,,Surface,18,Image 1,1,241,
191.969,,Surface,18,Image 1,1,243,
438.719,,Surface,18,Image 1,1,245,
455.982,,Surface,18,Image 1,1,249,
528.003,,Surface,18,Image 1,1,250,
244.905,,Surface,18,Image 1,1,251,
203.725,,Surface,18,Image 1,1,253,
188.196,,Surface,18,Image 1,1,262,
148.432,,Surface,18,Image 1,1,263,
206.601,,Surface,18,Image 1,1,265,
225.123,,Surface,18,Image 1,1,266,
259.945,,Surface,18,Image 1,1,268,
102.726,,Surface,18,Image 1,1,269,
220.853,,Surface,18,Image 1,1,272,
484.692,,Surface,18,Image 1,1,274,
352.02,,Surface,18,Image 1,1,277,
542.739,,Surface,18,Image 1,1,279,
912.3,,Surface,18,Image 1,1,281,
302.214,,Surface,18,Image 1,1,282,
108.273,,Surface,18,Image 1,1,284,
149.764,,Surface,18,Image 1,1,285,
607.905,,Surface,18,Image 1,1,291,
2234.48,,Surface,18,Image 1,1,293,
126.562,,Surface,18,Image 1,1,295,
473.707,,Surface,18,Image 1,1,297,
193.921,,Surface,18,Image 1,1,300,
356.05,,Surface,18,Image 1,1,302,
294.229,,Surface,18,Image 1,1,303,
323.666,,Surface,18,Image 1,1,309,
221.687,,Surface,18,Image 1,1,310,
307.217,,Surface,18,Image 1,1,316,
442.6,,Surface,18,Image 1,1,317,
402.695,,Surface,18,Image 1,1,324,
436.034,,Surface,18,Image 1,1,325,
313.635,,Surface,18,Image 1,1,330,
234.212,,Surface,18,Image 1,1,331,
434.712,,Surface,18,Image 1,1,334,
269.541,,Surface,18,Image 1,1,335,
373.437,,Surface,18,Image 1,1,336,
336.809,,Surface,18,Image 1,1,337,
432.681,,Surface,18,Image 1,1,338,
138.176,,Surface,18,Image 1,1,339,
265.432,,Surface,18,Image 1,1,340,
109.31,,Surface,18,Image 1,1,341,
158.767,,Surface,18,Image 1,1,342,
139.41,,Surface,18,Image 1,1,343,
300.319,,Surface,18,Image 1,1,344,
97.9946,,Surface,18,Image 1,1,347,
379.687,,Surface,18,Image 1,1,348,
152.716,,Surface,18,Image 1,1,349,
393.727,,Surface,18,Image 1,1,351,
165.04,,Surface,18,Image 1,1,355,
78.337,,Surface,18,Image 1,1,356,
173.623,,Surface,18,Image 1,1,361,
119.026,,Surface,18,Image 1,1,362,
292.344,,Surface,18,Image 1,1,363,
277.276,,Surface,18,Image 1,1,364,
158.167,,Surface,18,Image 1,1,365,
312.223,,Surface,18,Image 1,1,369,
330.722,,Surface,18,Image 1,1,371,
229.146,,Surface,18,Image 1,1,372,
211.062,,Surface,18,Image 1,1,373,
137.943,,Surface,18,Image 1,1,374,
114.292,,Surface,18,Image 1,1,376,
253.141,,Surface,18,Image 1,1,378,
201.672,,Surface,18,Image 1,1,379,
267.508,,Surface,18,Image 1,1,381,
360.932,,Surface,18,Image 1,1,383,
392.289,,Surface,18,Image 1,1,385,
283.643,,Surface,18,Image 1,1,386,
241.413,,Surface,18,Image 1,1,388,
163.617,,Surface,18,Image 1,1,389,
261.49,,Surface,18,Image 1,1,390,
77.6915,,Surface,18,Image 1,1,393,
302.582,,Surface,18,Image 1,1,396,
318.874,,Surface,18,Image 1,1,397,
408.462,,Surface,18,Image 1,1,398,
355.846,,Surface,18,Image 1,1,399,
99.1235,,Surface,18,Image 1,1,400,
374.136,,Surface,18,Image 1,1,401,
215.68,,Surface,18,Image 1,1,402,
89.1471,,Surface,18,Image 1,1,405,
380.737,,Surface,18,Image 1,1,406,
439.808,,Surface,18,Image 1,1,413,
204.524,,Surface,18,Image 1,1,420,
261.504,,Surface,18,Image 1,1,421,
315.37,,Surface,18,Image 1,1,426,
473.831,,Surface,18,Image 1,1,427,
338.224,,Surface,18,Image 1,1,428,
369.648,,Surface,18,Image 1,1,437,
