
Intensity Sum Ch=18 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
9.69188e+07,,Surface,18,Image 1,1,2,
1.09229e+07,,Surface,18,Image 1,1,3,
2.95352e+07,,Surface,18,Image 1,1,4,
6.13767e+06,,Surface,18,Image 1,1,5,
2.88181e+07,,Surface,18,Image 1,1,6,
1.83868e+07,,Surface,18,Image 1,1,7,
2.25204e+07,,Surface,18,Image 1,1,8,
7.14972e+06,,Surface,18,Image 1,1,10,
1.8621e+07,,Surface,18,Image 1,1,11,
1.84513e+07,,Surface,18,Image 1,1,12,
5.92373e+07,,Surface,18,Image 1,1,13,
3.2408e+07,,Surface,18,Image 1,1,18,
6.03571e+06,,Surface,18,Image 1,1,19,
8.82618e+06,,Surface,18,Image 1,1,21,
1.99823e+07,,Surface,18,Image 1,1,22,
1.20253e+07,,Surface,18,Image 1,1,24,
1.92404e+07,,Surface,18,Image 1,1,25,
2.71109e+07,,Surface,18,Image 1,1,26,
1.23996e+07,,Surface,18,Image 1,1,28,
4.87237e+07,,Surface,18,Image 1,1,29,
3.70574e+07,,Surface,18,Image 1,1,35,
1.42553e+07,,Surface,18,Image 1,1,37,
2.55652e+07,,Surface,18,Image 1,1,38,
1.80132e+07,,Surface,18,Image 1,1,40,
2.93797e+07,,Surface,18,Image 1,1,45,
1.68708e+07,,Surface,18,Image 1,1,46,
4.28669e+07,,Surface,18,Image 1,1,49,
5.26025e+06,,Surface,18,Image 1,1,52,
2.85562e+07,,Surface,18,Image 1,1,54,
1.46944e+07,,Surface,18,Image 1,1,58,
6.83132e+07,,Surface,18,Image 1,1,60,
1.11983e+07,,Surface,18,Image 1,1,61,
1.31692e+08,,Surface,18,Image 1,1,63,
2.55701e+07,,Surface,18,Image 1,1,64,
2.36791e+07,,Surface,18,Image 1,1,65,
1.01813e+07,,Surface,18,Image 1,1,67,
2.33531e+07,,Surface,18,Image 1,1,71,
5.74651e+07,,Surface,18,Image 1,1,72,
4.49284e+07,,Surface,18,Image 1,1,73,
6.86728e+06,,Surface,18,Image 1,1,74,
4.26653e+07,,Surface,18,Image 1,1,76,
2.01307e+07,,Surface,18,Image 1,1,77,
9.49971e+07,,Surface,18,Image 1,1,79,
1.30263e+07,,Surface,18,Image 1,1,81,
3.98163e+07,,Surface,18,Image 1,1,82,
7.5988e+07,,Surface,18,Image 1,1,88,
7.6708e+07,,Surface,18,Image 1,1,89,
5.14675e+06,,Surface,18,Image 1,1,91,
1.36309e+07,,Surface,18,Image 1,1,93,
1.12908e+07,,Surface,18,Image 1,1,97,
1.92627e+07,,Surface,18,Image 1,1,100,
1.28426e+07,,Surface,18,Image 1,1,101,
2.32394e+07,,Surface,18,Image 1,1,102,
3.01662e+07,,Surface,18,Image 1,1,103,
3.38079e+07,,Surface,18,Image 1,1,106,
1.2775e+07,,Surface,18,Image 1,1,107,
1.83092e+07,,Surface,18,Image 1,1,110,
2.9508e+07,,Surface,18,Image 1,1,111,
9.1771e+06,,Surface,18,Image 1,1,112,
3.52571e+07,,Surface,18,Image 1,1,113,
1.50906e+07,,Surface,18,Image 1,1,118,
6.93414e+06,,Surface,18,Image 1,1,119,
1.24536e+07,,Surface,18,Image 1,1,120,
1.53537e+07,,Surface,18,Image 1,1,122,
1.8966e+07,,Surface,18,Image 1,1,123,
3.36372e+07,,Surface,18,Image 1,1,124,
3.20635e+07,,Surface,18,Image 1,1,128,
1.06965e+07,,Surface,18,Image 1,1,134,
1.80325e+07,,Surface,18,Image 1,1,136,
1.00969e+07,,Surface,18,Image 1,1,137,
1.6539e+07,,Surface,18,Image 1,1,138,
1.04325e+08,,Surface,18,Image 1,1,139,
2.06368e+07,,Surface,18,Image 1,1,140,
1.56212e+07,,Surface,18,Image 1,1,141,
1.5264e+07,,Surface,18,Image 1,1,143,
1.41657e+07,,Surface,18,Image 1,1,146,
2.8385e+07,,Surface,18,Image 1,1,150,
8.82239e+06,,Surface,18,Image 1,1,154,
4.224e+07,,Surface,18,Image 1,1,155,
3.27811e+06,,Surface,18,Image 1,1,156,
4.29179e+07,,Surface,18,Image 1,1,159,
2.25424e+07,,Surface,18,Image 1,1,161,
5.506e+07,,Surface,18,Image 1,1,164,
1.4798e+07,,Surface,18,Image 1,1,165,
3.17872e+07,,Surface,18,Image 1,1,167,
3.78378e+07,,Surface,18,Image 1,1,171,
2.34931e+07,,Surface,18,Image 1,1,172,
4.51078e+07,,Surface,18,Image 1,1,173,
1.73832e+07,,Surface,18,Image 1,1,174,
1.15444e+07,,Surface,18,Image 1,1,177,
1.80222e+07,,Surface,18,Image 1,1,180,
1.21325e+07,,Surface,18,Image 1,1,181,
1.92074e+07,,Surface,18,Image 1,1,190,
9.43188e+06,,Surface,18,Image 1,1,192,
6.21209e+06,,Surface,18,Image 1,1,193,
1.16687e+07,,Surface,18,Image 1,1,195,
1.9476e+07,,Surface,18,Image 1,1,199,
1.17846e+07,,Surface,18,Image 1,1,200,
2.56071e+07,,Surface,18,Image 1,1,201,
5.48918e+07,,Surface,18,Image 1,1,203,
7.76217e+06,,Surface,18,Image 1,1,208,
3.88076e+07,,Surface,18,Image 1,1,209,
1.17666e+08,,Surface,18,Image 1,1,210,
2.46209e+07,,Surface,18,Image 1,1,213,
2.23579e+07,,Surface,18,Image 1,1,214,
1.52262e+07,,Surface,18,Image 1,1,215,
2.21254e+07,,Surface,18,Image 1,1,216,
8.47016e+06,,Surface,18,Image 1,1,217,
1.41559e+07,,Surface,18,Image 1,1,218,
7.60347e+06,,Surface,18,Image 1,1,219,
1.05493e+07,,Surface,18,Image 1,1,221,
3.87585e+06,,Surface,18,Image 1,1,225,
8.90375e+06,,Surface,18,Image 1,1,227,
5.69914e+07,,Surface,18,Image 1,1,228,
4.87232e+06,,Surface,18,Image 1,1,230,
2.63909e+08,,Surface,18,Image 1,1,233,
8.62112e+07,,Surface,18,Image 1,1,234,
1.03502e+07,,Surface,18,Image 1,1,236,
1.19198e+07,,Surface,18,Image 1,1,237,
5.76282e+06,,Surface,18,Image 1,1,238,
2.05664e+07,,Surface,18,Image 1,1,239,
2.12698e+07,,Surface,18,Image 1,1,241,
1.00599e+07,,Surface,18,Image 1,1,243,
2.95786e+07,,Surface,18,Image 1,1,245,
4.1046e+07,,Surface,18,Image 1,1,249,
6.45379e+07,,Surface,18,Image 1,1,250,
2.40036e+07,,Surface,18,Image 1,1,251,
1.13063e+07,,Surface,18,Image 1,1,253,
2.02821e+07,,Surface,18,Image 1,1,262,
8.2758e+06,,Surface,18,Image 1,1,263,
1.91374e+07,,Surface,18,Image 1,1,265,
2.5309e+07,,Surface,18,Image 1,1,266,
1.67743e+07,,Surface,18,Image 1,1,268,
1.67554e+06,,Surface,18,Image 1,1,269,
1.39433e+07,,Surface,18,Image 1,1,272,
4.14036e+07,,Surface,18,Image 1,1,274,
3.62212e+07,,Surface,18,Image 1,1,277,
5.42233e+07,,Surface,18,Image 1,1,279,
1.90424e+08,,Surface,18,Image 1,1,281,
2.20533e+07,,Surface,18,Image 1,1,282,
5.09267e+06,,Surface,18,Image 1,1,284,
8.32354e+06,,Surface,18,Image 1,1,285,
4.06722e+07,,Surface,18,Image 1,1,291,
1.53895e+08,,Surface,18,Image 1,1,293,
7.19249e+06,,Surface,18,Image 1,1,295,
1.11298e+07,,Surface,18,Image 1,1,297,
1.27239e+07,,Surface,18,Image 1,1,300,
2.45491e+07,,Surface,18,Image 1,1,302,
3.38472e+07,,Surface,18,Image 1,1,303,
3.68813e+07,,Surface,18,Image 1,1,309,
2.87484e+07,,Surface,18,Image 1,1,310,
1.82418e+07,,Surface,18,Image 1,1,316,
5.95567e+07,,Surface,18,Image 1,1,317,
1.67553e+07,,Surface,18,Image 1,1,324,
7.82263e+07,,Surface,18,Image 1,1,325,
2.41559e+07,,Surface,18,Image 1,1,330,
1.6336e+07,,Surface,18,Image 1,1,331,
3.72994e+07,,Surface,18,Image 1,1,334,
2.28697e+07,,Surface,18,Image 1,1,335,
2.61059e+07,,Surface,18,Image 1,1,336,
4.69055e+07,,Surface,18,Image 1,1,337,
4.90472e+07,,Surface,18,Image 1,1,338,
1.24271e+07,,Surface,18,Image 1,1,339,
7.63892e+06,,Surface,18,Image 1,1,340,
5.93698e+06,,Surface,18,Image 1,1,341,
8.91432e+06,,Surface,18,Image 1,1,342,
9.30721e+06,,Surface,18,Image 1,1,343,
1.77685e+07,,Surface,18,Image 1,1,344,
3.65723e+06,,Surface,18,Image 1,1,347,
4.03997e+07,,Surface,18,Image 1,1,348,
6.60207e+06,,Surface,18,Image 1,1,349,
2.86031e+07,,Surface,18,Image 1,1,351,
1.19946e+07,,Surface,18,Image 1,1,355,
2.20543e+06,,Surface,18,Image 1,1,356,
1.06716e+07,,Surface,18,Image 1,1,361,
3.41273e+06,,Surface,18,Image 1,1,362,
1.36645e+07,,Surface,18,Image 1,1,363,
1.73481e+07,,Surface,18,Image 1,1,364,
6.5445e+06,,Surface,18,Image 1,1,365,
2.04125e+07,,Surface,18,Image 1,1,369,
2.97154e+07,,Surface,18,Image 1,1,371,
1.18324e+07,,Surface,18,Image 1,1,372,
1.61367e+07,,Surface,18,Image 1,1,373,
7.80908e+06,,Surface,18,Image 1,1,374,
4.25971e+06,,Surface,18,Image 1,1,376,
2.65186e+07,,Surface,18,Image 1,1,378,
1.51896e+07,,Surface,18,Image 1,1,379,
1.94319e+07,,Surface,18,Image 1,1,381,
5.05204e+07,,Surface,18,Image 1,1,383,
4.13138e+07,,Surface,18,Image 1,1,385,
5.5057e+07,,Surface,18,Image 1,1,386,
1.91352e+07,,Surface,18,Image 1,1,388,
1.21597e+07,,Surface,18,Image 1,1,389,
2.66581e+07,,Surface,18,Image 1,1,390,
2.01947e+06,,Surface,18,Image 1,1,393,
2.72584e+07,,Surface,18,Image 1,1,396,
1.67908e+07,,Surface,18,Image 1,1,397,
4.71265e+07,,Surface,18,Image 1,1,398,
2.34255e+07,,Surface,18,Image 1,1,399,
4.94271e+06,,Surface,18,Image 1,1,400,
3.59471e+07,,Surface,18,Image 1,1,401,
1.82308e+07,,Surface,18,Image 1,1,402,
2.00082e+06,,Surface,18,Image 1,1,405,
4.24464e+07,,Surface,18,Image 1,1,406,
4.1665e+07,,Surface,18,Image 1,1,413,
1.79215e+07,,Surface,18,Image 1,1,420,
3.53799e+07,,Surface,18,Image 1,1,421,
3.3946e+07,,Surface,18,Image 1,1,426,
7.18423e+07,,Surface,18,Image 1,1,427,
2.6823e+07,,Surface,18,Image 1,1,428,
4.66237e+07,,Surface,18,Image 1,1,437,
1.06202e+07,,Surface,18,Image 1,1,442,
2.28017e+07,,Surface,18,Image 1,1,443,
1.58884e+07,,Surface,18,Image 1,1,445,
2.23552e+07,,Surface,18,Image 1,1,447,
9.74399e+06,,Surface,18,Image 1,1,448,
3.52022e+07,,Surface,18,Image 1,1,449,
1.37299e+07,,Surface,18,Image 1,1,453,
6.64526e+06,,Surface,18,Image 1,1,457,
1.4183e+07,,Surface,18,Image 1,1,458,
5.97059e+06,,Surface,18,Image 1,1,459,
4.93226e+06,,Surface,18,Image 1,1,462,
7.93681e+06,,Surface,18,Image 1,1,465,
3.63831e+07,,Surface,18,Image 1,1,469,
4.77036e+07,,Surface,18,Image 1,1,473,
6.41046e+06,,Surface,18,Image 1,1,476,
9.01632e+06,,Surface,18,Image 1,1,478,
9.74256e+06,,Surface,18,Image 1,1,480,
6.89905e+07,,Surface,18,Image 1,1,487,
2.27533e+07,,Surface,18,Image 1,1,488,
1.93501e+07,,Surface,18,Image 1,1,489,
1.92007e+07,,Surface,18,Image 1,1,492,
1.22906e+07,,Surface,18,Image 1,1,494,
6.39213e+06,,Surface,18,Image 1,1,495,
1.08996e+07,,Surface,18,Image 1,1,497,
3.85535e+06,,Surface,18,Image 1,1,498,
1.57326e+07,,Surface,18,Image 1,1,503,
7.05557e+06,,Surface,18,Image 1,1,504,
1.74879e+07,,Surface,18,Image 1,1,506,
8.60452e+06,,Surface,18,Image 1,1,509,
3.06733e+07,,Surface,18,Image 1,1,510,
4.46698e+07,,Surface,18,Image 1,1,511,
7.67414e+06,,Surface,18,Image 1,1,512,
5.23899e+06,,Surface,18,Image 1,1,514,
3.44663e+07,,Surface,18,Image 1,1,515,
6.95142e+06,,Surface,18,Image 1,1,516,
1.7712e+06,,Surface,18,Image 1,1,520,
2.82622e+07,,Surface,18,Image 1,1,521,
1.44032e+07,,Surface,18,Image 1,1,523,
2.17185e+07,,Surface,18,Image 1,1,524,
1.88134e+07,,Surface,18,Image 1,1,525,
1.18624e+07,,Surface,18,Image 1,1,526,
7.10758e+06,,Surface,18,Image 1,1,527,
1.47225e+07,,Surface,18,Image 1,1,528,
2.41706e+07,,Surface,18,Image 1,1,533,
5.78711e+06,,Surface,18,Image 1,1,534,
2.79636e+07,,Surface,18,Image 1,1,535,
4.46268e+06,,Surface,18,Image 1,1,536,
2.47426e+07,,Surface,18,Image 1,1,538,
3.60427e+07,,Surface,18,Image 1,1,539,
9.28597e+06,,Surface,18,Image 1,1,540,
1.50515e+07,,Surface,18,Image 1,1,541,
1.51062e+07,,Surface,18,Image 1,1,542,
4.66459e+06,,Surface,18,Image 1,1,545,
4.52412e+06,,Surface,18,Image 1,1,546,
8.75354e+06,,Surface,18,Image 1,1,548,
1.90706e+07,,Surface,18,Image 1,1,551,
2.36901e+07,,Surface,18,Image 1,1,552,
1.35935e+07,,Surface,18,Image 1,1,554,
1.66932e+07,,Surface,18,Image 1,1,556,
1.73962e+07,,Surface,18,Image 1,1,561,
2.00322e+07,,Surface,18,Image 1,1,562,
1.72373e+07,,Surface,18,Image 1,1,563,
1.07812e+07,,Surface,18,Image 1,1,565,
3.572e+07,,Surface,18,Image 1,1,567,
3.3391e+06,,Surface,18,Image 1,1,568,
1.33859e+07,,Surface,18,Image 1,1,570,
9.66751e+06,,Surface,18,Image 1,1,572,
6.50981e+06,,Surface,18,Image 1,1,573,
3.37007e+06,,Surface,18,Image 1,1,574,
3.12825e+06,,Surface,18,Image 1,1,576,
2.23189e+07,,Surface,18,Image 1,1,580,
8.52978e+06,,Surface,18,Image 1,1,581,
7.49946e+07,,Surface,18,Image 1,1,582,
3.50876e+07,,Surface,18,Image 1,1,583,
1.39672e+07,,Surface,18,Image 1,1,584,
1.93551e+07,,Surface,18,Image 1,1,588,
1.50764e+07,,Surface,18,Image 1,1,590,
7.20384e+06,,Surface,18,Image 1,1,592,
1.04817e+07,,Surface,18,Image 1,1,594,
3.24837e+07,,Surface,18,Image 1,1,596,
1.66418e+07,,Surface,18,Image 1,1,601,
3.01861e+07,,Surface,18,Image 1,1,602,
2.4395e+07,,Surface,18,Image 1,1,603,
2.58534e+07,,Surface,18,Image 1,1,604,
1.58431e+07,,Surface,18,Image 1,1,607,
3.78188e+07,,Surface,18,Image 1,1,608,
4.1459e+07,,Surface,18,Image 1,1,609,
1.97295e+07,,Surface,18,Image 1,1,610,
6.21235e+06,,Surface,18,Image 1,1,611,
3.1827e+07,,Surface,18,Image 1,1,612,
2.25622e+06,,Surface,18,Image 1,1,613,
1.19631e+07,,Surface,18,Image 1,1,614,
6.25467e+06,,Surface,18,Image 1,1,616,
1.87216e+07,,Surface,18,Image 1,1,617,
4.2453e+06,,Surface,18,Image 1,1,619,
1.37181e+07,,Surface,18,Image 1,1,625,
7.78959e+06,,Surface,18,Image 1,1,627,
1.48635e+07,,Surface,18,Image 1,1,628,
1.34001e+07,,Surface,18,Image 1,1,629,
3.35411e+07,,Surface,18,Image 1,1,630,
1.31712e+07,,Surface,18,Image 1,1,631,
1.00644e+07,,Surface,18,Image 1,1,632,
6.36698e+06,,Surface,18,Image 1,1,634,
1.88484e+07,,Surface,18,Image 1,1,636,
7.2912e+06,,Surface,18,Image 1,1,638,
3.69786e+07,,Surface,18,Image 1,1,640,
8.21025e+06,,Surface,18,Image 1,1,641,
1.31837e+07,,Surface,18,Image 1,1,643,
1.15494e+07,,Surface,18,Image 1,1,644,
4.27707e+07,,Surface,18,Image 1,1,646,
1.32668e+07,,Surface,18,Image 1,1,647,
6.98042e+07,,Surface,18,Image 1,1,651,
6.16772e+06,,Surface,18,Image 1,1,652,
338,,Surface,18,Image 1,1,653,
1.05753e+07,,Surface,18,Image 1,1,654,
2.61639e+07,,Surface,18,Image 1,1,658,
5.36218e+06,,Surface,18,Image 1,1,660,
2.44251e+07,,Surface,18,Image 1,1,662,
5.57286e+06,,Surface,18,Image 1,1,663,
2.33401e+07,,Surface,18,Image 1,1,664,
1.70194e+07,,Surface,18,Image 1,1,666,
3.13303e+06,,Surface,18,Image 1,1,669,
1.76028e+06,,Surface,18,Image 1,1,672,
2.1619e+07,,Surface,18,Image 1,1,673,
1.29375e+06,,Surface,18,Image 1,1,674,
1.6358e+07,,Surface,18,Image 1,1,675,
1.31287e+07,,Surface,18,Image 1,1,676,
3.74247e+06,,Surface,18,Image 1,1,678,
1.3555e+06,,Surface,18,Image 1,1,679,
4.19471e+06,,Surface,18,Image 1,1,680,
2.12325e+07,,Surface,18,Image 1,1,682,
4.99974e+07,,Surface,18,Image 1,1,684,
1.02463e+07,,Surface,18,Image 1,1,685,
6.44955e+06,,Surface,18,Image 1,1,686,
9.35268e+06,,Surface,18,Image 1,1,687,
1.62541e+07,,Surface,18,Image 1,1,688,
5.52509e+07,,Surface,18,Image 1,1,690,
1.85835e+07,,Surface,18,Image 1,1,691,
2.61681e+07,,Surface,18,Image 1,1,693,
1.02595e+07,,Surface,18,Image 1,1,694,
1.65436e+07,,Surface,18,Image 1,1,697,
1.21318e+07,,Surface,18,Image 1,1,699,
3.68882e+07,,Surface,18,Image 1,1,700,
1.84119e+07,,Surface,18,Image 1,1,701,
1.64461e+07,,Surface,18,Image 1,1,702,
1.07227e+07,,Surface,18,Image 1,1,703,
3.9448e+06,,Surface,18,Image 1,1,706,
8.05459e+06,,Surface,18,Image 1,1,709,
7.69962e+06,,Surface,18,Image 1,1,710,
1.39493e+07,,Surface,18,Image 1,1,711,
9.84361e+06,,Surface,18,Image 1,1,712,
1.84425e+07,,Surface,18,Image 1,1,713,
1.1029e+07,,Surface,18,Image 1,1,717,
8.89436e+06,,Surface,18,Image 1,1,719,
1.84763e+06,,Surface,18,Image 1,1,720,
1.09176e+07,,Surface,18,Image 1,1,721,
2.94582e+07,,Surface,18,Image 1,1,723,
3.96254e+07,,Surface,18,Image 1,1,725,
4.39052e+07,,Surface,18,Image 1,1,728,
5.94585e+06,,Surface,18,Image 1,1,730,
1.88636e+07,,Surface,18,Image 1,1,731,
1.74248e+07,,Surface,18,Image 1,1,736,
4.79601e+06,,Surface,18,Image 1,1,737,
5.59413e+07,,Surface,18,Image 1,1,739,
1.11864e+07,,Surface,18,Image 1,1,741,
7.71532e+06,,Surface,18,Image 1,1,744,
1.28008e+07,,Surface,18,Image 1,1,747,
3.76682e+07,,Surface,18,Image 1,1,751,
2.97911e+07,,Surface,18,Image 1,1,752,
6.15042e+06,,Surface,18,Image 1,1,753,
2.53052e+07,,Surface,18,Image 1,1,754,
3.06015e+07,,Surface,18,Image 1,1,755,
7.68104e+06,,Surface,18,Image 1,1,757,
3.54952e+06,,Surface,18,Image 1,1,758,
7.48022e+07,,Surface,18,Image 1,1,759,
2.64709e+07,,Surface,18,Image 1,1,761,
1.56444e+07,,Surface,18,Image 1,1,766,
2.14863e+07,,Surface,18,Image 1,1,772,
1.34856e+07,,Surface,18,Image 1,1,773,
9.07032e+06,,Surface,18,Image 1,1,774,
4.41004e+06,,Surface,18,Image 1,1,775,
3.0187e+07,,Surface,18,Image 1,1,776,
3.55448e+07,,Surface,18,Image 1,1,780,
1.48929e+07,,Surface,18,Image 1,1,786,
7.98732e+06,,Surface,18,Image 1,1,787,
3.7395e+07,,Surface,18,Image 1,1,788,
1.75976e+07,,Surface,18,Image 1,1,791,
1.24754e+07,,Surface,18,Image 1,1,794,
4.84791e+07,,Surface,18,Image 1,1,797,
2.28045e+07,,Surface,18,Image 1,1,798,
1.33292e+07,,Surface,18,Image 1,1,799,
3.0771e+07,,Surface,18,Image 1,1,800,
6.50036e+06,,Surface,18,Image 1,1,801,
4.60907e+06,,Surface,18,Image 1,1,802,
2.90728e+06,,Surface,18,Image 1,1,803,
2.30544e+06,,Surface,18,Image 1,1,804,
7.5465e+06,,Surface,18,Image 1,1,805,
1.54602e+07,,Surface,18,Image 1,1,810,
2.6653e+07,,Surface,18,Image 1,1,811,
2.15579e+07,,Surface,18,Image 1,1,812,
3.53075e+06,,Surface,18,Image 1,1,813,
8.21273e+06,,Surface,18,Image 1,1,814,
3.15088e+06,,Surface,18,Image 1,1,816,
2.93497e+07,,Surface,18,Image 1,1,818,
1.75503e+07,,Surface,18,Image 1,1,819,
7.13821e+06,,Surface,18,Image 1,1,822,
6.49705e+06,,Surface,18,Image 1,1,823,
2.20806e+07,,Surface,18,Image 1,1,824,
1.85746e+07,,Surface,18,Image 1,1,825,
1.81308e+07,,Surface,18,Image 1,1,826,
8.93001e+06,,Surface,18,Image 1,1,827,
9.91062e+06,,Surface,18,Image 1,1,828,
2.61962e+07,,Surface,18,Image 1,1,831,
2.23498e+07,,Surface,18,Image 1,1,834,
7.1864e+06,,Surface,18,Image 1,1,835,
