
Intensity Sum of Square Ch=33 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,ID,
5.28693e+12,,Surface,33,Image 1,1,2,
1.35742e+12,,Surface,33,Image 1,1,3,
2.87835e+12,,Surface,33,Image 1,1,4,
1.12113e+12,,Surface,33,Image 1,1,5,
4.50989e+12,,Surface,33,Image 1,1,6,
1.72785e+12,,Surface,33,Image 1,1,7,
6.18109e+11,,Surface,33,Image 1,1,8,
1.30321e+12,,Surface,33,Image 1,1,10,
2.0508e+12,,Surface,33,Image 1,1,11,
4.69865e+12,,Surface,33,Image 1,1,12,
6.35577e+12,,Surface,33,Image 1,1,13,
5.23504e+12,,Surface,33,Image 1,1,18,
1.27103e+12,,Surface,33,Image 1,1,19,
1.42083e+12,,Surface,33,Image 1,1,21,
1.26652e+12,,Surface,33,Image 1,1,22,
1.01612e+12,,Surface,33,Image 1,1,24,
6.61219e+11,,Surface,33,Image 1,1,25,
2.52158e+12,,Surface,33,Image 1,1,26,
3.19007e+12,,Surface,33,Image 1,1,28,
2.00998e+12,,Surface,33,Image 1,1,29,
4.17646e+12,,Surface,33,Image 1,1,35,
2.67346e+12,,Surface,33,Image 1,1,37,
3.41553e+12,,Surface,33,Image 1,1,38,
1.65359e+12,,Surface,33,Image 1,1,40,
4.42257e+12,,Surface,33,Image 1,1,45,
1.49346e+12,,Surface,33,Image 1,1,46,
4.29052e+12,,Surface,33,Image 1,1,49,
1.24869e+12,,Surface,33,Image 1,1,52,
3.8811e+12,,Surface,33,Image 1,1,54,
1.59878e+12,,Surface,33,Image 1,1,58,
2.51568e+12,,Surface,33,Image 1,1,60,
3.70207e+12,,Surface,33,Image 1,1,61,
3.54994e+11,,Surface,33,Image 1,1,63,
3.87965e+12,,Surface,33,Image 1,1,64,
6.23125e+12,,Surface,33,Image 1,1,65,
1.47375e+12,,Surface,33,Image 1,1,67,
6.79773e+12,,Surface,33,Image 1,1,71,
1.0676e+12,,Surface,33,Image 1,1,72,
3.28468e+12,,Surface,33,Image 1,1,73,
9.35858e+11,,Surface,33,Image 1,1,74,
3.51505e+12,,Surface,33,Image 1,1,76,
4.03708e+12,,Surface,33,Image 1,1,77,
2.64489e+12,,Surface,33,Image 1,1,79,
