
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
598.042,693.777,13.0879,µm,Surface,Position,1,2,
658.812,622.254,18.8301,µm,Surface,Position,1,3,
597.015,687.639,20.3225,µm,Surface,Position,1,4,
698.318,577.939,28.5624,µm,Surface,Position,1,5,
613.039,674.108,17.8666,µm,Surface,Position,1,6,
709.466,566.597,27.2179,µm,Surface,Position,1,7,
705.21,572.339,28.0022,µm,Surface,Position,1,8,
581.757,698.133,24.6977,µm,Surface,Position,1,10,
636.204,645.914,25.9448,µm,Surface,Position,1,11,
583.483,708.469,16.2375,µm,Surface,Position,1,12,
662.744,630.279,15.3747,µm,Surface,Position,1,13,
690.887,605.083,13.369,µm,Surface,Position,1,18,
616.764,662.136,28.2602,µm,Surface,Position,1,19,
680.804,601.675,28.5409,µm,Surface,Position,1,21,
656.408,626.46,24.3964,µm,Surface,Position,1,22,
703.482,582.189,25.1313,µm,Surface,Position,1,24,
610.775,670.777,27.9905,µm,Surface,Position,1,25,
641.941,654.745,16.1139,µm,Surface,Position,1,26,
626.359,663.929,28.0217,µm,Surface,Position,1,28,
694.464,602.582,19.0981,µm,Surface,Position,1,29,
683.575,614.402,18.9719,µm,Surface,Position,1,35,
688.245,612.253,15.8467,µm,Surface,Position,1,37,
601.929,700.45,20.6896,µm,Surface,Position,1,38,
702.67,601.93,13.1499,µm,Surface,Position,1,40,
674.213,630.319,16.2848,µm,Surface,Position,1,45,
659.41,635.119,25.059,µm,Surface,Position,1,46,
620.267,691.205,13.1286,µm,Surface,Position,1,49,
710.866,585.623,26.6854,µm,Surface,Position,1,52,
643.363,657.387,23.1277,µm,Surface,Position,1,54,
702.345,604.765,21.8723,µm,Surface,Position,1,58,
663.435,644.294,21.6201,µm,Surface,Position,1,60,
626.692,686.749,18.0395,µm,Surface,Position,1,61,
611.554,708.479,15.7489,µm,Surface,Position,1,63,
643.187,668.557,18.918,µm,Surface,Position,1,64,
656.494,658.502,15.5315,µm,Surface,Position,1,65,
655.928,645.342,28.0813,µm,Surface,Position,1,67,
635.614,683.799,18.7938,µm,Surface,Position,1,71,
662.622,641.123,27.8832,µm,Surface,Position,1,72,
664.157,649.697,20.486,µm,Surface,Position,1,73,
652.167,653.304,27.6364,µm,Surface,Position,1,74,
655.181,668.939,13.3312,µm,Surface,Position,1,76,
691.624,624.844,21.8248,µm,Surface,Position,1,77,
675.839,642.46,19.0094,µm,Surface,Position,1,79,
619.423,689.665,26.2425,µm,Surface,Position,1,81,
705.7,622.927,14.4821,µm,Surface,Position,1,82,
686.178,643.219,12.8843,µm,Surface,Position,1,88,
711.877,606.137,19.1463,µm,Surface,Position,1,89,
632.79,689.874,21.1058,µm,Surface,Position,1,91,
711.571,607.77,28.1989,µm,Surface,Position,1,93,
655.451,675.024,20.5252,µm,Surface,Position,1,97,
680.494,654.226,16.35,µm,Surface,Position,1,100,
636.094,701.45,16.8851,µm,Surface,Position,1,101,
623.254,702.269,26.3545,µm,Surface,Position,1,102,
652.755,684.443,17.0893,µm,Surface,Position,1,103,
658.542,681.612,13.5713,µm,Surface,Position,1,106,
685.689,650.319,18.9588,µm,Surface,Position,1,107,
702.44,639.012,13.8769,µm,Surface,Position,1,110,
695.375,648.257,12.762,µm,Surface,Position,1,111,
621.341,709.476,25.5742,µm,Surface,Position,1,112,
709.666,636.703,16.2403,µm,Surface,Position,1,113,
709.628,626.563,24.3442,µm,Surface,Position,1,118,
691.953,654.233,15.2739,µm,Surface,Position,1,119,
690.09,648.204,24.8987,µm,Surface,Position,1,120,
697.618,646.598,19.0301,µm,Surface,Position,1,122,
660.245,685.207,20.2834,µm,Surface,Position,1,123,
671.355,671.45,21.1656,µm,Surface,Position,1,124,
668.628,684.315,15.2729,µm,Surface,Position,1,128,
665.096,681.365,23.382,µm,Surface,Position,1,134,
703.188,653.824,14.7809,µm,Surface,Position,1,136,
691.866,661.484,19.6378,µm,Surface,Position,1,137,
698.769,659.269,14.5571,µm,Surface,Position,1,138,
651.85,708.628,14.053,µm,Surface,Position,1,139,
675.015,684.296,14.5846,µm,Surface,Position,1,140,
701.919,645.422,27.4087,µm,Surface,Position,1,141,
673.83,682.07,22.175,µm,Surface,Position,1,143,
695.382,663.779,25.9871,µm,Surface,Position,1,146,
663.992,695.245,23.9146,µm,Surface,Position,1,150,
678.992,680.248,26.4696,µm,Surface,Position,1,154,
673.82,692.285,20.2417,µm,Surface,Position,1,155,
709.12,648.237,28.6813,µm,Surface,Position,1,156,
698.256,679.201,17.5154,µm,Surface,Position,1,159,
667.615,702.261,20.4205,µm,Surface,Position,1,161,
662.093,711.2,19.3657,µm,Surface,Position,1,164,
665.335,704.877,17.6276,µm,Surface,Position,1,165,
685.784,695.915,21.0114,µm,Surface,Position,1,167,
683.97,713.173,12.8343,µm,Surface,Position,1,171,
703.223,693.887,19.9097,µm,Surface,Position,1,172,
692.316,705.903,19.0829,µm,Surface,Position,1,173,
685.437,705.577,26.8087,µm,Surface,Position,1,174,
697.899,700.47,22.842,µm,Surface,Position,1,177,
705.142,703.445,19.0589,µm,Surface,Position,1,180,
688.873,710.8,27.3611,µm,Surface,Position,1,181,
548.09,690.131,13.0569,µm,Surface,Position,1,190,
675.465,558.536,21.2142,µm,Surface,Position,1,192,
654.373,572.587,27.3428,µm,Surface,Position,1,193,
689.909,535.147,28.7407,µm,Surface,Position,1,195,
573.718,666.91,15.5155,µm,Surface,Position,1,199,
601.981,626.72,27.7649,µm,Surface,Position,1,200,
589.591,647.084,24.8169,µm,Surface,Position,1,201,
594.154,649.378,15.0109,µm,Surface,Position,1,203,
559.455,675.188,22.8192,µm,Surface,Position,1,208,
663.331,578.926,17.8298,µm,Surface,Position,1,209,
576.323,671.721,18.6684,µm,Surface,Position,1,210,
599.202,639.455,26.8835,µm,Surface,Position,1,213,
704.797,538.378,18.2505,µm,Surface,Position,1,214,
587.58,653.387,19.1317,µm,Surface,Position,1,215,
701.118,543.21,19.1048,µm,Surface,Position,1,216,
531.817,702.092,26.0082,µm,Surface,Position,1,217,
567.373,680.48,17.8871,µm,Surface,Position,1,218,
650.633,581.994,25.8381,µm,Surface,Position,1,219,
596.194,643.98,22.462,µm,Surface,Position,1,221,
677.852,557.548,27.7838,µm,Surface,Position,1,225,
541.933,701.604,19.0331,µm,Surface,Position,1,227,
547.803,705.438,14.4117,µm,Surface,Position,1,228,
649.074,585.194,28.4744,µm,Surface,Position,1,230,
554.553,701.934,13.6721,µm,Surface,Position,1,233,
607.12,649.908,14.7741,µm,Surface,Position,1,234,
562.614,684.463,24.7583,µm,Surface,Position,1,236,
672.878,570.732,27.1741,µm,Surface,Position,1,237,
551.002,695.442,21.869,µm,Surface,Position,1,238,
624.881,620.563,23.6598,µm,Surface,Position,1,239,
706.09,552.351,16.4954,µm,Surface,Position,1,241,
560.515,695.571,12.864,µm,Surface,Position,1,243,
619.342,627.174,23.6759,µm,Surface,Position,1,245,
638.621,621.99,12.9909,µm,Surface,Position,1,249,
624.56,634.87,16.4342,µm,Surface,Position,1,250,
644.904,605.884,24.734,µm,Surface,Position,1,251,
617.466,640.051,16.0686,µm,Surface,Position,1,253,
608.769,647.987,24.2282,µm,Surface,Position,1,262,
598.961,651.233,26.0154,µm,Surface,Position,1,263,
569.029,695.354,19.5293,µm,Surface,Position,1,265,
615.683,641.177,26.8457,µm,Surface,Position,1,266,
657.792,600.216,21.7101,µm,Surface,Position,1,268,
552.456,697.621,26.044,µm,Surface,Position,1,269,
668.087,589.983,22.9689,µm,Surface,Position,1,272,
651.273,609.69,20.3116,µm,Surface,Position,1,274,
616.008,652.843,13.3787,µm,Surface,Position,1,277,
606.55,661.723,15.2864,µm,Surface,Position,1,279,
