
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,ID,
598.042,µm,Surface,Position,1,2,
658.812,µm,Surface,Position,1,3,
597.015,µm,Surface,Position,1,4,
698.318,µm,Surface,Position,1,5,
613.039,µm,Surface,Position,1,6,
709.466,µm,Surface,Position,1,7,
705.21,µm,Surface,Position,1,8,
581.757,µm,Surface,Position,1,10,
636.204,µm,Surface,Position,1,11,
583.483,µm,Surface,Position,1,12,
662.744,µm,Surface,Position,1,13,
690.887,µm,Surface,Position,1,18,
616.764,µm,Surface,Position,1,19,
680.804,µm,Surface,Position,1,21,
656.408,µm,Surface,Position,1,22,
703.482,µm,Surface,Position,1,24,
610.775,µm,Surface,Position,1,25,
641.941,µm,Surface,Position,1,26,
626.359,µm,Surface,Position,1,28,
694.464,µm,Surface,Position,1,29,
683.575,µm,Surface,Position,1,35,
688.245,µm,Surface,Position,1,37,
601.929,µm,Surface,Position,1,38,
702.67,µm,Surface,Position,1,40,
674.213,µm,Surface,Position,1,45,
659.41,µm,Surface,Position,1,46,
620.267,µm,Surface,Position,1,49,
710.866,µm,Surface,Position,1,52,
643.363,µm,Surface,Position,1,54,
702.345,µm,Surface,Position,1,58,
663.435,µm,Surface,Position,1,60,
626.692,µm,Surface,Position,1,61,
611.554,µm,Surface,Position,1,63,
643.187,µm,Surface,Position,1,64,
656.494,µm,Surface,Position,1,65,
655.928,µm,Surface,Position,1,67,
635.614,µm,Surface,Position,1,71,
662.622,µm,Surface,Position,1,72,
664.157,µm,Surface,Position,1,73,
652.167,µm,Surface,Position,1,74,
655.181,µm,Surface,Position,1,76,
691.624,µm,Surface,Position,1,77,
675.839,µm,Surface,Position,1,79,
619.423,µm,Surface,Position,1,81,
705.7,µm,Surface,Position,1,82,
686.178,µm,Surface,Position,1,88,
711.877,µm,Surface,Position,1,89,
632.79,µm,Surface,Position,1,91,
711.571,µm,Surface,Position,1,93,
655.451,µm,Surface,Position,1,97,
680.494,µm,Surface,Position,1,100,
636.094,µm,Surface,Position,1,101,
623.254,µm,Surface,Position,1,102,
