
Position Y
 ==================== 
Position Y,Unit,Category,Collection,Time,ID,
693.777,µm,Surface,Position,1,2,
622.254,µm,Surface,Position,1,3,
687.639,µm,Surface,Position,1,4,
577.939,µm,Surface,Position,1,5,
674.108,µm,Surface,Position,1,6,
566.597,µm,Surface,Position,1,7,
572.339,µm,Surface,Position,1,8,
698.133,µm,Surface,Position,1,10,
645.914,µm,Surface,Position,1,11,
708.469,µm,Surface,Position,1,12,
630.279,µm,Surface,Position,1,13,
605.083,µm,Surface,Position,1,18,
662.136,µm,Surface,Position,1,19,
601.675,µm,Surface,Position,1,21,
626.46,µm,Surface,Position,1,22,
582.189,µm,Surface,Position,1,24,
670.777,µm,Surface,Position,1,25,
654.745,µm,Surface,Position,1,26,
663.929,µm,Surface,Position,1,28,
602.582,µm,Surface,Position,1,29,
614.402,µm,Surface,Position,1,35,
612.253,µm,Surface,Position,1,37,
700.45,µm,Surface,Position,1,38,
601.93,µm,Surface,Position,1,40,
630.319,µm,Surface,Position,1,45,
635.119,µm,Surface,Position,1,46,
691.205,µm,Surface,Position,1,49,
585.623,µm,Surface,Position,1,52,
657.387,µm,Surface,Position,1,54,
604.765,µm,Surface,Position,1,58,
644.294,µm,Surface,Position,1,60,
686.749,µm,Surface,Position,1,61,
708.479,µm,Surface,Position,1,63,
668.557,µm,Surface,Position,1,64,
658.502,µm,Surface,Position,1,65,
645.342,µm,Surface,Position,1,67,
683.799,µm,Surface,Position,1,71,
641.123,µm,Surface,Position,1,72,
649.697,µm,Surface,Position,1,73,
653.304,µm,Surface,Position,1,74,
668.939,µm,Surface,Position,1,76,
624.844,µm,Surface,Position,1,77,
642.46,µm,Surface,Position,1,79,
689.665,µm,Surface,Position,1,81,
622.927,µm,Surface,Position,1,82,
643.219,µm,Surface,Position,1,88,
606.137,µm,Surface,Position,1,89,
689.874,µm,Surface,Position,1,91,
607.77,µm,Surface,Position,1,93,
675.024,µm,Surface,Position,1,97,
654.226,µm,Surface,Position,1,100,
701.45,µm,Surface,Position,1,101,
702.269,µm,Surface,Position,1,102,
684.443,µm,Surface,Position,1,103,
681.612,µm,Surface,Position,1,106,
650.319,µm,Surface,Position,1,107,
639.012,µm,Surface,Position,1,110,
648.257,µm,Surface,Position,1,111,
709.476,µm,Surface,Position,1,112,
636.703,µm,Surface,Position,1,113,
626.563,µm,Surface,Position,1,118,
654.233,µm,Surface,Position,1,119,
648.204,µm,Surface,Position,1,120,
646.598,µm,Surface,Position,1,122,
685.207,µm,Surface,Position,1,123,
671.45,µm,Surface,Position,1,124,
684.315,µm,Surface,Position,1,128,
681.365,µm,Surface,Position,1,134,
653.824,µm,Surface,Position,1,136,
661.484,µm,Surface,Position,1,137,
659.269,µm,Surface,Position,1,138,
708.628,µm,Surface,Position,1,139,
684.296,µm,Surface,Position,1,140,
645.422,µm,Surface,Position,1,141,
682.07,µm,Surface,Position,1,143,
663.779,µm,Surface,Position,1,146,
695.245,µm,Surface,Position,1,150,
680.248,µm,Surface,Position,1,154,
692.285,µm,Surface,Position,1,155,
648.237,µm,Surface,Position,1,156,
679.201,µm,Surface,Position,1,159,
702.261,µm,Surface,Position,1,161,
711.2,µm,Surface,Position,1,164,
704.877,µm,Surface,Position,1,165,
695.915,µm,Surface,Position,1,167,
713.173,µm,Surface,Position,1,171,
693.887,µm,Surface,Position,1,172,
705.903,µm,Surface,Position,1,173,
705.577,µm,Surface,Position,1,174,
700.47,µm,Surface,Position,1,177,
703.445,µm,Surface,Position,1,180,
710.8,µm,Surface,Position,1,181,
690.131,µm,Surface,Position,1,190,
558.536,µm,Surface,Position,1,192,
572.587,µm,Surface,Position,1,193,
535.147,µm,Surface,Position,1,195,
666.91,µm,Surface,Position,1,199,
626.72,µm,Surface,Position,1,200,
647.084,µm,Surface,Position,1,201,
649.378,µm,Surface,Position,1,203,
675.188,µm,Surface,Position,1,208,
578.926,µm,Surface,Position,1,209,
671.721,µm,Surface,Position,1,210,
639.455,µm,Surface,Position,1,213,
