
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,ID,
13.0879,µm,Surface,Position,1,2,
18.8301,µm,Surface,Position,1,3,
20.3225,µm,Surface,Position,1,4,
28.5624,µm,Surface,Position,1,5,
17.8666,µm,Surface,Position,1,6,
27.2179,µm,Surface,Position,1,7,
28.0022,µm,Surface,Position,1,8,
24.6977,µm,Surface,Position,1,10,
25.9448,µm,Surface,Position,1,11,
16.2375,µm,Surface,Position,1,12,
15.3747,µm,Surface,Position,1,13,
13.369,µm,Surface,Position,1,18,
28.2602,µm,Surface,Position,1,19,
28.5409,µm,Surface,Position,1,21,
24.3964,µm,Surface,Position,1,22,
25.1313,µm,Surface,Position,1,24,
27.9905,µm,Surface,Position,1,25,
16.1139,µm,Surface,Position,1,26,
28.0217,µm,Surface,Position,1,28,
19.0981,µm,Surface,Position,1,29,
18.9719,µm,Surface,Position,1,35,
15.8467,µm,Surface,Position,1,37,
20.6896,µm,Surface,Position,1,38,
13.1499,µm,Surface,Position,1,40,
16.2848,µm,Surface,Position,1,45,
25.059,µm,Surface,Position,1,46,
13.1286,µm,Surface,Position,1,49,
26.6854,µm,Surface,Position,1,52,
23.1277,µm,Surface,Position,1,54,
21.8723,µm,Surface,Position,1,58,
21.6201,µm,Surface,Position,1,60,
18.0395,µm,Surface,Position,1,61,
15.7489,µm,Surface,Position,1,63,
18.918,µm,Surface,Position,1,64,
15.5315,µm,Surface,Position,1,65,
28.0813,µm,Surface,Position,1,67,
18.7938,µm,Surface,Position,1,71,
27.8832,µm,Surface,Position,1,72,
20.486,µm,Surface,Position,1,73,
27.6364,µm,Surface,Position,1,74,
13.3312,µm,Surface,Position,1,76,
21.8248,µm,Surface,Position,1,77,
19.0094,µm,Surface,Position,1,79,
26.2425,µm,Surface,Position,1,81,
14.4821,µm,Surface,Position,1,82,
12.8843,µm,Surface,Position,1,88,
19.1463,µm,Surface,Position,1,89,
21.1058,µm,Surface,Position,1,91,
28.1989,µm,Surface,Position,1,93,
20.5252,µm,Surface,Position,1,97,
16.35,µm,Surface,Position,1,100,
16.8851,µm,Surface,Position,1,101,
26.3545,µm,Surface,Position,1,102,
17.0893,µm,Surface,Position,1,103,
13.5713,µm,Surface,Position,1,106,
18.9588,µm,Surface,Position,1,107,
13.8769,µm,Surface,Position,1,110,
12.762,µm,Surface,Position,1,111,
25.5742,µm,Surface,Position,1,112,
16.2403,µm,Surface,Position,1,113,
24.3442,µm,Surface,Position,1,118,
15.2739,µm,Surface,Position,1,119,
24.8987,µm,Surface,Position,1,120,
19.0301,µm,Surface,Position,1,122,
20.2834,µm,Surface,Position,1,123,
21.1656,µm,Surface,Position,1,124,
15.2729,µm,Surface,Position,1,128,
23.382,µm,Surface,Position,1,134,
14.7809,µm,Surface,Position,1,136,
19.6378,µm,Surface,Position,1,137,
14.5571,µm,Surface,Position,1,138,
14.053,µm,Surface,Position,1,139,
14.5846,µm,Surface,Position,1,140,
27.4087,µm,Surface,Position,1,141,
22.175,µm,Surface,Position,1,143,
25.9871,µm,Surface,Position,1,146,
23.9146,µm,Surface,Position,1,150,
26.4696,µm,Surface,Position,1,154,
20.2417,µm,Surface,Position,1,155,
28.6813,µm,Surface,Position,1,156,
17.5154,µm,Surface,Position,1,159,
20.4205,µm,Surface,Position,1,161,
19.3657,µm,Surface,Position,1,164,
17.6276,µm,Surface,Position,1,165,
21.0114,µm,Surface,Position,1,167,
12.8343,µm,Surface,Position,1,171,
19.9097,µm,Surface,Position,1,172,
19.0829,µm,Surface,Position,1,173,
26.8087,µm,Surface,Position,1,174,
22.842,µm,Surface,Position,1,177,
19.0589,µm,Surface,Position,1,180,
27.3611,µm,Surface,Position,1,181,
13.0569,µm,Surface,Position,1,190,
21.2142,µm,Surface,Position,1,192,
27.3428,µm,Surface,Position,1,193,
28.7407,µm,Surface,Position,1,195,
15.5155,µm,Surface,Position,1,199,
27.7649,µm,Surface,Position,1,200,
24.8169,µm,Surface,Position,1,201,
15.0109,µm,Surface,Position,1,203,
22.8192,µm,Surface,Position,1,208,
17.8298,µm,Surface,Position,1,209,
18.6684,µm,Surface,Position,1,210,
26.8835,µm,Surface,Position,1,213,
18.2505,µm,Surface,Position,1,214,
19.1317,µm,Surface,Position,1,215,
19.1048,µm,Surface,Position,1,216,
26.0082,µm,Surface,Position,1,217,
17.8871,µm,Surface,Position,1,218,
25.8381,µm,Surface,Position,1,219,
22.462,µm,Surface,Position,1,221,
27.7838,µm,Surface,Position,1,225,
19.0331,µm,Surface,Position,1,227,
14.4117,µm,Surface,Position,1,228,
28.4744,µm,Surface,Position,1,230,
13.6721,µm,Surface,Position,1,233,
14.7741,µm,Surface,Position,1,234,
24.7583,µm,Surface,Position,1,236,
27.1741,µm,Surface,Position,1,237,
21.869,µm,Surface,Position,1,238,
23.6598,µm,Surface,Position,1,239,
16.4954,µm,Surface,Position,1,241,
12.864,µm,Surface,Position,1,243,
23.6759,µm,Surface,Position,1,245,
12.9909,µm,Surface,Position,1,249,
16.4342,µm,Surface,Position,1,250,
24.734,µm,Surface,Position,1,251,
16.0686,µm,Surface,Position,1,253,
24.2282,µm,Surface,Position,1,262,
26.0154,µm,Surface,Position,1,263,
19.5293,µm,Surface,Position,1,265,
26.8457,µm,Surface,Position,1,266,
21.7101,µm,Surface,Position,1,268,
26.044,µm,Surface,Position,1,269,
22.9689,µm,Surface,Position,1,272,
20.3116,µm,Surface,Position,1,274,
13.3787,µm,Surface,Position,1,277,
15.2864,µm,Surface,Position,1,279,
25.259,µm,Surface,Position,1,281,
14.6812,µm,Surface,Position,1,282,
25.4965,µm,Surface,Position,1,284,
26.2926,µm,Surface,Position,1,285,
13.2346,µm,Surface,Position,1,291,
14.1434,µm,Surface,Position,1,293,
24.7,µm,Surface,Position,1,295,
17.6985,µm,Surface,Position,1,297,
22.6049,µm,Surface,Position,1,300,
22.8009,µm,Surface,Position,1,302,
13.9836,µm,Surface,Position,1,303,
23.087,µm,Surface,Position,1,309,
26.75,µm,Surface,Position,1,310,
19.1316,µm,Surface,Position,1,316,
14.3709,µm,Surface,Position,1,317,
15.253,µm,Surface,Position,1,324,
13.335,µm,Surface,Position,1,325,
15.545,µm,Surface,Position,1,330,
15.2942,µm,Surface,Position,1,331,
13.9359,µm,Surface,Position,1,334,
16.3215,µm,Surface,Position,1,335,
16.898,µm,Surface,Position,1,336,
14.3863,µm,Surface,Position,1,337,
13.1184,µm,Surface,Position,1,338,
22.4991,µm,Surface,Position,1,339,
14.2679,µm,Surface,Position,1,340,
28.5847,µm,Surface,Position,1,341,
28.6378,µm,Surface,Position,1,342,
24.5627,µm,Surface,Position,1,343,
12.9438,µm,Surface,Position,1,344,
28.2974,µm,Surface,Position,1,347,
14.4705,µm,Surface,Position,1,348,
25.2531,µm,Surface,Position,1,349,
18.9864,µm,Surface,Position,1,351,
18.7942,µm,Surface,Position,1,355,
25.5428,µm,Surface,Position,1,356,
26.0149,µm,Surface,Position,1,361,
28.6895,µm,Surface,Position,1,362,
19.6877,µm,Surface,Position,1,363,
13.4638,µm,Surface,Position,1,364,
18.6882,µm,Surface,Position,1,365,
21.2008,µm,Surface,Position,1,369,
13.1849,µm,Surface,Position,1,371,
27.0404,µm,Surface,Position,1,372,
23.1356,µm,Surface,Position,1,373,
18.1027,µm,Surface,Position,1,374,
27.0055,µm,Surface,Position,1,376,
16.3857,µm,Surface,Position,1,378,
22.047,µm,Surface,Position,1,379,
18.0703,µm,Surface,Position,1,381,
15.927,µm,Surface,Position,1,383,
12.9835,µm,Surface,Position,1,385,
22.5083,µm,Surface,Position,1,386,
15.4558,µm,Surface,Position,1,388,
21.462,µm,Surface,Position,1,389,
13.4129,µm,Surface,Position,1,390,
26.8708,µm,Surface,Position,1,393,
13.5929,µm,Surface,Position,1,396,
12.7707,µm,Surface,Position,1,397,
22.1683,µm,Surface,Position,1,398,
14.559,µm,Surface,Position,1,399,
26.0699,µm,Surface,Position,1,400,
14.6925,µm,Surface,Position,1,401,
22.849,µm,Surface,Position,1,402,
25.6953,µm,Surface,Position,1,405,
13.9128,µm,Surface,Position,1,406,
15.4133,µm,Surface,Position,1,413,
17.1747,µm,Surface,Position,1,420,
26.1873,µm,Surface,Position,1,421,
13.3882,µm,Surface,Position,1,426,
19.9098,µm,Surface,Position,1,427,
19.5985,µm,Surface,Position,1,428,
28.0354,µm,Surface,Position,1,437,
21.2494,µm,Surface,Position,1,442,
19.845,µm,Surface,Position,1,443,
23.494,µm,Surface,Position,1,445,
17.2222,µm,Surface,Position,1,447,
16.7834,µm,Surface,Position,1,448,
14.2681,µm,Surface,Position,1,449,
19.0355,µm,Surface,Position,1,453,
26.441,µm,Surface,Position,1,457,
12.9203,µm,Surface,Position,1,458,
26.5985,µm,Surface,Position,1,459,
20.785,µm,Surface,Position,1,462,
25.0452,µm,Surface,Position,1,465,
18.0523,µm,Surface,Position,1,469,
13.002,µm,Surface,Position,1,473,
26.2322,µm,Surface,Position,1,476,
19.9321,µm,Surface,Position,1,478,
20.7363,µm,Surface,Position,1,480,
17.583,µm,Surface,Position,1,487,
12.7736,µm,Surface,Position,1,488,
17.725,µm,Surface,Position,1,489,
13.1596,µm,Surface,Position,1,492,
19.534,µm,Surface,Position,1,494,
22.9343,µm,Surface,Position,1,495,
26.2479,µm,Surface,Position,1,497,
24.5921,µm,Surface,Position,1,498,
26.2218,µm,Surface,Position,1,503,
28.6701,µm,Surface,Position,1,504,
14.2516,µm,Surface,Position,1,506,
28.2633,µm,Surface,Position,1,509,
19.8228,µm,Surface,Position,1,510,
17.8943,µm,Surface,Position,1,511,
16.9646,µm,Surface,Position,1,512,
20.9586,µm,Surface,Position,1,514,
13.0145,µm,Surface,Position,1,515,
27.5981,µm,Surface,Position,1,516,
28.041,µm,Surface,Position,1,520,
15.5748,µm,Surface,Position,1,521,
18.2355,µm,Surface,Position,1,523,
16.5966,µm,Surface,Position,1,524,
26.0164,µm,Surface,Position,1,525,
18.6408,µm,Surface,Position,1,526,
26.8988,µm,Surface,Position,1,527,
20.5426,µm,Surface,Position,1,528,
19.4876,µm,Surface,Position,1,533,
22.1718,µm,Surface,Position,1,534,
12.8249,µm,Surface,Position,1,535,
25.1872,µm,Surface,Position,1,536,
12.7112,µm,Surface,Position,1,538,
19.8655,µm,Surface,Position,1,539,
23.6472,µm,Surface,Position,1,540,
17.404,µm,Surface,Position,1,541,
24.1767,µm,Surface,Position,1,542,
25.5522,µm,Surface,Position,1,545,
24.4219,µm,Surface,Position,1,546,
27.7685,µm,Surface,Position,1,548,
25.0332,µm,Surface,Position,1,551,
15.8426,µm,Surface,Position,1,552,
23.2796,µm,Surface,Position,1,554,
17.4561,µm,Surface,Position,1,556,
19.8288,µm,Surface,Position,1,561,
20.6455,µm,Surface,Position,1,562,
17.6851,µm,Surface,Position,1,563,
25.1496,µm,Surface,Position,1,565,
17.7234,µm,Surface,Position,1,567,
28.3679,µm,Surface,Position,1,568,
24.4646,µm,Surface,Position,1,570,
19.126,µm,Surface,Position,1,572,
27.2532,µm,Surface,Position,1,573,
25.8,µm,Surface,Position,1,574,
20.2679,µm,Surface,Position,1,576,
13.2433,µm,Surface,Position,1,580,
20.2418,µm,Surface,Position,1,581,
19.1348,µm,Surface,Position,1,582,
17.5798,µm,Surface,Position,1,583,
19.0185,µm,Surface,Position,1,584,
20.2505,µm,Surface,Position,1,588,
19.0329,µm,Surface,Position,1,590,
25.9404,µm,Surface,Position,1,592,
22.5581,µm,Surface,Position,1,594,
18.8687,µm,Surface,Position,1,596,
13.0071,µm,Surface,Position,1,601,
13.1664,µm,Surface,Position,1,602,
19.0241,µm,Surface,Position,1,603,
14.0634,µm,Surface,Position,1,604,
14.4091,µm,Surface,Position,1,607,
13.6483,µm,Surface,Position,1,608,
14.122,µm,Surface,Position,1,609,
21.2073,µm,Surface,Position,1,610,
23.1879,µm,Surface,Position,1,611,
16.8912,µm,Surface,Position,1,612,
25.3173,µm,Surface,Position,1,613,
20.8999,µm,Surface,Position,1,614,
28.7274,µm,Surface,Position,1,616,
14.623,µm,Surface,Position,1,617,
25.1923,µm,Surface,Position,1,619,
23.1898,µm,Surface,Position,1,625,
25.9778,µm,Surface,Position,1,627,
21.0965,µm,Surface,Position,1,628,
22.6576,µm,Surface,Position,1,629,
12.9173,µm,Surface,Position,1,630,
13.3339,µm,Surface,Position,1,631,
24.1887,µm,Surface,Position,1,632,
28.5399,µm,Surface,Position,1,634,
27.1398,µm,Surface,Position,1,636,
26.6864,µm,Surface,Position,1,638,
14.2483,µm,Surface,Position,1,640,
27.3282,µm,Surface,Position,1,641,
26.0484,µm,Surface,Position,1,643,
20.6662,µm,Surface,Position,1,644,
15.8323,µm,Surface,Position,1,646,
20.8941,µm,Surface,Position,1,647,
19.9522,µm,Surface,Position,1,651,
27.9841,µm,Surface,Position,1,652,
19.625,µm,Surface,Position,1,653,
17.2017,µm,Surface,Position,1,654,
15.0419,µm,Surface,Position,1,658,
27.6295,µm,Surface,Position,1,660,
14.4321,µm,Surface,Position,1,662,
28.2837,µm,Surface,Position,1,663,
12.9998,µm,Surface,Position,1,664,
18.883,µm,Surface,Position,1,666,
26.018,µm,Surface,Position,1,669,
23.6848,µm,Surface,Position,1,672,
13.7131,µm,Surface,Position,1,673,
27.7835,µm,Surface,Position,1,674,
20.2638,µm,Surface,Position,1,675,
14.8668,µm,Surface,Position,1,676,
27.9657,µm,Surface,Position,1,678,
27.9739,µm,Surface,Position,1,679,
26.4444,µm,Surface,Position,1,680,
17.5101,µm,Surface,Position,1,682,
14.6328,µm,Surface,Position,1,684,
21.9576,µm,Surface,Position,1,685,
24.0316,µm,Surface,Position,1,686,
24.5031,µm,Surface,Position,1,687,
14.5352,µm,Surface,Position,1,688,
14.7991,µm,Surface,Position,1,690,
13.8064,µm,Surface,Position,1,691,
17.3622,µm,Surface,Position,1,693,
25.3858,µm,Surface,Position,1,694,
27.5932,µm,Surface,Position,1,697,
14.2949,µm,Surface,Position,1,699,
14.5459,µm,Surface,Position,1,700,
20.1431,µm,Surface,Position,1,701,
16.904,µm,Surface,Position,1,702,
21.9812,µm,Surface,Position,1,703,
28.4338,µm,Surface,Position,1,706,
28.0524,µm,Surface,Position,1,709,
23.2449,µm,Surface,Position,1,710,
22.0916,µm,Surface,Position,1,711,
20.5113,µm,Surface,Position,1,712,
21.2343,µm,Surface,Position,1,713,
22.2936,µm,Surface,Position,1,717,
27.9392,µm,Surface,Position,1,719,
27.4723,µm,Surface,Position,1,720,
24.1831,µm,Surface,Position,1,721,
13.4921,µm,Surface,Position,1,723,
21.0071,µm,Surface,Position,1,725,
14.976,µm,Surface,Position,1,728,
25.6206,µm,Surface,Position,1,730,
20.2845,µm,Surface,Position,1,731,
12.8549,µm,Surface,Position,1,736,
25.2159,µm,Surface,Position,1,737,
25.6463,µm,Surface,Position,1,739,
28.2006,µm,Surface,Position,1,741,
28.3095,µm,Surface,Position,1,744,
21.2761,µm,Surface,Position,1,747,
14.3336,µm,Surface,Position,1,751,
19.854,µm,Surface,Position,1,752,
23.9443,µm,Surface,Position,1,753,
17.8081,µm,Surface,Position,1,754,
18.1782,µm,Surface,Position,1,755,
27.5309,µm,Surface,Position,1,757,
26.1892,µm,Surface,Position,1,758,
28.5993,µm,Surface,Position,1,759,
23.1823,µm,Surface,Position,1,761,
15.6155,µm,Surface,Position,1,766,
19.7835,µm,Surface,Position,1,772,
16.157,µm,Surface,Position,1,773,
21.847,µm,Surface,Position,1,774,
26.7546,µm,Surface,Position,1,775,
13.1346,µm,Surface,Position,1,776,
14.2754,µm,Surface,Position,1,780,
25.8433,µm,Surface,Position,1,786,
25.8555,µm,Surface,Position,1,787,
18.2728,µm,Surface,Position,1,788,
23.8371,µm,Surface,Position,1,791,
22.8465,µm,Surface,Position,1,794,
13.5505,µm,Surface,Position,1,797,
19.3569,µm,Surface,Position,1,798,
23.4322,µm,Surface,Position,1,799,
20.9764,µm,Surface,Position,1,800,
26.004,µm,Surface,Position,1,801,
28.3975,µm,Surface,Position,1,802,
24.8361,µm,Surface,Position,1,803,
23.9086,µm,Surface,Position,1,804,
18.639,µm,Surface,Position,1,805,
19.6463,µm,Surface,Position,1,810,
20.3457,µm,Surface,Position,1,811,
22.2355,µm,Surface,Position,1,812,
22.2651,µm,Surface,Position,1,813,
27.9242,µm,Surface,Position,1,814,
26.6929,µm,Surface,Position,1,816,
19.1183,µm,Surface,Position,1,818,
15.2047,µm,Surface,Position,1,819,
27.1002,µm,Surface,Position,1,822,
21.9131,µm,Surface,Position,1,823,
19.2764,µm,Surface,Position,1,824,
23.8608,µm,Surface,Position,1,825,
19.0515,µm,Surface,Position,1,826,
24.9392,µm,Surface,Position,1,827,
20.3942,µm,Surface,Position,1,828,
14.9636,µm,Surface,Position,1,831,
24.5545,µm,Surface,Position,1,834,
27.8564,µm,Surface,Position,1,835,
28.1999,µm,Surface,Position,1,836,
15.2125,µm,Surface,Position,1,838,
22.7619,µm,Surface,Position,1,840,
22.3835,µm,Surface,Position,1,841,
15.7165,µm,Surface,Position,1,843,
14.3134,µm,Surface,Position,1,844,
16.1927,µm,Surface,Position,1,846,
12.8539,µm,Surface,Position,1,848,
14.5524,µm,Surface,Position,1,849,
20.1441,µm,Surface,Position,1,851,
17.0938,µm,Surface,Position,1,852,
13.1595,µm,Surface,Position,1,853,
18.0122,µm,Surface,Position,1,854,
12.7847,µm,Surface,Position,1,855,
19.9338,µm,Surface,Position,1,856,
19.527,µm,Surface,Position,1,857,
13.0949,µm,Surface,Position,1,859,
18.8658,µm,Surface,Position,1,861,
17.1718,µm,Surface,Position,1,862,
17.7035,µm,Surface,Position,1,863,
26.3528,µm,Surface,Position,1,866,
19.9742,µm,Surface,Position,1,867,
26.9828,µm,Surface,Position,1,869,
22.6188,µm,Surface,Position,1,871,
27.3458,µm,Surface,Position,1,872,
28.3821,µm,Surface,Position,1,873,
24.9197,µm,Surface,Position,1,875,
16.083,µm,Surface,Position,1,877,
21.1695,µm,Surface,Position,1,878,
18.8761,µm,Surface,Position,1,879,
18.3123,µm,Surface,Position,1,880,
24.7308,µm,Surface,Position,1,881,
13.3843,µm,Surface,Position,1,882,
16.3568,µm,Surface,Position,1,886,
24.3885,µm,Surface,Position,1,887,
23.8361,µm,Surface,Position,1,888,
19.8963,µm,Surface,Position,1,890,
19.0846,µm,Surface,Position,1,891,
15.1114,µm,Surface,Position,1,892,
28.0744,µm,Surface,Position,1,893,
13.6494,µm,Surface,Position,1,894,
22.6741,µm,Surface,Position,1,895,
17.4821,µm,Surface,Position,1,896,
12.9441,µm,Surface,Position,1,898,
24.7628,µm,Surface,Position,1,900,
22.0022,µm,Surface,Position,1,902,
23.9836,µm,Surface,Position,1,903,
28.423,µm,Surface,Position,1,905,
28.7532,µm,Surface,Position,1,906,
14.0014,µm,Surface,Position,1,911,
27.279,µm,Surface,Position,1,912,
22.2046,µm,Surface,Position,1,914,
17.5418,µm,Surface,Position,1,915,
13.0851,µm,Surface,Position,1,917,
19.2023,µm,Surface,Position,1,920,
23.4535,µm,Surface,Position,1,921,
25.3462,µm,Surface,Position,1,923,
12.9962,µm,Surface,Position,1,924,
21.8479,µm,Surface,Position,1,925,
15.0735,µm,Surface,Position,1,926,
18.9581,µm,Surface,Position,1,927,
13.1921,µm,Surface,Position,1,929,
28.4691,µm,Surface,Position,1,930,
17.3858,µm,Surface,Position,1,932,
28.2365,µm,Surface,Position,1,939,
15.6575,µm,Surface,Position,1,942,
15.1764,µm,Surface,Position,1,944,
18.5722,µm,Surface,Position,1,945,
26.3475,µm,Surface,Position,1,947,
19.8212,µm,Surface,Position,1,948,
18.9738,µm,Surface,Position,1,952,
19.884,µm,Surface,Position,1,955,
22.4643,µm,Surface,Position,1,957,
27.5122,µm,Surface,Position,1,958,
23.7643,µm,Surface,Position,1,961,
17.7305,µm,Surface,Position,1,963,
25.808,µm,Surface,Position,1,964,
16.4903,µm,Surface,Position,1,966,
26.8939,µm,Surface,Position,1,969,
28.6846,µm,Surface,Position,1,972,
23.7274,µm,Surface,Position,1,973,
27.8629,µm,Surface,Position,1,974,
16.7159,µm,Surface,Position,1,975,
25.2023,µm,Surface,Position,1,976,
23.4594,µm,Surface,Position,1,977,
15.3935,µm,Surface,Position,1,978,
13.7255,µm,Surface,Position,1,979,
28.5369,µm,Surface,Position,1,980,
20.3476,µm,Surface,Position,1,981,
21.6187,µm,Surface,Position,1,982,
13.506,µm,Surface,Position,1,984,
12.7326,µm,Surface,Position,1,985,
13.9986,µm,Surface,Position,1,986,
19.6382,µm,Surface,Position,1,987,
13.1855,µm,Surface,Position,1,988,
16.4653,µm,Surface,Position,1,989,
28.6631,µm,Surface,Position,1,990,
16.526,µm,Surface,Position,1,992,
18.4149,µm,Surface,Position,1,994,
16.3224,µm,Surface,Position,1,996,
15.7773,µm,Surface,Position,1,1000,
23.4511,µm,Surface,Position,1,1002,
14.8462,µm,Surface,Position,1,1003,
15.9292,µm,Surface,Position,1,1004,
28.5118,µm,Surface,Position,1,1006,
24.9434,µm,Surface,Position,1,1008,
25.5907,µm,Surface,Position,1,1009,
15.513,µm,Surface,Position,1,1010,
21.5816,µm,Surface,Position,1,1014,
20.9566,µm,Surface,Position,1,1017,
17.4544,µm,Surface,Position,1,1018,
20.8088,µm,Surface,Position,1,1019,
28.261,µm,Surface,Position,1,1020,
12.8217,µm,Surface,Position,1,1021,
25.0045,µm,Surface,Position,1,1023,
22.7002,µm,Surface,Position,1,1024,
18.4821,µm,Surface,Position,1,1032,
14.0802,µm,Surface,Position,1,1034,
26.8374,µm,Surface,Position,1,1035,
13.5405,µm,Surface,Position,1,1036,
16.1741,µm,Surface,Position,1,1037,
26.6084,µm,Surface,Position,1,1038,
26.5005,µm,Surface,Position,1,1039,
19.6142,µm,Surface,Position,1,1040,
