
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.80006,,Surface,1,2,
0.886658,,Surface,1,3,
0.843884,,Surface,1,4,
0.853876,,Surface,1,5,
0.909466,,Surface,1,6,
0.857879,,Surface,1,7,
0.7311,,Surface,1,8,
0.780502,,Surface,1,10,
0.85998,,Surface,1,11,
0.850077,,Surface,1,12,
0.873706,,Surface,1,13,
0.809653,,Surface,1,18,
0.843485,,Surface,1,19,
0.80046,,Surface,1,21,
0.834872,,Surface,1,22,
0.863265,,Surface,1,24,
0.907481,,Surface,1,25,
0.833353,,Surface,1,26,
0.792889,,Surface,1,28,
0.854754,,Surface,1,29,
0.856039,,Surface,1,35,
0.802812,,Surface,1,37,
0.766716,,Surface,1,38,
0.870486,,Surface,1,40,
0.940973,,Surface,1,45,
0.829449,,Surface,1,46,
0.805088,,Surface,1,49,
0.829635,,Surface,1,52,
0.91125,,Surface,1,54,
0.842182,,Surface,1,58,
0.736294,,Surface,1,60,
0.847208,,Surface,1,61,
0.759333,,Surface,1,63,
0.801362,,Surface,1,64,
0.926185,,Surface,1,65,
0.843652,,Surface,1,67,
0.806961,,Surface,1,71,
0.9293,,Surface,1,72,
0.930882,,Surface,1,73,
0.836483,,Surface,1,74,
0.831051,,Surface,1,76,
0.887936,,Surface,1,77,
0.945608,,Surface,1,79,
0.788611,,Surface,1,81,
0.821881,,Surface,1,82,
0.790989,,Surface,1,88,
0.762647,,Surface,1,89,
0.915859,,Surface,1,91,
0.781342,,Surface,1,93,
0.8278,,Surface,1,97,
0.843625,,Surface,1,100,
0.873717,,Surface,1,101,
0.882516,,Surface,1,102,
0.857436,,Surface,1,103,
0.86609,,Surface,1,106,
0.810131,,Surface,1,107,
0.868969,,Surface,1,110,
0.840485,,Surface,1,111,
0.835772,,Surface,1,112,
0.754898,,Surface,1,113,
0.88334,,Surface,1,118,
0.824869,,Surface,1,119,
0.779297,,Surface,1,120,
0.832862,,Surface,1,122,
0.810353,,Surface,1,123,
0.883088,,Surface,1,124,
0.861942,,Surface,1,128,
0.85895,,Surface,1,134,
0.847564,,Surface,1,136,
0.785522,,Surface,1,137,
0.890679,,Surface,1,138,
0.82532,,Surface,1,139,
0.833405,,Surface,1,140,
0.855214,,Surface,1,141,
0.774758,,Surface,1,143,
0.762881,,Surface,1,146,
0.91598,,Surface,1,150,
0.810491,,Surface,1,154,
0.859075,,Surface,1,155,
0.872425,,Surface,1,156,
