
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
504.427,µm^3,Surface,1,2,
185.411,µm^3,Surface,1,3,
399.035,µm^3,Surface,1,4,
386.941,µm^3,Surface,1,5,
424.894,µm^3,Surface,1,6,
239.827,µm^3,Surface,1,7,
308.693,µm^3,Surface,1,8,
293.89,µm^3,Surface,1,10,
453.322,µm^3,Surface,1,11,
415.313,µm^3,Surface,1,12,
481.348,µm^3,Surface,1,13,
418.27,µm^3,Surface,1,18,
279.37,µm^3,Surface,1,19,
359.833,µm^3,Surface,1,21,
242.304,µm^3,Surface,1,22,
323.232,µm^3,Surface,1,24,
273.869,µm^3,Surface,1,25,
334.365,µm^3,Surface,1,26,
543.926,µm^3,Surface,1,28,
369.15,µm^3,Surface,1,29,
378.665,µm^3,Surface,1,35,
220.376,µm^3,Surface,1,37,
421.484,µm^3,Surface,1,38,
315.516,µm^3,Surface,1,40,
381.248,µm^3,Surface,1,45,
217.279,µm^3,Surface,1,46,
595.069,µm^3,Surface,1,49,
279.823,µm^3,Surface,1,52,
278.363,µm^3,Surface,1,54,
334.413,µm^3,Surface,1,58,
300.83,µm^3,Surface,1,60,
437.583,µm^3,Surface,1,61,
452.874,µm^3,Surface,1,63,
395.886,µm^3,Surface,1,64,
324.644,µm^3,Surface,1,65,
305.425,µm^3,Surface,1,67,
700.463,µm^3,Surface,1,71,
299.71,µm^3,Surface,1,72,
390.796,µm^3,Surface,1,73,
327.611,µm^3,Surface,1,74,
509.999,µm^3,Surface,1,76,
704.783,µm^3,Surface,1,77,
381.215,µm^3,Surface,1,79,
199.362,µm^3,Surface,1,81,
724.279,µm^3,Surface,1,82,
591.791,µm^3,Surface,1,88,
118.849,µm^3,Surface,1,89,
373.212,µm^3,Surface,1,91,
496.222,µm^3,Surface,1,93,
450.26,µm^3,Surface,1,97,
346.578,µm^3,Surface,1,100,
385.971,µm^3,Surface,1,101,
349.22,µm^3,Surface,1,102,
400.555,µm^3,Surface,1,103,
339.511,µm^3,Surface,1,106,
375.969,µm^3,Surface,1,107,
334.628,µm^3,Surface,1,110,
383.783,µm^3,Surface,1,111,
381.239,µm^3,Surface,1,112,
550.215,µm^3,Surface,1,113,
391.22,µm^3,Surface,1,118,
240.1,µm^3,Surface,1,119,
448.827,µm^3,Surface,1,120,
411.607,µm^3,Surface,1,122,
457.064,µm^3,Surface,1,123,
372.082,µm^3,Surface,1,124,
396.12,µm^3,Surface,1,128,
341.945,µm^3,Surface,1,134,
405.307,µm^3,Surface,1,136,
331.086,µm^3,Surface,1,137,
382.277,µm^3,Surface,1,138,
520.618,µm^3,Surface,1,139,
406.689,µm^3,Surface,1,140,
482.91,µm^3,Surface,1,141,
400.769,µm^3,Surface,1,143,
592.094,µm^3,Surface,1,146,
333.6,µm^3,Surface,1,150,
343.124,µm^3,Surface,1,154,
367.917,µm^3,Surface,1,155,
284.397,µm^3,Surface,1,156,
588.615,µm^3,Surface,1,159,
230.231,µm^3,Surface,1,161,
522.511,µm^3,Surface,1,164,
152.311,µm^3,Surface,1,165,
595.5,µm^3,Surface,1,167,
372.505,µm^3,Surface,1,171,
625.612,µm^3,Surface,1,172,
393.67,µm^3,Surface,1,173,
287.95,µm^3,Surface,1,174,
328.851,µm^3,Surface,1,177,
353.501,µm^3,Surface,1,180,
341.113,µm^3,Surface,1,181,
285.173,µm^3,Surface,1,190,
406.208,µm^3,Surface,1,192,
414,µm^3,Surface,1,193,
352.271,µm^3,Surface,1,195,
366.288,µm^3,Surface,1,199,
370.942,µm^3,Surface,1,200,
595.978,µm^3,Surface,1,201,
464.715,µm^3,Surface,1,203,
365.133,µm^3,Surface,1,208,
425.19,µm^3,Surface,1,209,
539.341,µm^3,Surface,1,210,
621.412,µm^3,Surface,1,213,
444.042,µm^3,Surface,1,214,
282.713,µm^3,Surface,1,215,
403.115,µm^3,Surface,1,216,
327.322,µm^3,Surface,1,217,
515.539,µm^3,Surface,1,218,
188.549,µm^3,Surface,1,219,
350.419,µm^3,Surface,1,221,
263.283,µm^3,Surface,1,225,
159.327,µm^3,Surface,1,227,
447.824,µm^3,Surface,1,228,
126.902,µm^3,Surface,1,230,
454.822,µm^3,Surface,1,233,
630.363,µm^3,Surface,1,234,
453.516,µm^3,Surface,1,236,
539.701,µm^3,Surface,1,237,
268.444,µm^3,Surface,1,238,
340.966,µm^3,Surface,1,239,
529.149,µm^3,Surface,1,241,
278.822,µm^3,Surface,1,243,
315.012,µm^3,Surface,1,245,
333.167,µm^3,Surface,1,249,
432.371,µm^3,Surface,1,250,
494.899,µm^3,Surface,1,251,
265.206,µm^3,Surface,1,253,
553.462,µm^3,Surface,1,262,
299.261,µm^3,Surface,1,263,
481.671,µm^3,Surface,1,265,
651.654,µm^3,Surface,1,266,
381.309,µm^3,Surface,1,268,
103.04,µm^3,Surface,1,269,
383.378,µm^3,Surface,1,272,
298.144,µm^3,Surface,1,274,
400.879,µm^3,Surface,1,277,
432.442,µm^3,Surface,1,279,
410.871,µm^3,Surface,1,281,
397.497,µm^3,Surface,1,282,
325.22,µm^3,Surface,1,284,
347.028,µm^3,Surface,1,285,
287.447,µm^3,Surface,1,291,
440.876,µm^3,Surface,1,293,
366.611,µm^3,Surface,1,295,
79.3267,µm^3,Surface,1,297,
292.67,µm^3,Surface,1,300,
270.577,µm^3,Surface,1,302,
548.429,µm^3,Surface,1,303,
475.256,µm^3,Surface,1,309,
489.877,µm^3,Surface,1,310,
284.021,µm^3,Surface,1,316,
