
Volume Inside Img=1
 ==================== 
Distance to Surface,Volume Inside,Unit,Collection,Image,Time,ID,
-4.995,3.95185,µm^3,Volume Inside,Image 1,1,,
-4.725,16.927,µm^3,Volume Inside,Image 1,1,,
-4.455,67.2586,µm^3,Volume Inside,Image 1,1,,
-4.185,241.98,µm^3,Volume Inside,Image 1,1,,
-3.915,780.922,µm^3,Volume Inside,Image 1,1,,
-3.645,2245.54,µm^3,Volume Inside,Image 1,1,,
-3.375,5649.14,µm^3,Volume Inside,Image 1,1,,
-3.105,12293.8,µm^3,Volume Inside,Image 1,1,,
-2.835,23352.2,µm^3,Volume Inside,Image 1,1,,
-2.565,39332.4,µm^3,Volume Inside,Image 1,1,,
-2.295,60062.4,µm^3,Volume Inside,Image 1,1,,
-2.025,84680.5,µm^3,Volume Inside,Image 1,1,,
-1.755,112922,µm^3,Volume Inside,Image 1,1,,
-1.485,143649,µm^3,Volume Inside,Image 1,1,,
-1.215,176065,µm^3,Volume Inside,Image 1,1,,
-0.945,211540,µm^3,Volume Inside,Image 1,1,,
-0.675,250006,µm^3,Volume Inside,Image 1,1,,
-0.405,292091,µm^3,Volume Inside,Image 1,1,,
-0.135,328248,µm^3,Volume Inside,Image 1,1,,
