
Volume Outside Img=1
 ==================== 
Distance to Surface,Volume Outside,Unit,Collection,Image,Time,ID,
0.135,315588,µm^3,Volume Outside,Image 1,1,,
0.405,345662,µm^3,Volume Outside,Image 1,1,,
0.675,382353,µm^3,Volume Outside,Image 1,1,,
0.945,406441,µm^3,Volume Outside,Image 1,1,,
1.215,425678,µm^3,Volume Outside,Image 1,1,,
1.485,445610,µm^3,Volume Outside,Image 1,1,,
1.755,460960,µm^3,Volume Outside,Image 1,1,,
2.025,472384,µm^3,Volume Outside,Image 1,1,,
2.295,482903,µm^3,Volume Outside,Image 1,1,,
2.565,491025,µm^3,Volume Outside,Image 1,1,,
2.835,498326,µm^3,Volume Outside,Image 1,1,,
3.105,504639,µm^3,Volume Outside,Image 1,1,,
3.375,508470,µm^3,Volume Outside,Image 1,1,,
3.645,502331,µm^3,Volume Outside,Image 1,1,,
3.915,496736,µm^3,Volume Outside,Image 1,1,,
4.185,491675,µm^3,Volume Outside,Image 1,1,,
4.455,485328,µm^3,Volume Outside,Image 1,1,,
4.725,474331,µm^3,Volume Outside,Image 1,1,,
4.995,463431,µm^3,Volume Outside,Image 1,1,,
5.265,452556,µm^3,Volume Outside,Image 1,1,,
5.535,441072,µm^3,Volume Outside,Image 1,1,,
5.805,429348,µm^3,Volume Outside,Image 1,1,,
6.075,416784,µm^3,Volume Outside,Image 1,1,,
6.345,404895,µm^3,Volume Outside,Image 1,1,,
6.615,394210,µm^3,Volume Outside,Image 1,1,,
6.885,384000,µm^3,Volume Outside,Image 1,1,,
7.155,368896,µm^3,Volume Outside,Image 1,1,,
7.425,353769,µm^3,Volume Outside,Image 1,1,,
7.695,340352,µm^3,Volume Outside,Image 1,1,,
7.965,327211,µm^3,Volume Outside,Image 1,1,,
8.235,314488,µm^3,Volume Outside,Image 1,1,,
8.505,298964,µm^3,Volume Outside,Image 1,1,,
8.775,284886,µm^3,Volume Outside,Image 1,1,,
9.045,268089,µm^3,Volume Outside,Image 1,1,,
9.315,249272,µm^3,Volume Outside,Image 1,1,,
9.585,233108,µm^3,Volume Outside,Image 1,1,,
9.855,216432,µm^3,Volume Outside,Image 1,1,,
10.125,202013,µm^3,Volume Outside,Image 1,1,,
10.395,186530,µm^3,Volume Outside,Image 1,1,,
10.665,172656,µm^3,Volume Outside,Image 1,1,,
10.935,158526,µm^3,Volume Outside,Image 1,1,,
11.205,146098,µm^3,Volume Outside,Image 1,1,,
11.475,133508,µm^3,Volume Outside,Image 1,1,,
11.745,120888,µm^3,Volume Outside,Image 1,1,,
12.015,109969,µm^3,Volume Outside,Image 1,1,,
12.285,99140.8,µm^3,Volume Outside,Image 1,1,,
12.555,89717.5,µm^3,Volume Outside,Image 1,1,,
12.825,80416.2,µm^3,Volume Outside,Image 1,1,,
13.095,72307.9,µm^3,Volume Outside,Image 1,1,,
13.365,64495.2,µm^3,Volume Outside,Image 1,1,,
13.635,57712,µm^3,Volume Outside,Image 1,1,,
13.905,51080,µm^3,Volume Outside,Image 1,1,,
14.175,44750.4,µm^3,Volume Outside,Image 1,1,,
14.445,39340,µm^3,Volume Outside,Image 1,1,,
14.715,34215.4,µm^3,Volume Outside,Image 1,1,,
